,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461126.6503704,113.6744725,-14.7969999,2,18.72814178466797,0.10378670692443848,61126.15037039993
4,2461111.7543056,113.6744315,-14.7970456,3,18.255800247192383,0.0997219979763031,61111.25430560019
5,2461108.6679745,113.6744485,-14.7970361,2,18.258899688720703,0.09030099958181381,61108.167974499986
8,2461105.6471065,113.6744355,-14.7970427,2,17.66080093383789,0.06473399698734283,61105.14710649988
9,2461102.7725579,113.6741234,-14.7972212,1,19.1466007232666,0.32404500246047974,61102.27255789982
10,2461102.7472454,113.674434,-14.7970453,2,18.09000015258789,0.09013999998569489,61102.24724540021
12,2461101.7102546,113.6744422,-14.7970299,2,18.5846004486084,0.118258997797966,61101.210254599806
13,2461101.7102546,113.6744422,-14.7970299,2,18.5846004486084,0.118258997797966,61101.210254599806
15,2461100.7100694,113.6744028,-14.7970506,2,18.95330047607422,0.15175500512123108,61100.21006939979
16,2461099.6478704,113.674404,-14.7969978,2,18.284000396728516,0.09845999628305435,61099.14787039999
19,2461096.730463,113.6744465,-14.7970515,2,18.030799865722656,0.06925500184297562,61096.230463000014
20,2461096.7083102,113.6744257,-14.7970148,1,19.20509910583496,0.17005300521850586,61096.2083101999
23,2461094.7242477,113.6744644,-14.796953,2,19.399900436401367,0.14460699260234833,61094.22424770007
26,2461086.7659491,113.6744681,-14.7970276,2,18.179399490356445,0.11433900147676468,61086.26594909979
27,2461080.7514352,113.6743654,-14.7970305,1,19.161699295043945,0.1471409946680069,61080.25143520022
28,2461080.7092593,113.6744716,-14.7970488,2,18.230899810791016,0.0776199996471405,61080.20925930003
30,2461077.8511343,113.6744796,-14.7971015,1,18.68560028076172,0.16618700325489044,61077.35113430023
31,2461077.7729282,113.6744138,-14.7970344,2,18.12809944152832,0.06297600269317627,61077.2729282002
33,2461074.786088,113.6743394,-14.797202,2,18.720399856567383,0.19166399538516998,61074.28608800005
34,2461074.6660417,113.6743808,-14.7969797,1,18.835599899291992,0.17080099880695343,61074.16604170017
42,2461068.8150116,113.6744089,-14.7970729,2,18.257600784301758,0.0699160024523735,61068.31501160003
44,2461065.8338542,113.6744338,-14.7970635,2,19.13949966430664,0.15586400032043457,61065.33385419985
47,2461058.7859375,113.6744556,-14.7970148,2,18.608400344848633,0.10899999737739563,61058.285937500186
48,2461058.7623611,113.6744164,-14.7969975,1,19.22960090637207,0.13648700714111328,61058.26236109994
53,2461052.8186921,113.6744661,-14.7970319,1,19.19529914855957,0.16224899888038635,61052.31869209977
54,2461052.7944213,113.6744119,-14.7970569,2,18.069799423217773,0.07117000222206116,61052.294421299826
61,2461030.910787,113.6744434,-14.7970471,2,19.06679916381836,0.14937900006771088,61030.410786999855
62,2461029.8968981,113.6745278,-14.7970425,2,19.826799392700195,0.16449999809265137,61029.39689810015
64,2461026.9607986,113.6744616,-14.7970348,2,19.307100296020508,0.2342970073223114,61026.46079860022
66,2461024.9198958,113.6744381,-14.7970729,1,19.349700927734375,0.13670499622821808,61024.41989579983
67,2461024.8623611,113.6744398,-14.7970541,2,18.84510040283203,0.10910499840974808,61024.36236110004
68,2461021.9531713,113.6744168,-14.7970234,2,18.48200035095215,0.12300900369882584,61021.45317129977
