,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459171.0304051,152.9208795,33.618175,2,20.20509910583496,0.20094099640846252,59170.53040509997
8,2459166.0089236,152.9206322,33.618265,1,20.566600799560547,0.2888000011444092,59165.50892359996
14,2459158.9727546,152.9209204,33.6182453,1,19.93950080871582,0.2528260052204132,59158.47275459999
16,2459156.9762847,152.9209734,33.6181886,1,19.63559913635254,0.28608599305152893,59156.47628469998
17,2459155.986169,152.9209219,33.6182352,2,19.629899978637695,0.172325998544693,59155.486169000156
18,2459154.0171644,152.92093,33.6180669,1,19.411399841308594,0.25301799178123474,59153.51716439985
19,2459153.9854282,152.9209483,33.6182317,2,19.52869987487793,0.2238360047340393,59153.4854282001
20,2459151.0365394,152.920911,33.6181958,2,19.421899795532227,0.12144999951124191,59150.5365394
21,2459150.9425231,152.9207748,33.618306,1,19.385900497436523,0.2467609941959381,59150.44252309995
24,2459145.0136921,152.9209318,33.6182126,1,19.641399383544922,0.16784200072288513,59144.51369210007
25,2459144.017581,152.9207076,33.6182304,1,19.799299240112305,0.15368199348449707,59143.51758099999
28,2459142.9914931,152.9209909,33.6181765,1,19.952899932861328,0.18362000584602356,59142.491493099835
29,2459142.9914931,152.9209909,33.6181765,1,19.952899932861328,0.18362000584602356,59142.491493099835
30,2459142.009919,152.9208811,33.6182251,2,20.028400421142578,0.20244400203227997,59141.50991899986
31,2459141.9549421,152.9207358,33.6182592,1,19.931499481201172,0.20183700323104858,59141.454942100216
33,2459141.0065972,152.9208782,33.6181931,1,20.30190086364746,0.25082099437713623,59140.50659719994
