,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460532.7187153,221.1987767,28.2014782,1,20.160526275634766,0.19534265995025635,60532.21871529985
2,2460530.7355324,221.198718,28.2014293,2,19.700300216674805,0.233924001455307,60530.2355324002
3,2460530.6756019,221.1988325,28.2015228,1,20.03619956970215,0.2383439987897873,60530.17560190009
4,2460528.6959838,221.1988548,28.2014446,1,19.88089942932129,0.16893599927425385,60528.195983800106
6,2460526.6786574,221.1988626,28.2014774,1,19.767000198364258,0.14961400628089905,60526.178657399956
8,2460524.6864583,221.1988174,28.2014221,1,19.52199935913086,0.1486539989709854,60524.18645829987
9,2460519.6913079,221.1988486,28.201426,1,19.456100463867188,0.12187299877405167,60519.19130790001
10,2460517.7955671,221.1985919,28.2013923,2,19.556299209594727,0.35448798537254333,60517.295567099936
11,2460517.6935301,221.1988395,28.2014478,1,19.288999557495117,0.15952399373054504,60517.19353009993
14,2460513.7368171,221.1988122,28.2014594,1,19.558799743652344,0.24835899472236633,60513.236817100085
