,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459204.0318171,177.0238897,37.1803824,1,19.948699951171875,0.16969400644302368,59203.53181710001
1,2459203.9862384,177.0238331,37.1803498,2,19.674100875854492,0.13016000390052795,59203.486238399986
2,2459201.0150231,177.0240606,37.1804268,2,19.652700424194336,0.23870399594306946,59200.51502310019
3,2459200.9704745,177.0240119,37.1804178,1,19.69659996032715,0.244486004114151,59200.47047450021
4,2459199.0135532,177.023911,37.180457,1,19.657899856567383,0.12522199749946594,59198.513553199824
5,2459198.9926968,177.0239872,37.1803939,2,19.42690086364746,0.12305600196123123,59198.4926967998
6,2459195.0382639,177.0239175,37.1803897,1,19.352500915527344,0.1171569973230362,59194.538263900205
7,2459195.0055787,177.0239613,37.1804445,2,19.49720001220703,0.10389299690723419,59194.50557869999
8,2459190.0140509,177.0239537,37.1803743,1,19.229299545288086,0.14951199293136597,59189.514050900005
9,2459188.036331,177.0238233,37.1803137,1,19.204200744628906,0.16327199339866638,59187.53633099981
10,2459187.9982407,177.0241054,37.1804126,2,19.49679946899414,0.23195800185203552,59187.49824069999
11,2459186.0316782,177.0239347,37.1803929,2,19.427200317382812,0.15866899490356445,59185.53167819977
12,2459185.9938657,177.0238756,37.1804112,1,19.368099212646484,0.13851599395275116,59185.49386569997
13,2459183.0584954,177.0239821,37.1803484,1,19.70870018005371,0.2023169994354248,59182.55849540001
16,2459181.017419,177.0236923,37.1804825,1,19.987199783325195,0.345892995595932,59180.517419000156
17,2459178.0325579,177.0238224,37.1803377,1,20.768600463867188,0.25360700488090515,59177.532557900064
