,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460198.678669,256.9596165,41.122486,2,19.61591148376465,0.16862939298152924,60198.178669000044
15,2460184.6811574,256.9596045,41.1227866,2,18.98900032043457,0.12136399745941162,60184.1811573999
17,2460182.7899421,256.9596113,41.1227596,2,18.808300018310547,0.10282699763774872,60182.28994210018
18,2460182.781169,256.9596024,41.1226144,2,19.047199249267578,0.12425199896097183,60182.28116900008
21,2460178.7061806,256.9595745,41.1226827,1,19.71269989013672,0.15083500742912292,60178.206180599984
22,2460175.6921065,256.95957,41.1227364,1,19.681100845336914,0.1630910038948059,60175.1921064998
23,2460173.7440278,256.9595075,41.1226812,2,18.471900939941406,0.06611599773168564,60173.24402779993
24,2460173.7149653,256.9595912,41.1226935,1,19.43239974975586,0.12981200218200684,60173.21496530017
25,2460173.7008333,256.959495,41.1226766,1,19.47319984436035,0.13298100233078003,60173.20083330013
27,2460171.7794907,256.9595361,41.1226179,1,19.304800033569336,0.106113001704216,60171.27949069999
28,2460171.7790278,256.9594797,41.1227366,1,19.305400848388672,0.12371399998664856,60171.279027800076
29,2460171.7385532,256.9595931,41.1226533,2,18.548500061035156,0.08204299956560135,60171.23855319992
30,2460171.7213657,256.9595723,41.122654,2,18.565399169921875,0.07849399745464325,60171.22136570001
32,2460169.7877083,256.9594995,41.1226518,2,18.6072998046875,0.08488500118255615,60169.287708300166
33,2460169.7785995,256.9596859,41.1226374,2,18.534000396728516,0.08856800198554993,60169.27859950019
34,2460169.7785995,256.9596859,41.1226374,2,18.534000396728516,0.08856800198554993,60169.27859950019
35,2460165.818044,256.9595488,41.1227045,1,18.5674991607666,0.08307699859142303,60165.31804399984
36,2460165.721088,256.9595558,41.1226858,2,18.372800827026367,0.07066799700260162,60165.22108800011
37,2460165.7206134,256.9595553,41.1226221,2,18.425199508666992,0.07305300235748291,60165.220613399986
38,2460161.9006134,256.9595768,41.1226292,1,18.24839973449707,0.07311200350522995,60161.400613400154
39,2460161.8868866,256.9595287,41.1226319,1,18.300899505615234,0.08657299727201462,60161.38688659994
40,2460161.8616551,256.9595458,41.1226909,2,18.170299530029297,0.08533500134944916,60161.36165509978
41,2460161.8490394,256.9595105,41.1226649,2,18.105499267578125,0.07849899679422379,60161.3490394
42,2460158.8731019,256.9595208,41.1226673,1,18.102500915527344,0.11087000370025635,60158.373101899866
44,2460155.8036574,256.959574,41.122638,2,18.00149917602539,0.06635499745607376,60155.303657399956
45,2460155.7866088,256.9595288,41.1226625,2,18.029499053955078,0.061191000044345856,60155.286608799826
46,2460155.7582639,256.9595251,41.1226688,1,18.076099395751953,0.07247500121593475,60155.258263899945
47,2460155.7578009,256.9595481,41.1226502,1,17.994199752807617,0.08487600088119507,60155.25780089991
48,2460153.7967361,256.9595486,41.1226301,1,18.030099868774414,0.06917600333690643,60153.29673610022
49,2460153.7788542,256.9595473,41.122664,1,17.991199493408203,0.06661999970674515,60153.27885420015
50,2460153.7700463,256.9595664,41.1226737,2,17.940200805664062,0.05904100090265274,60153.27004629979
51,2460153.7398264,256.9595747,41.1226493,2,18.047500610351562,0.060437001287937164,60153.23982639983
52,2460151.8712269,256.9595671,41.122661,2,18.04330062866211,0.06795799732208252,60151.37122689979
53,2460151.8322454,256.9595631,41.1226761,1,18.059799194335938,0.06079600006341934,60151.332245400175
54,2460151.8280903,256.95953,41.1226657,1,18.08060073852539,0.060812000185251236,60151.32809029985
55,2460151.706331,256.9596101,41.1226257,2,18.181100845336914,0.07678499817848206,60151.2063310002
56,2460149.795544,256.9595379,41.1226655,1,18.111900329589844,0.06295900046825409,60149.29554399988
57,2460149.7872801,256.9595643,41.12268,1,18.122900009155273,0.05772300064563751,60149.28728009993
58,2460149.7617824,256.9595743,41.1226644,2,18.149799346923828,0.03311200067400932,60149.261782399844
59,2460149.7603704,256.9595446,41.1226431,2,18.258399963378906,0.06609000265598297,60149.2603703998
60,2460147.8082523,256.9595407,41.1226408,1,18.27739906311035,0.06364999711513519,60147.308252300136
61,2460147.8020486,256.9595528,41.1226701,1,18.216800689697266,0.061772000044584274,60147.30204859981
62,2460147.7597454,256.9595585,41.1226659,2,18.305299758911133,0.06182499974966049,60147.25974539993
63,2460147.7592708,256.9595437,41.1226401,2,18.424699783325195,0.08501700311899185,60147.25927079981
64,2460145.780706,256.9595931,41.1226831,2,18.43939971923828,0.06995099782943726,60145.28070600005
66,2460145.7432986,256.9595936,41.1226837,1,18.569900512695312,0.09292399883270264,60145.24329859996
67,2460145.7249306,256.959551,41.122643,1,18.490299224853516,0.07515999674797058,60145.2249305998
69,2460143.841956,256.9595878,41.1226483,2,18.916000366210938,0.08652900159358978,60143.341955999844
70,2460143.7737384,256.9595587,41.1226933,1,19.005300521850586,0.10567600280046463,60143.27373840008
71,2460143.7615625,256.9595524,41.1226516,1,18.864500045776367,0.08368799835443497,60143.26156250015
72,2460140.789375,256.9594717,41.1225895,1,19.964099884033203,0.19402900338172913,60140.28937500017
