,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461028.6375579,304.1576993,42.1042845,1,18.99126625061035,0.14797699451446533,61028.137557900045
1,2461028.5951157,304.1576576,42.1042322,2,18.493600845336914,0.08412099629640579,61028.095115699805
2,2461026.6638889,304.1576992,42.1041956,1,18.46380043029785,0.08251500129699707,61026.163888900075
3,2461026.5938773,304.1576704,42.1042206,2,18.109800338745117,0.07024899870157242,61026.093877300154
4,2461024.6534606,304.1576559,42.1042413,2,18.055599212646484,0.07292000204324722,61024.15346059995
5,2461024.5955093,304.1576479,42.1042196,1,18.3617000579834,0.06538599729537964,61024.09550930001
6,2461022.6351157,304.1576475,42.1042666,1,18.358400344848633,0.2076359987258911,61022.13511569984
7,2461022.5981019,304.1576603,42.1042433,2,17.994699478149414,0.06791099905967712,61022.09810189996
8,2461020.6361921,304.1576112,42.1041982,1,18.095699310302734,0.07832799851894379,61020.13619210012
9,2461020.5898611,304.1576496,42.1042275,2,17.707700729370117,0.05169299989938736,61020.089861100074
10,2461017.6795602,304.1576483,42.1042246,2,17.558700561523438,0.052195001393556595,61017.179560199846
11,2461015.6702778,304.1576618,42.1042173,2,17.838699340820312,0.06970199942588806,61015.170277799945
12,2461015.6181597,304.1576599,42.1042353,1,18.0408992767334,0.07769899815320969,61015.118159700185
28,2460948.7029167,304.1576914,42.1042967,2,20.06350326538086,0.18284976482391357,60948.20291669993
50,2460878.8582639,304.1576573,42.1041867,1,20.42368507385254,0.12009314447641373,60878.35826390004
72,2460853.8654861,304.157653,42.10422,2,18.514440536499023,0.06961387395858765,60853.36548609985
73,2460853.8654861,304.157653,42.10422,2,18.514400482177734,0.0696140006184578,60853.36548609985
74,2460853.830544,304.1576374,42.1042285,1,18.846399307250977,0.06960099935531616,60853.330544000026
75,2460853.830544,304.1576374,42.1042285,1,18.846399307250977,0.06960099935531616,60853.330544000026
76,2460851.8847917,304.1576569,42.1042328,2,18.14764976501465,0.0660477727651596,60851.38479170017
77,2460851.8847917,304.1576563,42.1042315,2,18.149099349975586,0.05496399849653244,60851.38479170017
78,2460851.8517245,304.157639,42.1042297,2,18.184799194335938,0.059147000312805176,60851.35172449984
80,2460849.8234606,304.1576443,42.10424,1,18.287599563598633,0.06770999729633331,60849.32346059987
81,2460849.8016551,304.1576571,42.1042181,2,17.949399948120117,0.06161599978804588,60849.30165510019
82,2460847.8667708,304.1576369,42.1042094,1,18.197799682617188,0.06905999779701233,60847.3667708002
83,2460847.8424074,304.1576482,42.1042316,2,17.98740005493164,0.06782499700784683,60847.34240739979
85,2460845.8402894,304.1576267,42.1041648,1,18.05030059814453,0.05010199919342995,60845.34028939996
