,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459485.695,252.5125626,27.6724923,2,19.843280792236328,0.1994509994983673,59485.19499999983
3,2459479.6515741,252.5127056,27.6725661,1,19.30419921875,0.1778479963541031,59479.1515740999
4,2459479.6415972,252.512651,27.6725403,2,19.318500518798828,0.12870599329471588,59479.141597200185
7,2459477.6763542,252.5126159,27.6725101,2,19.243200302124023,0.17312300205230713,59477.17635420011
8,2459477.6544444,252.5125825,27.6725603,1,19.380300521850586,0.23294800519943237,59477.15444440022
12,2459473.6739699,252.5126648,27.6725675,1,19.15880012512207,0.16830000281333923,59473.17396989977
13,2459473.6651852,252.5126248,27.6725139,2,19.121599197387695,0.09985200315713882,59473.16518520005
15,2459470.7065162,252.5126705,27.6725632,1,19.10099983215332,0.13561899960041046,59470.20651620021
18,2459468.7175116,252.5126711,27.6725144,2,19.14109992980957,0.11410299688577652,59468.21751159988
19,2459468.6764005,252.5126377,27.6725153,1,19.052900314331055,0.1215360015630722,59468.176400499884
22,2459466.7164699,252.5126596,27.6724988,1,19.166200637817383,0.13135600090026855,59466.21646990022
24,2459464.7808333,252.5127641,27.6725189,2,19.270299911499023,0.1391579955816269,59464.2808333002
25,2459464.7808333,252.5127641,27.6725189,2,19.270299911499023,0.1391579955816269,59464.2808333002
28,2459464.6536227,252.5126557,27.6725263,1,19.390100479125977,0.12489499896764755,59464.1536226999
29,2459464.6536227,252.5126557,27.6725263,1,19.390100479125977,0.12489499896764755,59464.1536226999
30,2459462.7648727,252.5127357,27.6725474,1,19.488300323486328,0.19575899839401245,59462.264872699976
32,2459462.6960185,252.5127242,27.6725202,2,19.791500091552734,0.16150400042533875,59462.19601849979
34,2459460.7773495,252.5126766,27.6724265,1,19.707500457763672,0.19181600213050842,59460.277349499986
40,2459458.6590856,252.5125824,27.6725775,1,20.55780029296875,0.31785398721694946,59458.15908560017
72,2458302.8168634,252.5126142,27.6724664,2,19.41939926147461,0.17433300614356995,58302.31686339993
