,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461068.8018866,197.5029923,77.8102513,1,18.840375900268555,0.1460002213716507,61068.30188659998
1,2461065.9044444,197.5033678,77.8102193,1,18.901100158691406,0.0943010002374649,61065.40444440022
2,2461065.8706829,197.5035255,77.8102962,2,18.457799911499023,0.08547999709844589,61065.37068289984
3,2461065.8441319,197.5038095,77.8103428,2,18.642200469970703,0.09561300277709961,61065.3441319
5,2461060.9050231,197.5032794,77.8102736,1,18.880300521850586,0.11841300129890442,61060.405023099855
7,2461060.8202431,197.5033988,77.8102995,2,18.484100341796875,0.08217599987983704,61060.32024310017
8,2461060.7991782,197.5039312,77.8103439,2,18.381999969482422,0.10809499770402908,61060.29917819984
9,2461058.8742593,197.503394,77.8102289,1,18.84149932861328,0.10102500021457672,61058.374259300064
11,2461058.8439583,197.5035182,77.8102867,2,18.487300872802734,0.07221899926662445,61058.34395830007
12,2461058.8268634,197.5034892,77.8103075,2,18.376699447631836,0.10184799879789352,61058.32686340017
13,2461056.9330093,197.5035352,77.8103224,2,18.37540054321289,0.08011599630117416,61056.433009299915
15,2461056.8470949,197.5034111,77.81023,1,18.922399520874023,0.12327399849891663,61056.347094899975
16,2461054.9289352,197.5034873,77.8102601,1,19.027700424194336,0.12450499832630157,61054.428935199976
17,2461054.8863426,197.5037746,77.8103603,2,18.57430076599121,0.10934899747371674,61054.38634259999
18,2461054.8507986,197.503745,77.8103195,2,18.50629997253418,0.10710600018501282,61054.35079859989
19,2461052.953669,197.5036576,77.8102162,2,18.59980010986328,0.1207050010561943,61052.45366899995
20,2461052.953125,197.5039751,77.8103162,2,18.616300582885742,0.098362997174263,61052.453125
21,2461052.8920139,197.5045374,77.8101348,1,18.97879981994629,0.19154700636863708,61052.39201389998
23,2461051.0441667,197.5036264,77.8103703,2,18.71540069580078,0.22640599310398102,61050.54416669998
24,2461051.0256134,197.5020264,77.810349,2,18.97640037536621,0.9116230010986328,61050.525613400154
26,2461039.0125116,197.5033534,77.810218,2,18.54599952697754,0.07844199985265732,61038.51251159981
28,2461038.8904745,197.5037978,77.8102577,1,19.048999786376953,0.14771200716495514,61038.390474500135
30,2460853.698831,197.502769,77.8102914,1,19.168642044067383,0.1388409435749054,60853.1988309999
31,2460851.8194097,197.5033359,77.8102503,2,18.647499084472656,0.0692330002784729,60851.31940970011
32,2460851.7772338,197.5032237,77.8103213,2,18.639699935913086,0.08677899837493896,60851.27723379992
33,2460850.8026042,197.5034923,77.8102318,2,18.66349983215332,0.08058399707078934,60850.30260419985
34,2460850.7821991,197.5036816,77.8102908,2,18.655899047851562,0.08524099737405777,60850.282199100126
35,2460849.755162,197.5034187,77.8102617,2,18.554800033569336,0.07416299730539322,60849.25516200019
36,2460849.7070023,197.5033702,77.8102333,1,19.19540023803711,0.1229889988899231,60849.20700229984
37,2460847.7631134,197.5032966,77.810263,2,18.593399047851562,0.0762839987874031,60847.26311339997
38,2460847.7041551,197.5037065,77.8102158,1,19.132099151611328,0.14897499978542328,60847.204155100044
39,2460845.7786227,197.5034795,77.8102671,2,18.676799774169922,0.0764470025897026,60845.2786226999
40,2460845.7596875,197.5036441,77.8102263,2,18.697500228881836,0.10353700071573257,60845.259687500075
41,2460845.7222801,197.5035773,77.8101147,1,19.260700225830078,0.1690330058336258,60845.22228009999
43,2460843.7427431,197.5032176,77.8102748,2,18.623199462890625,0.07642800360918045,60843.24274310004
44,2460843.7398727,197.5035771,77.8102558,2,18.7549991607666,0.1148419976234436,60843.23987270007
46,2460843.7218634,197.5033354,77.8102236,1,19.093299865722656,0.1062529981136322,60843.22186340019
47,2460841.8243403,197.5033371,77.81027,2,18.625499725341797,0.0812000036239624,60841.32434030017
48,2460841.8209954,197.5034436,77.8103277,2,18.692699432373047,0.10328499972820282,60841.320995400194
49,2460839.7771412,197.5035189,77.8102375,2,18.751100540161133,0.11422699689865112,60839.27714119991
52,2460837.7413542,197.5033038,77.8102626,2,18.64150047302246,0.09900200366973877,60837.24135420006
54,2460835.9054514,197.5024106,77.8101183,1,19.202899932861328,0.21341200172901154,60835.405451400205
55,2460835.7429398,197.5034594,77.8103033,2,18.760799407958984,0.10439500212669373,60835.242939800024
56,2460835.7423958,197.503647,77.8103591,2,18.56999969482422,0.12104599922895432,60835.24239580007
58,2460833.9098032,197.503561,77.8102426,1,19.251399993896484,0.14909300208091736,60833.40980320005
62,2460831.8162731,197.5031432,77.8102941,2,18.653099060058594,0.08497399836778641,60831.31627310021
65,2460831.7229745,197.5032096,77.8102207,1,19.116199493408203,0.12935300171375275,60831.22297450015
66,2460828.8197801,197.5031959,77.8102809,1,19.173099517822266,0.16173900663852692,60828.31978010014
67,2460825.6993056,197.5031237,77.8102444,1,19.177799224853516,0.14293499290943146,60825.19930560002
70,2460823.7800579,197.5034316,77.8102334,1,19.213600158691406,0.12322700023651123,60823.28005790012
71,2460823.7418171,197.5033667,77.8102386,2,18.71619987487793,0.10147099941968918,60823.24181709997
72,2460822.8472338,197.5035756,77.810295,2,18.810400009155273,0.1040859967470169,60822.34723380022
74,2460821.7813542,197.5033683,77.8102978,1,19.24720001220703,0.1276489943265915,60821.281354200095
75,2460821.7378704,197.5032422,77.8102832,2,18.62299919128418,0.10784099996089935,60821.23787039984
80,2460817.8077662,197.5032836,77.8102518,1,19.222000122070312,0.12295400351285934,60817.30776620004
84,2460814.8465046,197.5034192,77.8102546,2,18.678300857543945,0.1096619963645935,60814.34650459979
85,2460814.8057986,197.5030809,77.8103034,1,19.402599334716797,0.1589920073747635,60814.30579859996
86,2460811.7954514,197.5036408,77.8102524,2,18.61440086364746,0.09645500034093857,60811.29545139987
89,2460810.7187153,197.5032754,77.8102752,1,19.361299514770508,0.16639000177383423,60810.21871529985
92,2460806.7807986,197.5037383,77.8102731,2,18.53860092163086,0.14012600481510162,60806.280798600055
93,2460805.8796875,197.5039403,77.8103152,2,18.72369956970215,0.1188339963555336,60805.379687500186
95,2460804.9330787,197.5036574,77.8103842,1,19.209400177001953,0.19238799810409546,60804.43307870021
96,2460804.9099884,197.5031385,77.8103043,2,18.822599411010742,0.11191699653863907,60804.40998840006
98,2460798.868588,197.5037587,77.8102439,1,19.390100479125977,0.17104299366474152,60798.36858800007
101,2460796.8812269,197.503501,77.810298,1,19.38960075378418,0.13804200291633606,60796.381226900034
105,2460775.8472917,197.5027573,77.810254,1,19.139238357543945,0.21377032995224,60775.347291700076
107,2460774.835081,197.5034395,77.8102678,2,18.711700439453125,0.12914299964904785,60774.33508099988
108,2460773.8725116,197.5033211,77.8103137,2,18.663799285888672,0.12995199859142303,60773.372511600144
109,2460773.8268981,197.5031866,77.8102797,1,19.250600814819336,0.18365199863910675,60773.326898099855
110,2460772.9882523,197.5034509,77.8102896,2,18.674299240112305,0.09132099896669388,60772.48825229984
112,2460771.9100347,197.5033747,77.8102461,2,18.765600204467773,0.07496300339698792,60771.41003469983
113,2460771.8241667,197.5033582,77.810271,1,19.204700469970703,0.18809500336647034,60771.32416669978
114,2460770.9206597,197.503388,77.8102368,2,19.013700485229492,0.14369800686836243,60770.42065969994
117,2460761.8669444,197.5034792,77.8103146,1,19.05780029296875,0.14461399614810944,60761.36694440013
120,2460759.9298843,197.5032524,77.8102807,2,18.60059928894043,0.07022800296545029,60759.4298843001
121,2460759.8613542,197.5032159,77.8102845,1,19.1387996673584,0.1433899998664856,60759.36135420017
122,2460758.8182523,197.5033926,77.8102271,2,18.770099639892578,0.12789200246334076,60758.31825229991
125,2460757.8191551,197.5034871,77.8102807,2,18.564800262451172,0.07964500039815903,60757.3191550998
127,2460756.8012731,197.5035441,77.8103364,2,18.79290008544922,0.09974300116300583,60756.30127310008
128,2460755.8429514,197.5034487,77.810229,1,19.07069969177246,0.14166900515556335,60755.342951400205
129,2460755.8013657,197.5035643,77.8102701,2,18.654699325561523,0.12794700264930725,60755.301365700085
130,2460754.8669329,197.5035664,77.8103471,2,18.83650016784668,0.1313840001821518,60754.36693290016
132,2460753.9320718,197.5033103,77.8102598,2,18.494600296020508,0.07807900011539459,60753.43207179988
133,2460753.8685648,197.5032296,77.8102808,1,19.194299697875977,0.1293029934167862,60753.368564799894
135,2460751.7749537,197.5034972,77.8103051,2,18.846599578857422,0.17983700335025787,60751.27495370014
136,2460750.8509375,197.5031979,77.8102626,1,19.20400047302246,0.17444400489330292,60750.35093750013
137,2460750.7566898,197.5033712,77.8102493,2,18.54010009765625,0.10883700102567673,60750.25668979995
138,2460733.8081713,197.5031899,77.8102233,1,19.05390167236328,0.14515146613121033,60733.30817130022
