,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461185.8277083,254.197573,2.8661415,1,19.286348342895508,0.15846557915210724,61185.3277083002
14,2461180.8652662,254.1975192,2.8661196,1,19.48069953918457,0.198186993598938,61180.365266200155
19,2461176.9449537,254.1975121,2.8661686,1,19.37220001220703,0.12225399911403656,61176.44495370006
22,2461175.8985648,254.1975775,2.8661107,1,19.01650047302246,0.12367100268602371,61175.398564800154
25,2461174.901169,254.1978345,2.8660252,1,18.73040008544922,0.0892530009150505,61174.40116900019
26,2461174.901169,254.1976052,2.8661247,1,18.683399200439453,0.0822639986872673,61174.40116900019
30,2461173.8587847,254.1974852,2.8661115,1,18.756200790405273,0.09773799777030945,61173.35878469981
34,2461172.8575694,254.1977074,2.8661061,1,18.665599822998047,0.08049199730157852,61172.35756940022
35,2461172.8575694,254.1975229,2.8661041,1,18.668399810791016,0.08035899698734283,61172.35756940022
36,2461171.9402083,254.1975131,2.8661044,2,18.619699478149414,0.09358999878168106,61171.44020830002
38,2461171.8572685,254.1975045,2.8661111,1,18.423799514770508,0.07553000003099442,61171.35726850014
41,2461170.8312963,254.1975183,2.866113,1,18.497499465942383,0.10290700197219849,61170.33129630005
42,2461169.9367245,254.197543,2.8661609,2,18.74570083618164,0.09783300012350082,61169.4367244998
43,2461169.8740741,254.1975534,2.8661238,1,18.544300079345703,0.07148700207471848,61169.37407410005
44,2461169.8479398,254.1973932,2.8660727,3,19.48579978942871,0.22520099580287933,61169.347939800005
45,2461168.9407407,254.1975511,2.8661504,1,18.736400604248047,0.08658400177955627,61168.44074069988
46,2461168.8922917,254.197647,2.8661284,2,19.125900268554688,0.1652580052614212,61168.3922917
48,2461167.9393866,254.1977974,2.8662835,2,19.286100387573242,0.17493300139904022,61167.43938660016
50,2461167.8397222,254.1975453,2.8661267,1,18.596799850463867,0.07394199818372726,61167.33972219983
75,2461148.965081,254.1976082,2.8660573,1,19.285600662231445,0.16286200284957886,61148.46508099977
83,2461145.8714583,254.1975148,2.8661164,1,19.019800186157227,0.09727299958467484,61145.371458299924
84,2461144.9118981,254.1975518,2.8660841,1,19.010099411010742,0.11371900141239166,61144.41189809982
86,2461140.9237384,254.1975007,2.8661501,1,18.969600677490234,0.11398199945688248,61140.423738399986
95,2461137.9416088,254.1974679,2.8661624,1,18.916200637817383,0.13066799938678741,61137.44160880009
98,2461135.9580787,254.1975097,2.8661667,1,18.712499618530273,0.12733399868011475,61135.45807870012
