,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461135.6964699,93.7580381,36.6558149,1,18.573204040527344,0.12626758217811584,61135.1964699002
1,2461134.7589005,93.7582923,36.6557912,2,17.583599090576172,0.11911100149154663,61134.2589004999
3,2461134.6853356,93.7578839,36.6557229,1,18.574800491333008,0.1023930013179779,61134.18533559982
4,2461132.7175231,93.7581208,36.6556153,2,17.58609962463379,0.07077600061893463,61132.217523099855
10,2461129.6557755,93.7580647,36.6556137,3,18.152799606323242,0.10681000351905823,61129.155775499996
11,2461128.6940046,93.7580652,36.6556354,1,18.630300521850586,0.1565210074186325,61128.194004599936
17,2461126.7053009,93.7581863,36.6556161,1,18.641599655151367,0.10523399710655212,61126.205300900154
23,2461119.7278356,93.7580419,36.6557494,1,18.703100204467773,0.10754500329494476,61119.2278355998
24,2461119.6811921,93.7581141,36.6556866,2,17.69420051574707,0.07540900260210037,61119.18119210005
30,2461117.644537,93.7581436,36.6555711,1,18.885799407958984,0.12181100249290466,61117.144536999986
33,2461115.6776273,93.7581785,36.6556848,2,17.661399841308594,0.11007799953222275,61115.17762729991
34,2461115.6577662,93.7581188,36.655667,1,18.746700286865234,0.11129199713468552,61115.15776620014
36,2461114.8112847,93.7582337,36.6559232,2,17.79360008239746,0.11833799630403519,61114.31128469994
37,2461114.6597801,93.7580694,36.6556114,1,18.75659942626953,0.13806000351905823,61114.15978009999
42,2461108.7028819,93.7579553,36.6556126,1,18.93090057373047,0.11326999962329865,61108.20288190013
43,2461108.6584144,93.7580518,36.6558889,2,17.69580078125,0.07942800223827362,61108.15841440018
45,2461107.7017824,93.7581495,36.6556694,2,17.881000518798828,0.06673499941825867,61107.20178239979
46,2461107.6848727,93.7581084,36.6558416,1,18.90920066833496,0.14770199358463287,61107.1848726999
49,2461106.6814236,93.7580778,36.6558141,1,18.79450035095215,0.15328900516033173,61106.18142359983
50,2461106.6549074,93.757996,36.6556481,2,17.892900466918945,0.05825800076127052,61106.15490739979
52,2461105.6756366,93.7580843,36.6558364,1,18.849199295043945,0.12752200663089752,61105.17563659977
53,2461105.6756366,93.7580843,36.6558364,1,18.849199295043945,0.12752200663089752,61105.17563659977
55,2461102.7050694,93.7580941,36.6555723,2,17.99690055847168,0.07149700075387955,61102.205069399904
57,2461101.7464236,93.7580971,36.6556648,1,18.953800201416016,0.13958899676799774,61101.246423599776
66,2461095.6522569,93.7581188,36.6557574,2,17.89349937438965,0.13396400213241577,61095.15225689998
68,2461094.6405903,93.758144,36.6557556,2,17.71339988708496,0.06195800006389618,61094.14059029985
70,2461093.6136574,93.7580429,36.6558818,2,17.974199295043945,0.08096399903297424,61093.11365740001
75,2461085.7262616,93.7581473,36.6558001,2,17.80660057067871,0.08476000279188156,61085.22626159992
78,2461080.7657176,93.7581355,36.6557544,1,18.806400299072266,0.13171599805355072,61080.26571760001
84,2461079.6746065,93.7581815,36.6557621,2,17.915700912475586,0.08168800175189972,61079.17460650019
87,2461076.6453125,93.7581248,36.655907,2,18.0408992767334,0.07369600236415863,61076.145312500186
96,2461061.7393866,93.7580277,36.6556136,1,19.402099609375,0.18208900094032288,61061.23938659998
99,2461057.8228704,93.7580427,36.655766,2,18.08009910583496,0.09294500201940536,61057.3228703998
101,2461055.7952083,93.758111,36.6556333,2,17.903200149536133,0.06976000219583511,61055.2952083
102,2461055.7468634,93.7581612,36.6556694,1,19.014999389648438,0.12813700735569,61055.2468634001
103,2461053.806169,93.7584054,36.6555739,1,18.923500061035156,0.13201600313186646,61053.30616899999
104,2461051.7947569,93.7581653,36.6558578,2,17.913400650024414,0.09104400128126144,61051.29475690005
105,2461051.7353472,93.7578492,36.655904,1,19.160600662231445,0.24576100707054138,61051.235347200185
108,2461049.7375347,93.7580113,36.6557236,2,17.710599899291992,0.06520199775695801,61049.23753469996
109,2461038.7798495,93.7581842,36.6557424,2,17.785900115966797,0.07018700242042542,61038.27984949993
111,2461031.8632986,93.7580881,36.6556455,2,17.99370002746582,0.06627199798822403,61031.363298600074
112,2461031.7975116,93.7581483,36.6556391,1,18.726900100708008,0.12155699729919434,61031.29751159996
114,2461029.7612731,93.7581333,36.6557111,1,18.899999618530273,0.12785199284553528,61029.26127310004
118,2461024.7978588,93.7581691,36.6556933,1,18.961599349975586,0.10951899737119675,61024.29785879981
123,2461012.7846875,93.7581374,36.6558402,2,17.761199951171875,0.09152200073003769,61012.28468749998
125,2461010.8846875,93.7581714,36.6557948,2,17.917200088500977,0.07990600168704987,61010.384687500075
129,2461004.9326968,93.7580893,36.6557002,1,18.837400436401367,0.1150989979505539,61004.43269680021
132,2460989.9443866,93.7581753,36.6558624,2,17.929689407348633,0.07574094086885452,60989.44438660005
139,2460981.8848032,93.758104,36.6560431,2,17.938400268554688,0.11357899755239487,60981.38480320014
145,2460975.9085648,93.7581817,36.6557801,2,17.91349983215332,0.07301100343465805,60975.40856479993
149,2460970.8647454,93.7581477,36.6557704,1,19.005699157714844,0.11286699771881104,60970.364745399915
153,2460966.8695833,93.758149,36.6556076,1,18.748300552368164,0.129940003156662,60966.36958329985
155,2460964.9190278,93.7581912,36.6556597,1,18.924299240112305,0.14140699803829193,60964.419027800206
156,2460956.941331,93.7580737,36.6556287,1,18.8085994720459,0.16962899267673492,60956.44133100007
159,2460954.8244097,93.7581827,36.6555497,1,18.605499267578125,0.16299200057983398,60954.3244097
163,2460950.9099653,93.7580622,36.6557041,2,17.818300247192383,0.07739099860191345,60950.4099653
164,2460948.9870139,93.7581026,36.6556083,2,17.849199295043945,0.06677000224590302,60948.48701390019
168,2460939.9094213,93.7581323,36.6557312,2,17.65410041809082,0.05833199992775917,60939.40942130005
171,2460930.9859375,93.7580713,36.6555887,1,18.7406005859375,0.14919599890708923,60930.48593749991
