,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461182.9189352,279.2430336,5.9432945,2,19.265079498291016,0.10369937121868134,61182.4189352002
3,2461181.9435301,279.2430485,5.9432896,1,17.938976287841797,0.05385120213031769,61181.44353009993
4,2461181.9202199,279.2430655,5.94328,2,17.812299728393555,0.04604100063443184,61181.42021990009
5,2461180.9947801,279.2430675,5.9432622,2,17.111900329589844,0.05715499818325043,61180.49478009995
6,2461180.9699537,279.2430365,5.9432695,3,17.157899856567383,0.03826500102877617,61180.46995369997
7,2461180.8954282,279.2430468,5.9432858,1,17.11090087890625,0.048948001116514206,61180.39542819979
8,2461179.9677778,279.2430538,5.9432965,3,17.95509910583496,0.0694039985537529,61179.467777799815
9,2461179.9388079,279.2430703,5.943259,2,17.93280029296875,0.06195800006389618,61179.438807900064
10,2461179.8953356,279.2430489,5.9432708,1,18.250900268554688,0.06852100044488907,61179.39533559978
12,2461176.9031829,279.2430565,5.9432961,2,19.304100036621094,0.14621900022029877,61176.403182900045
15,2461175.9434259,279.2430967,5.9432786,2,19.6200008392334,0.12935000658035278,61175.44342589984
16,2461175.9080208,279.2430232,5.9432883,1,19.65679931640625,0.12640899419784546,61175.40802079998
22,2461173.8639931,279.2430919,5.9432742,1,20.054800033569336,0.21110199391841888,61173.36399309989
25,2461172.8884606,279.2430627,5.9433176,1,20.317399978637695,0.20980100333690643,61172.38846059982
26,2461171.9435069,279.2430889,5.943279,2,19.631399154663086,0.14156100153923035,61171.44350690022
28,2461171.8693634,279.2430304,5.9433838,1,20.12700080871582,0.2043450027704239,61171.369363400154
51,2461158.9757755,279.2430169,5.943315,1,20.18320083618164,0.23731599748134613,61158.47577549983
52,2461158.9068634,279.2431036,5.943331,2,19.65719985961914,0.18523000180721283,61158.40686339978
57,2461151.9788079,279.2430413,5.9433001,1,18.57200050354004,0.07563000172376633,61151.4788079001
58,2461151.9523032,279.2430426,5.9432777,3,18.70639991760254,0.10891299694776535,61151.45230320003
59,2461151.9209028,279.2430435,5.9432678,2,18.392000198364258,0.056255001574754715,61151.420902799815
61,2461150.9737963,279.2430348,5.943285,1,19.727399826049805,0.17737600207328796,61150.473796300124
62,2461150.9230208,279.2430398,5.9432953,2,19.597200393676758,0.11933500319719315,61150.42302080011
63,2461148.9818403,279.2430734,5.943271,1,19.93589973449707,0.18365299701690674,61148.48184029991
66,2461147.9650694,279.2430772,5.9432684,2,19.26140022277832,0.11568800359964371,61147.46506940015
69,2461145.9690394,279.2430216,5.9433461,1,19.709800720214844,0.18247899413108826,61145.46903940011
73,2461138.9906829,279.2430584,5.9432863,3,19.286399841308594,0.18116800487041473,61138.49068289995
74,2461137.9867593,279.24304,5.9432712,2,18.10300064086914,0.05399100109934807,61137.48675929988
75,2461137.9463194,279.243066,5.9433091,1,18.226600646972656,0.07490299642086029,61137.44631939987
91,2461123.0167708,279.2430572,5.943339,1,20.26099967956543,0.2401130050420761,61122.51677080011
94,2461121.9645139,279.2430315,5.943284,2,18.86039924621582,0.09113699942827225,61121.464513900224
95,2461121.0197106,279.2430453,5.9432867,1,18.097900390625,0.05656500160694122,61120.51971059991
96,2461120.9893287,279.2430483,5.9432835,2,18.090099334716797,0.05627499893307686,61120.48932870012
99,2461116.0289236,279.2430517,5.9432982,2,19.33810043334961,0.17349599301815033,61115.52892359998
100,2461116.0114005,279.2431494,5.9433245,1,19.73310089111328,0.2282859981060028,61115.51140049985
112,2460953.6721759,279.2430837,5.9432637,2,19.26611328125,0.18045711517333984,60953.17217590008
118,2460943.6933681,279.2430697,5.9432981,2,19.426000595092773,0.136695995926857,60943.193368100096
119,2460943.6870949,279.2430409,5.943296,1,20.083999633789062,0.17194700241088867,60943.187094899826
123,2460934.6534491,279.2430321,5.9433022,1,20.160499572753906,0.20168499648571014,60934.15344909998
146,2460818.9108333,279.2430526,5.9433048,2,19.89996910095215,0.1368541717529297,60818.41083330009
147,2460818.8575347,279.2430435,5.9433305,1,20.403799057006836,0.27313798666000366,60818.35753470007
148,2460816.8602662,279.242995,5.943358,1,20.356199264526367,0.32184600830078125,60816.3602661998
159,2460709.0643981,279.2430608,5.9432712,2,19.536300659179688,0.15190738439559937,60708.564398100134
160,2460709.0599769,279.2430649,5.9432436,2,19.502099990844727,0.10335999727249146,60708.5599769
161,2460709.0565162,279.2430275,5.9432188,2,19.44659996032715,0.13056600093841553,60708.55651619984
163,2460708.0607986,279.2430986,5.9432404,2,19.339399337768555,0.22145700454711914,60707.56079859985
164,2460708.0573495,279.243007,5.9431591,2,19.56439971923828,0.2132129967212677,60707.55734949978
