,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461194.8480671,260.0736597,-16.7785769,2,17.395238876342773,0.04044237732887268,61194.34806710016
1,2461186.9466435,260.0736647,-16.7786161,3,17.893299102783203,0.07364600151777267,61186.44664350012
2,2461185.8487037,260.0736653,-16.7785538,2,17.91510009765625,0.06367000192403793,61185.34870370012
3,2461185.8487037,260.0736653,-16.7785538,2,17.91510009765625,0.06367000192403793,61185.34870370012
4,2461185.8262963,260.0736596,-16.7785924,1,18.83639907836914,0.10046699643135071,61185.32629630016
5,2461185.8262963,260.0736596,-16.7785924,1,18.83639907836914,0.10046699643135071,61185.32629630016
6,2461184.8924884,260.0737019,-16.7785881,3,18.656700134277344,0.11913999915122986,61184.392488399986
7,2461184.8924884,260.0737019,-16.7785881,3,18.656700134277344,0.11913999915122986,61184.392488399986
8,2461184.85625,260.0736418,-16.7785446,2,18.19409942626953,0.09208100289106369,61184.356250000186
9,2461184.8119213,260.0737496,-16.7786855,1,18.767000198364258,0.1521349996328354,61184.3119212999
10,2461183.9140625,260.0736537,-16.7785919,2,18.624900817871094,0.08624500036239624,61183.4140625
12,2461183.8283102,260.0736398,-16.7785581,1,19.362899780273438,0.12737900018692017,61183.32831020001
13,2461183.8283102,260.0736398,-16.7785581,1,19.362899780273438,0.12737900018692017,61183.32831020001
14,2461182.7954398,260.0736561,-16.778586,2,18.163700103759766,0.09364499896764755,61182.29543979978
15,2461182.7954398,260.0736561,-16.778586,2,18.163700103759766,0.09364499896764755,61182.29543979978
16,2461181.8983449,260.0736521,-16.7785897,2,17.946300506591797,0.07757499814033508,61181.39834489999
17,2461181.8983449,260.0736521,-16.7785897,2,17.946300506591797,0.07757499814033508,61181.39834489999
18,2461181.8587847,260.0736591,-16.7785611,1,18.545499801635742,0.0679669976234436,61181.35878469981
20,2461180.9195718,260.0736712,-16.7786192,2,18.348600387573242,0.05431099981069565,61180.41957180016
21,2461180.9195718,260.0736712,-16.7786192,2,18.348600387573242,0.05431099981069565,61180.41957180016
22,2461180.8746991,260.0737288,-16.7786483,1,19.34980010986328,0.1288750022649765,61180.37469909992
23,2461179.9505903,260.073611,-16.7785951,2,18.196199417114258,0.13439999520778656,61179.45059029991
24,2461179.8561111,260.0736975,-16.778629,1,18.923599243164062,0.1094990000128746,61179.35611109994
25,2461179.8561111,260.0736975,-16.778629,1,18.923599243164062,0.1094990000128746,61179.35611109994
27,2461176.9397685,260.0737078,-16.7786261,1,18.927200317382812,0.10597900301218033,61176.43976850016
28,2461176.898912,260.0736489,-16.7785714,2,17.93079948425293,0.049956001341342926,61176.398912000004
29,2461176.898912,260.0736489,-16.7785714,2,17.93079948425293,0.049956001341342926,61176.398912000004
31,2461175.9190625,260.0736465,-16.7785799,1,18.597999572753906,0.08703699707984924,61175.41906249989
33,2461175.8534491,260.0736572,-16.7785867,2,17.96339988708496,0.05145899951457977,61175.35344910016
34,2461174.8978588,260.0737817,-16.7786566,1,19.35930061340332,0.11281800270080566,61174.3978587999
35,2461174.8978588,260.0737817,-16.7786566,1,19.35930061340332,0.11281800270080566,61174.3978587999
36,2461174.8556597,260.0736597,-16.778552,2,17.895000457763672,0.06885600090026855,61174.3556597
37,2461174.8556597,260.0736597,-16.778552,2,17.895000457763672,0.06885600090026855,61174.3556597
39,2461173.9396528,260.0736605,-16.7785837,2,17.041900634765625,0.03601900115609169,61173.439652800094
41,2461173.8559491,260.0736781,-16.7786278,1,18.60770034790039,0.07570099830627441,61173.35594910011
43,2461172.8984954,260.0736741,-16.7786162,3,17.569000244140625,0.06348899751901627,61172.39849539986
