,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461167.6650116,139.536473,-5.6259979,3,17.761608123779297,0.0972062423825264,61167.165011600126
2,2461161.7359144,139.5366739,-5.6260427,3,18.0575008392334,0.15182200074195862,61161.23591439985
3,2461160.6712037,139.5365498,-5.6260499,3,17.75550079345703,0.12243100255727768,61160.171203699894
4,2461159.6816088,139.5365308,-5.6260038,3,17.85059928894043,0.10458900034427643,61159.181608799845
6,2461150.6570255,139.5366236,-5.6260552,1,18.104999542236328,0.11834699660539627,61150.1570255002
7,2461149.6540972,139.5365762,-5.6260312,1,17.477399826049805,0.14495700597763062,61149.154097199906
10,2461146.6841319,139.5365869,-5.6260409,3,17.58769989013672,0.11608800292015076,61146.18413189985
11,2461145.6645139,139.5366168,-5.6260738,3,17.84000015258789,0.10187900066375732,61145.164513899945
13,2461140.7027315,139.5365533,-5.626043,3,17.75659942626953,0.10274100303649902,61140.202731499914
14,2461139.7136806,139.5365806,-5.6261117,1,18.10219955444336,0.12574100494384766,61139.213680599816
15,2461139.6692361,139.5365216,-5.6260744,2,18.218000411987305,0.15249300003051758,61139.16923609981
16,2461139.6623958,139.5365485,-5.6260327,3,17.499300003051758,0.06911800056695938,61139.1623958
17,2461138.7359144,139.5365091,-5.6260307,3,17.9335994720459,0.0997999981045723,61138.23591439985
18,2461138.6918519,139.5365434,-5.6260551,1,18.001699447631836,0.14933399856090546,61138.19185189996
20,2461137.7271991,139.5366026,-5.6260201,1,18.012800216674805,0.08404099941253662,61137.22719909996
21,2461137.6695139,139.5365553,-5.6260023,2,17.845699310302734,0.11838000267744064,61137.16951389983
23,2461134.8479167,139.5365653,-5.626106,3,17.43910026550293,0.10343100130558014,61134.347916699946
24,2461134.8405671,139.5369119,-5.6258958,1,18.115299224853516,0.18873900175094604,61134.34056709986
26,2461134.8367593,139.5368677,-5.626239,2,18.2268009185791,0.1404000073671341,61134.33675929997
27,2461132.8193634,139.5366168,-5.6258614,1,18.222000122070312,0.18006500601768494,61132.319363399874
28,2461132.7931366,139.5365724,-5.6260406,3,17.495899200439453,0.11294499784708023,61132.29313659994
30,2461125.8226968,139.5365955,-5.6260634,1,18.24850082397461,0.12662099301815033,61125.32269679988
31,2461125.7652778,139.5365549,-5.6260049,3,17.48080062866211,0.06718099862337112,61125.26527780015
33,2461124.8621296,139.5365138,-5.6259704,3,17.911300659179688,0.06866700202226639,61124.36212959979
34,2461124.7983449,139.5367042,-5.6259591,1,17.993499755859375,0.0968720018863678,61124.2983448999
35,2461124.7983449,139.5366213,-5.6260067,1,17.98819923400879,0.06382700055837631,61124.2983448999
37,2461123.8208796,139.5365559,-5.626055,3,17.943700790405273,0.10003100335597992,61123.32087960001
40,2461122.8092824,139.536619,-5.6260105,1,17.857999801635742,0.0737840011715889,61122.30928240018
42,2461122.6824074,139.536539,-5.6260528,3,17.707199096679688,0.06791199743747711,61122.182407400105
46,2461119.797419,139.53656,-5.6260267,3,18.18950080871582,0.11578100174665451,61119.29741899995
51,2461117.8404745,139.5365939,-5.6261049,1,18.488399505615234,0.13442300260066986,61117.340474499855
53,2461116.7414699,139.5365898,-5.6260389,3,17.871599197387695,0.09713999927043915,61116.241469900124
57,2461114.8423727,139.5364639,-5.6264234,2,19.076200485229492,0.18201500177383423,61114.342372700106
59,2461114.7967245,139.5365483,-5.6260303,3,17.659400939941406,0.08359400182962418,61114.296724500135
60,2461113.7917708,139.5365635,-5.6260596,3,17.782400131225586,0.13104000687599182,61113.29177080002
64,2461112.7603356,139.5365401,-5.6260585,3,17.846599578857422,0.07763099670410156,61112.2603356
67,2461108.7821875,139.5365498,-5.6259855,3,17.765300750732422,0.11811800301074982,61108.28218750004
68,2461108.7501968,139.5365943,-5.6261669,1,18.139400482177734,0.12022200226783752,61108.2501968001
70,2461107.8284491,139.5365604,-5.6259235,3,17.40290069580078,0.0977490022778511,61107.32844909979
71,2461107.7533218,139.5365847,-5.6259479,1,18.041400909423828,0.131632000207901,61107.253321799915
72,2461106.9229745,139.5363548,-5.6261314,2,18.553499221801758,0.25366801023483276,61106.422974499874
73,2461106.7843171,139.5365393,-5.6260711,3,17.558700561523438,0.07814499735832214,61106.284317099955
74,2461106.693831,139.5366006,-5.626044,1,17.717100143432617,0.08285800367593765,61106.19383100001
77,2461102.793287,139.5366286,-5.6260754,1,18.478500366210938,0.12662899494171143,61102.29328700015
79,2461100.7748958,139.5365755,-5.6260145,1,17.582399368286133,0.12446299940347672,61100.27489579981
81,2461099.7824306,139.5365332,-5.6259722,3,17.892499923706055,0.11782799661159515,61099.28243059991
83,2461098.7683333,139.5365531,-5.6260348,1,17.54450035095215,0.13124899566173553,61098.26833330002
84,2461097.8601042,139.5366192,-5.6260028,1,18.02239990234375,0.13157999515533447,61097.360104199965
86,2461097.7032523,139.5365438,-5.6260352,3,17.5935001373291,0.12530599534511566,61097.203252300154
88,2461096.8645139,139.5365623,-5.6260344,3,17.785900115966797,0.08239799737930298,61096.36451390013
