,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461184.9869907,11.6078036,38.3399597,2,19.130138397216797,0.1623140573501587,61184.48699070001
1,2461184.9816667,11.6077729,38.3399279,2,19.216699600219727,0.17468200623989105,61184.48166669998
2,2461184.9782755,11.6077293,38.3399249,2,19.170000076293945,0.12593500316143036,61184.47827549977
3,2461183.9878819,11.607762,38.3399052,2,18.131500244140625,0.08253300189971924,61183.48788189981
4,2461183.9830671,11.6077418,38.3399548,2,18.23780059814453,0.06562899798154831,61183.483067099936
5,2461183.9791898,11.6077362,38.3399569,2,18.264799118041992,0.07082100212574005,61183.4791898001
6,2461181.9893287,11.6077737,38.3399601,2,17.426599502563477,0.060394998639822006,61181.48932870012
7,2461181.9840741,11.6077414,38.3399485,2,17.445199966430664,0.05474499985575676,61181.48407409992
8,2461181.9807176,11.6077056,38.3399633,2,17.462099075317383,0.04393099993467331,61181.48071759986
9,2461180.9890741,11.6077782,38.3399308,2,17.288000106811523,0.04603999853134155,61180.48907409981
10,2461180.9847338,11.6077141,38.3399627,2,17.316999435424805,0.04941999912261963,61180.48473379994
11,2461180.9813773,11.6077505,38.3399367,2,17.302900314331055,0.03711500018835068,61180.481377299875
12,2461179.9896759,11.6077476,38.3399975,2,17.343700408935547,0.07798799872398376,61179.48967589997
13,2461179.9858102,11.6077103,38.3399739,2,17.228700637817383,0.05463699996471405,61179.48581020022
14,2461179.9819444,11.607802,38.339946,2,17.195499420166016,0.05733900144696236,61179.481944399886
15,2461176.9921644,11.6078273,38.3399147,2,17.033000946044922,0.1301250010728836,61176.49216439994
16,2461176.9876852,11.6076428,38.3399239,2,17.19540023803711,0.08143100142478943,61176.48768519983
17,2461176.983831,11.6077338,38.3399045,2,17.12689971923828,0.04207099974155426,61176.48383100005
48,2460619.8096528,11.607765,38.3399314,1,19.121450424194336,0.10189351439476013,60619.309652800206
49,2460616.8722801,11.6077767,38.3399492,1,17.047199249267578,0.036017999053001404,60616.372280099895
68,2460239.8509259,11.6077645,38.3399568,2,18.6004581451416,0.07481032609939575,60239.35092590004
69,2460239.7630208,11.6077516,38.339953,1,18.401899337768555,0.0633699968457222,60239.26302079996
72,2460235.7474421,11.6078731,38.3399176,2,20.856599807739258,0.2751869857311249,60235.2474421002
73,2460235.6998032,11.6078033,38.340056,1,21.08839988708496,0.330951988697052,60235.199803200085
74,2460233.8490856,11.6077577,38.3399417,1,18.754499435424805,0.0619719997048378,60233.349085600115
75,2460233.6799421,11.6077548,38.3399414,2,18.720800399780273,0.06258799880743027,60233.17994209984
76,2460231.831331,11.607656,38.3399889,2,20.1835994720459,0.18700799345970154,60231.3313310002
77,2460231.8062963,11.6077376,38.3399763,1,20.202199935913086,0.15272800624370575,60231.30629630014
78,2460228.7956134,11.6077689,38.3399252,2,18.188600540161133,0.04874600097537041,60228.29561340017
79,2460228.7443866,11.6077626,38.3399471,1,17.982799530029297,0.05078100040555,60228.244386599865
80,2460226.7863194,11.6077485,38.3399557,2,17.82390022277832,0.0410039983689785,60226.286319400184
81,2460223.8028009,11.6077696,38.3399423,1,17.077800750732422,0.034046001732349396,60223.30280089984
82,2460223.7221412,11.6077572,38.3399341,2,17.598499298095703,0.0335719995200634,60223.22214120021
83,2460221.8641667,11.6077515,38.3399349,1,17.338300704956055,0.04379799962043762,60221.364166699816
84,2460221.8185185,11.6077637,38.3399388,2,17.412200927734375,0.03790299966931343,60221.318518499844
85,2460216.9861458,11.6077676,38.3399391,2,17.260499954223633,0.04772699996829033,60216.48614579998
86,2460216.835162,11.6077728,38.3399416,1,17.019899368286133,0.042263999581336975,60216.3351619998
87,2460214.965081,11.607778,38.3399331,1,16.88759994506836,0.03818000108003616,60214.46508099977
88,2460214.8082292,11.607768,38.339942,2,17.142200469970703,0.0407009981572628,60214.308229200076
110,2459803.9780208,11.6077575,38.3399551,1,17.530038833618164,0.04633840173482895,59803.47802079981
111,2459803.8843056,11.6077216,38.3399645,2,17.76420021057129,0.04495000094175339,59803.38430560008
112,2459801.9670255,11.607771,38.339933,2,17.397300720214844,0.03844299912452698,59801.46702549979
113,2459801.9293056,11.6077625,38.3399407,1,17.239500045776367,0.040376000106334686,59801.4293056
114,2459798.9520255,11.6077682,38.3399437,2,17.80340003967285,0.041432999074459076,59798.452025500126
115,2459798.9109259,11.6077599,38.3399415,1,17.709199905395508,0.04479299858212471,59798.4109259001
136,2459176.7249421,11.607704,38.3399936,1,18.442800521850586,0.13607700169086456,59176.22494209977
137,2459174.6160648,11.6077616,38.3399363,2,17.51110076904297,0.04488399997353554,59174.11606479995
138,2459172.6569097,11.6077531,38.3399392,2,17.316699981689453,0.034269001334905624,59172.15690970002
139,2459170.7051389,11.6077734,38.3399346,1,16.870100021362305,0.03293300047516823,59170.20513889985
140,2459170.6412616,11.6077582,38.339946,2,17.095199584960938,0.038047000765800476,59170.14126159996
141,2459168.7260532,11.6077723,38.3399446,1,18.335800170898438,0.06826300173997879,59168.2260532002
142,2459168.6402315,11.6077355,38.3399548,2,19.08209991455078,0.07480300217866898,59168.140231499914
161,2458750.8683912,11.6077543,38.3399299,1,17.362499237060547,0.04802900180220604,58750.36839119997
162,2458750.8251273,11.6077828,38.3399272,2,17.49880027770996,0.04206499829888344,58750.325127299875
163,2458747.9212153,11.6077623,38.3399458,2,17.371299743652344,0.048149000853300095,58747.42121529998
164,2458747.8206944,11.6077588,38.3399478,1,17.17169952392578,0.038346998393535614,58747.3206944
178,2458490.6325579,11.6077873,38.3399171,2,17.646900177001953,0.04774700105190277,58490.13255790016
179,2458486.6534606,11.6077694,38.3399268,1,17.063100814819336,0.03774299845099449,58486.15346059995
180,2458486.6122454,11.6077777,38.3399276,2,17.274599075317383,0.03582900017499924,58486.11224539997
