,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461186.9405208,294.0526342,-17.1925018,3,18.765615463256836,0.19059717655181885,61186.440520800184
1,2461185.9405324,294.0525917,-17.1924772,2,19.829099655151367,0.1942249983549118,61185.44053239981
2,2461185.9183796,294.052517,-17.1924567,1,19.62459945678711,0.1695680022239685,61185.41837960016
4,2461184.9180671,294.052495,-17.1925066,1,19.69969940185547,0.16493700444698334,61184.41806709999
5,2461184.8628819,294.0526485,-17.1922144,2,19.63479995727539,0.2565470039844513,61184.36288189981
7,2461183.8904282,294.0526742,-17.1925546,3,18.649799346923828,0.12041100114583969,61183.3904281999
8,2461182.9418634,294.0526163,-17.1924814,1,19.728900909423828,0.16543400287628174,61182.44186339993
9,2461181.9406944,294.0525533,-17.1925878,1,19.60759925842285,0.18545299768447876,61181.44069440011
10,2461181.9178588,294.0525304,-17.1925165,2,19.6924991607666,0.15721699595451355,61181.41785879992
11,2461180.958044,294.0525879,-17.1924073,2,19.73200035095215,0.19693300127983093,61180.45804399997
12,2461180.8983218,294.0525313,-17.1924567,1,19.533199310302734,0.21285399794578552,61180.398321799934
14,2461175.9357292,294.0526011,-17.1925558,1,19.382400512695312,0.10639099776744843,61175.43572920002
15,2461174.9421875,294.0526152,-17.1923796,2,19.622100830078125,0.18039999902248383,61174.442187500186
16,2461174.9320486,294.0526128,-17.1925081,3,18.685699462890625,0.11612500250339508,61174.43204860017
17,2461174.9125926,294.0524377,-17.1924907,1,19.593399047851562,0.17298200726509094,61174.4125926001
18,2461173.9258449,294.0526135,-17.1925383,3,18.69580078125,0.12063699960708618,61173.425844899844
20,2461172.9164236,294.0525967,-17.1924793,3,18.67609977722168,0.11748699843883514,61172.41642360017
21,2461172.8813889,294.0524772,-17.1924783,1,19.5935001373291,0.19183200597763062,61172.38138889987
22,2461171.9565278,294.0525646,-17.1924848,2,19.49220085144043,0.18417300283908844,61171.45652779983
