,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458661.9529861,291.2503151,43.002196,1,19.074899673461914,0.10339900106191635,58661.45298610022
1,2458661.9525231,291.2503663,43.0022222,1,19.019699096679688,0.09015599638223648,58661.45252310019
2,2458661.8502199,291.2503366,43.0022169,2,19.0447998046875,0.10505300015211105,58661.35021989979
3,2458661.8488426,291.2503102,43.0022382,2,19.110000610351562,0.099031001329422,58661.348842599895
4,2458660.8496644,291.2503328,43.0022371,1,18.13610076904297,0.06577300280332565,58660.349664399866
5,2458660.848287,291.2502945,43.0022152,1,18.13990020751953,0.05480799823999405,58660.348286999855
6,2458660.8322917,291.2503426,43.0022111,2,18.383899688720703,0.06696999818086624,58660.332291699946
7,2458660.8318287,291.250289,43.0022288,2,18.3218994140625,0.05553799867630005,58660.33182869991
29,2458647.8831481,291.2503346,43.0022119,1,18.401599884033203,0.06950700283050537,58647.38314810023
30,2458647.8813194,291.2503218,43.0022124,1,18.39229965209961,0.08055900037288666,58647.38131939992
31,2458647.8268403,291.2503033,43.0022157,2,18.561399459838867,0.06921099871397018,58647.32684030011
32,2458647.7960301,291.2503591,43.0022029,2,18.481800079345703,0.08816300332546234,58647.29603009997
33,2458644.9651968,291.2503243,43.002253,2,19.824499130249023,0.1432819962501526,58644.46519679995
34,2458644.9331481,291.2502707,43.0022426,1,19.89929962158203,0.13754600286483765,58644.43314810004
35,2458644.8256366,291.2503159,43.0022129,2,19.729299545288086,0.1620669960975647,58644.325636600144
36,2458641.9654861,291.2503295,43.0022398,2,20.437000274658203,0.18138399720191956,58641.46548609994
39,2458641.9156134,291.2502759,43.002269,2,20.36389923095703,0.16026900708675385,58641.41561339982
40,2458638.9656134,291.250428,43.0021037,2,20.35140037536621,0.23403599858283997,58638.4656134001
41,2458638.9545833,291.2503957,43.0021936,1,20.913799285888672,0.3092130124568939,58638.45458329981
43,2458638.7984606,291.2502893,43.0022173,2,20.434799194335938,0.20425499975681305,58638.298460599966
45,2458635.9506366,291.2504206,43.0023057,1,21.363399505615234,0.365449994802475,58635.450636600144
46,2458635.8898843,291.2502552,43.0021922,2,20.862300872802734,0.33887600898742676,58635.389884300064
48,2458632.9659375,291.2503096,43.0022179,2,17.906200408935547,0.05752100050449371,58632.46593749989
49,2458632.9357986,291.2503392,43.0022274,1,17.719100952148438,0.05436300113797188,58632.43579859985
50,2458632.9335185,291.250305,43.0022324,1,17.710899353027344,0.05670500174164772,58632.43351850007
51,2458632.8189236,291.250311,43.0022117,2,17.877399444580078,0.05006499961018562,58632.31892360002
52,2458627.9068866,291.2503184,43.0022094,2,17.362199783325195,0.03880000114440918,58627.40688659996
53,2458627.9027199,291.2503216,43.0022251,2,17.378000259399414,0.0564659982919693,58627.40271990001
