,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458670.6874537,183.0122177,29.985724,2,19.709400177001953,0.211558997631073,58670.18745370023
3,2458661.7244329,183.0120642,29.9858173,1,19.76219940185547,0.16138799488544464,58661.22443290008
4,2458661.7002894,183.0121611,29.985843,2,19.20639991760254,0.11938700079917908,58661.20028939983
5,2458658.7034491,183.0121751,29.9857741,1,19.43429946899414,0.11888699978590012,58658.20344909979
7,2458654.7631481,183.0120541,29.9857283,1,19.013200759887695,0.11996699869632721,58654.263148100115
8,2458654.6749306,183.0121619,29.9857875,2,19.021900177001953,0.11887899786233902,58654.174930599984
9,2458651.7347106,183.0121144,29.985829,2,18.87190055847168,0.1280909925699234,58651.23471060023
10,2458651.6724884,183.0121631,29.9857877,1,18.814599990844727,0.14092199504375458,58651.17248839978
11,2458648.6961227,183.0121265,29.985711,2,18.785200119018555,0.1273999959230423,58648.19612269988
12,2458648.684294,183.0121693,29.9857536,1,18.744300842285156,0.11308900266885757,58648.1842939998
13,2458645.6967708,183.0121778,29.9857744,1,18.672399520874023,0.10094600170850754,58645.19677079981
14,2458642.7219444,183.0121508,29.9857774,2,18.95210075378418,0.08935300260782242,58642.22194440011
15,2458642.7020833,183.0121678,29.9857728,1,18.701499938964844,0.08148699998855591,58642.20208329987
16,2458639.7245602,183.0121665,29.9857771,1,18.942699432373047,0.07934000343084335,58639.22456019977
17,2458639.6819213,183.0121904,29.9857772,2,19.212799072265625,0.11555899679660797,58639.18192130001
18,2458636.7379861,183.0121713,29.9857546,1,19.448699951171875,0.1268630027770996,58636.237986099906
19,2458633.7263657,183.0121915,29.9857238,1,20.257999420166016,0.1880660057067871,58633.2263656999
