,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458661.6905208,234.4794011,4.7262198,2,20.135000228881836,0.19894200563430786,58661.190520800184
1,2458658.7340162,234.4793482,4.7262428,2,20.03849983215332,0.1931149959564209,58658.23401620006
2,2458658.711331,234.4793624,4.7261296,1,20.848100662231445,0.2825480103492737,58658.211331000086
3,2458655.7319329,234.4791779,4.7261645,1,20.394800186157227,0.25061899423599243,58655.231932899915
4,2458655.6921296,234.4793911,4.7261662,2,19.93779945373535,0.19414100050926208,58655.19212959986
5,2458652.7926968,234.4793362,4.7262467,2,19.683700561523438,0.29899901151657104,58652.29269680008
6,2458652.6722685,234.4793024,4.7262322,1,19.84309959411621,0.26831498742103577,58652.172268500086
9,2458645.7950694,234.4793699,4.726253,2,19.47570037841797,0.15282699465751648,58645.29506940022
10,2458645.7310995,234.4794805,4.7261355,1,19.50950050354004,0.18300999701023102,58645.231099499855
11,2458642.7965972,234.4793476,4.7262346,1,19.570199966430664,0.10007599741220474,58642.29659719998
12,2458642.7718056,234.4793688,4.7262399,2,19.43560028076172,0.13942000269889832,58642.2718055998
13,2458639.7730324,234.4793745,4.7262236,2,19.425199508666992,0.15121400356292725,58639.273032399826
14,2458639.752338,234.4793486,4.7261851,1,19.48259925842285,0.12863799929618835,58639.25233800011
15,2458636.7730903,234.4793621,4.7262294,1,19.70240020751953,0.12095300108194351,58636.27309030015
16,2458636.7113426,234.4793693,4.7262348,2,19.63319969177246,0.13088800013065338,58636.211342600174
17,2458633.7978704,234.4793309,4.7262352,2,20.07029914855957,0.2063719928264618,58633.297870399896
