,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458667.7231713,170.2667617,31.2494261,2,18.596500396728516,0.08135300129652023,58667.22317129979
1,2458667.7069444,170.2667551,31.2494525,1,19.215200424194336,0.11981000006198883,58667.20694439998
2,2458661.7007523,170.2667507,31.2494438,2,17.71419906616211,0.04638399928808212,58661.20075230021
3,2458658.6946412,170.2667758,31.2494429,1,17.45479965209961,0.043421000242233276,58658.194641199894
4,2458658.6840856,170.2667613,31.2494367,2,17.470199584960938,0.040137000381946564,58658.18408560008
5,2458654.7645139,170.2667904,31.2494422,1,17.097400665283203,0.050280001014471054,58654.26451390004
6,2458654.6813542,170.2667692,31.2494416,2,17.138200759887695,0.04964999854564667,58654.1813542
7,2458651.736088,170.2667638,31.2494303,2,17.046300888061523,0.04104800149798393,58651.23608799977
8,2458651.6747569,170.266786,31.249441,1,16.866300582885742,0.03747100010514259,58651.17475689994
9,2458648.6956597,170.2667817,31.2494341,2,16.96339988708496,0.040973000228405,58648.19565969985
10,2458648.6847454,170.2667933,31.2494348,1,16.811399459838867,0.044422000646591187,58648.18474540021
11,2458645.6990625,170.2667789,31.2494417,1,16.916200637817383,0.0420989990234375,58645.19906250015
12,2458642.7155671,170.2667674,31.249443,2,18.712099075317383,0.07719500362873077,58642.21556709986
13,2458642.6721065,170.2667774,31.2494269,1,18.40019989013672,0.08486899733543396,58642.172106499784
