,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458674.9619444,334.1147071,-3.1869966,2,19.97480010986328,0.18240800499916077,58674.46194439987
2,2458668.9455324,334.1146535,-3.1869887,1,20.24850082397461,0.17460399866104126,58668.44553240016
3,2458668.8747222,334.114628,-3.1870265,2,19.884599685668945,0.1983419954776764,58668.37472219998
4,2458665.9803125,334.1146276,-3.1870352,1,19.981399536132812,0.24844899773597717,58665.48031250015
5,2458665.9386343,334.1146446,-3.1869863,2,19.58690071105957,0.11849699914455414,58665.43863430014
6,2458661.9599769,334.1146111,-3.1869981,1,19.657699584960938,0.13502800464630127,58661.4599768999
7,2458661.9240509,334.114649,-3.1870131,2,19.353200912475586,0.1280820071697235,58661.424050900154
8,2458658.9629051,334.1146291,-3.1869304,1,19.4507999420166,0.16335900127887726,58658.46290510008
9,2458658.9162037,334.1146248,-3.1869518,2,19.33329963684082,0.12290800362825394,58658.416203700006
10,2458653.9402315,334.1146028,-3.1870134,2,19.131500244140625,0.15130800008773804,58653.44023150019
11,2458653.8771875,334.1146006,-3.1870287,1,19.373899459838867,0.2580919861793518,58653.37718749978
12,2458650.9231366,334.1146378,-3.1869934,2,19.23150062561035,0.14104899764060974,58650.42313659983
13,2458647.9656019,334.1146639,-3.1870246,1,19.39739990234375,0.1237260028719902,58647.46560190013
14,2458644.9411343,334.1146348,-3.1869996,1,19.70680046081543,0.1658950001001358,58644.44113430008
15,2458641.9401852,334.1146954,-3.1869968,1,20.240100860595703,0.21946999430656433,58641.44018519996
