,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458689.6724769,245.0211568,0.7914186,2,19.436599731445312,0.14297500252723694,58689.17247689981
1,2458685.6889352,245.0211722,0.791438,1,19.839500427246094,0.1889670044183731,58685.18893520022
2,2458685.6657407,245.0211326,0.7914307,2,19.595600128173828,0.2145709991455078,58685.16574069997
3,2458682.733206,245.0211805,0.7914301,2,19.331600189208984,0.14396600425243378,58682.23320600018
5,2458678.7091319,245.0211321,0.7914148,2,19.303699493408203,0.16972799599170685,58678.20913190022
6,2458675.7948727,245.0212025,0.7914292,1,19.416400909423828,0.2077600061893463,58675.29487269977
7,2458675.7466667,245.0211653,0.7913943,2,19.075599670410156,0.13175000250339508,58675.24666670011
8,2458672.685787,245.0211847,0.7914098,1,19.388900756835938,0.14653800427913666,58672.18578700023
9,2458668.67625,245.021127,0.7914236,2,19.23110008239746,0.12770399451255798,58668.17625000002
10,2458665.7547106,245.0211781,0.7914192,2,19.146400451660156,0.09088999778032303,58665.25471059978
11,2458665.7098958,245.0211595,0.7914363,1,19.163700103759766,0.08931100368499756,58665.20989579987
12,2458660.7305093,245.0211347,0.7913897,2,19.20479965209961,0.12408299744129181,58660.230509299785
13,2458660.6715741,245.021101,0.7915314,1,19.18239974975586,0.22719800472259521,58660.17157409992
14,2458657.7091435,245.0211231,0.7914245,1,19.268999099731445,0.1063769981265068,58657.209143499844
15,2458654.7730903,245.021198,0.7914143,1,19.44070053100586,0.19046500325202942,58654.27309030015
16,2458654.7104398,245.0211396,0.7914428,2,19.37689971923828,0.14257900416851044,58654.21043979982
