,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458703.9174306,342.4385126,35.0228887,2,20.18160057067871,0.14540399610996246,58703.41743060015
1,2458699.932338,342.4385139,35.0229262,1,20.547800064086914,0.17328199744224548,58699.43233799981
2,2458696.9158912,342.4384697,35.0228786,1,20.373300552368164,0.15410399436950684,58696.41589119984
3,2458696.8863194,342.4385146,35.0228762,2,19.993499755859375,0.11133299767971039,58696.38631939981
4,2458693.9115046,342.4384709,35.0228821,1,20.214599609375,0.15392599999904633,58693.4115046002
5,2458693.88875,342.4384668,35.0228592,2,19.773799896240234,0.10959000140428543,58693.388749999925
6,2458690.9430671,342.4385285,35.0229017,1,19.91950035095215,0.13483299314975739,58690.4430670999
7,2458690.9032639,342.4385015,35.0228966,2,19.63960075378418,0.12095099687576294,58690.40326389996
8,2458686.965,342.4385196,35.0228234,1,19.434200286865234,0.18525199592113495,58686.46499999985
10,2458683.9624769,342.4385108,35.0228175,1,19.419700622558594,0.17048600316047668,58683.46247689985
11,2458683.9209491,342.4384993,35.0228912,2,19.292699813842773,0.12376700341701508,58683.42094910005
12,2458680.9656481,342.4385003,35.0227969,1,19.258100509643555,0.16017800569534302,58680.46564809978
13,2458677.9467593,342.4384964,35.0229044,1,19.16119956970215,0.10225500166416168,58677.44675929984
14,2458677.8019329,342.4384786,35.0228906,2,19.130699157714844,0.11028099805116653,58677.30193290021
15,2458674.978287,342.4385081,35.0228968,2,19.16939926147461,0.07935900241136551,58674.47828700021
16,2458674.9518403,342.4384893,35.0228963,1,19.117900848388672,0.09606800228357315,58674.45184030011
17,2458671.9297917,342.438513,35.0228802,2,19.284799575805664,0.09167899936437607,58671.429791700095
18,2458668.9510764,342.4385048,35.0228974,1,19.36479949951172,0.08244899660348892,58668.4510764
19,2458668.8599537,342.4385178,35.0228687,2,19.53700065612793,0.09162499755620956,58668.3599537001
20,2458665.973831,342.4385207,35.0229038,1,19.725299835205078,0.12577100098133087,58665.47383099981
21,2458665.9436343,342.4384742,35.0228755,2,19.952600479125977,0.1277180016040802,58665.44363430003
22,2458661.9731944,342.4384884,35.0229435,1,20.74570083618164,0.33886998891830444,58661.47319439985
