,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461127.0006597,262.6364211,-13.2870362,1,19.41461944580078,0.13976503908634186,61126.50065970002
1,2461126.934213,262.6364545,-13.2870765,2,19.029600143432617,0.10834799706935883,61126.434212999884
3,2461124.9441319,262.636476,-13.2870658,2,18.64299964904785,0.08505000174045563,61124.44413190009
4,2461124.0061227,262.6364644,-13.2870339,1,18.8346004486084,0.0949380025267601,61123.50612269994
7,2461122.0050231,262.6364479,-13.2870782,1,18.656099319458008,0.09470199793577194,61121.50502309995
8,2461121.9621644,262.6364487,-13.2870422,2,18.1924991607666,0.07737500220537186,61121.462164400145
9,2461121.007581,262.6364331,-13.2870286,1,18.444000244140625,0.07671099901199341,61120.507581000216
10,2461120.985081,262.6364719,-13.2870548,2,18.188400268554688,0.08078400045633316,61120.48508099979
11,2461119.9969329,262.6364481,-13.2870587,2,18.07539939880371,0.07102199643850327,61119.496932900045
12,2461119.9533912,262.6364162,-13.287023,1,18.322200775146484,0.08784899860620499,61119.45339119993
13,2461119.0215394,262.6364387,-13.2870295,1,18.215999603271484,0.0553629994392395,61118.521539399866
14,2461117.0228241,262.6365266,-13.2871292,2,18.09830093383789,0.1487790048122406,61116.52282410022
15,2461116.9822338,262.6363943,-13.287066,1,18.309600830078125,0.10694099962711334,61116.482233799994
16,2461116.0066782,262.6364846,-13.2870243,1,18.786100387573242,0.11807899922132492,61115.50667819986
17,2461115.9640278,262.6364636,-13.2870921,2,18.83690071105957,0.12999099493026733,61115.46402780013
32,2459797.7322338,262.6364428,-13.2870337,1,19.48085594177246,0.16389696300029755,59797.232233799994
34,2459793.7528472,262.6364679,-13.2870271,1,18.67300033569336,0.09306400269269943,59793.252847199794
35,2459790.753206,262.6364544,-13.2870657,2,18.028799057006836,0.08366300165653229,59790.2532060002
36,2459790.7127778,262.6364401,-13.2870621,1,18.349199295043945,0.10740800201892853,59790.21277779993
37,2459788.795625,262.6364737,-13.2870181,1,17.871700286865234,0.05394599959254265,59788.295624999795
38,2459788.7522917,262.6364617,-13.2870541,2,17.88559913635254,0.06456000357866287,59788.25229169987
39,2459786.7522222,262.6364427,-13.2870424,2,17.97130012512207,0.06201799958944321,59786.252222199924
40,2459786.728588,262.6364595,-13.2870362,1,18.256999969482422,0.076323002576828,59786.22858799994
59,2458674.7102199,262.6364554,-13.2870937,2,19.500200271606445,0.20475099980831146,58674.210219900124
60,2458674.6899421,262.6364596,-13.2868973,1,19.79290008544922,0.2139589935541153,58674.189942100085
