,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458733.9064931,23.7946474,28.5249278,2,20.3346004486084,0.21328699588775635,58733.40649309987
1,2458721.9587037,23.794641,28.5249115,2,19.581100463867188,0.12416999787092209,58721.45870369999
2,2458718.9617245,23.7946299,28.5248646,2,19.475099563598633,0.10713700205087662,58718.46172450017
5,2458715.9223958,23.7946547,28.5248657,2,19.232900619506836,0.13696999847888947,58715.422395799775
6,2458712.925625,23.7945805,28.5248782,2,19.238300323486328,0.11277300119400024,58712.42562500015
7,2458709.9994676,23.7946557,28.524834,1,19.714500427246094,0.17156200110912323,58709.49946760014
8,2458706.9988889,23.7946322,28.52488,2,19.19070053100586,0.09746100008487701,58706.49888890004
9,2458706.9661806,23.7946369,28.5248951,1,19.40880012512207,0.15781700611114502,58706.466180600226
10,2458703.9773843,23.7946516,28.5248755,1,19.136600494384766,0.09865699708461761,58703.47738429997
11,2458703.9421528,23.7946134,28.5248587,2,18.938499450683594,0.08698300272226334,58703.44215280004
12,2458701.0021065,23.7946146,28.5248908,1,18.827699661254883,0.10271400213241577,58700.50210649986
13,2458700.9629861,23.7946549,28.5248571,1,18.82379913330078,0.11004199832677841,58700.4629861
14,2458700.9428935,23.7946174,28.5248839,2,18.749900817871094,0.06815800070762634,58700.442893499974
15,2458697.9881366,23.7946405,28.5248552,1,18.651899337768555,0.09019400179386139,58697.48813659977
16,2458697.9652546,23.794651,28.5248643,1,18.64459991455078,0.0826530009508133,58697.46525460016
17,2458697.9243866,23.7946217,28.524889,2,18.61050033569336,0.07447200268507004,58697.42438660003
18,2458694.9753704,23.7946318,28.5248608,1,18.601299285888672,0.07938499748706818,58694.47537040012
19,2458694.9121412,23.7946139,28.5248618,2,18.58839988708496,0.06887099891901016,58694.412141200155
20,2458691.9710532,23.7946448,28.5248735,1,18.672199249267578,0.08102300018072128,58691.47105319984
21,2458691.9335301,23.79462,28.5248838,2,18.72410011291504,0.07635600119829178,58691.433530100156
22,2458688.9884722,23.7946356,28.5248514,1,18.9237003326416,0.12914900481700897,58688.4884722
23,2458688.9787037,23.7946462,28.5248865,1,18.85099983215332,0.11388199776411057,58688.478703700006
24,2458688.9346296,23.7946225,28.5248706,2,18.95800018310547,0.09195999801158905,58688.43462960003
25,2458685.9463889,23.7946134,28.5249567,2,19.57659912109375,0.1725810021162033,58685.446388899814
26,2458682.9893403,23.7945388,28.5249078,1,19.847400665283203,0.33168700337409973,58682.489340300206
