,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461061.7209838,33.5070505,41.7048081,1,18.880521774291992,0.0902416929602623,61061.22098380001
1,2461061.7012153,33.507024,41.7047577,1,18.996200561523438,0.10773400217294693,61061.20121529978
4,2461059.7213426,33.5070503,41.7047744,1,18.791099548339844,0.0742269977927208,61059.22134259995
5,2461059.6941204,33.5070362,41.7047605,1,18.591800689697266,0.07844699919223785,61059.19412040012
6,2461059.6536574,33.5070489,41.7047796,2,19.055599212646484,0.07445800304412842,61059.15365740005
7,2461059.6531829,33.5070193,41.7047704,2,19.1117000579834,0.07642699778079987,61059.153182900045
8,2461057.706088,33.5069566,41.704704,1,18.69770050048828,0.11646799743175507,61057.20608799998
9,2461057.7056134,33.5070624,41.7047322,1,18.708799362182617,0.13515500724315643,61057.205613399856
10,2461057.6166319,33.5070157,41.7047941,2,18.875900268554688,0.12412600219249725,61057.11663189996
11,2461057.6142708,33.5069646,41.7047842,2,18.87190055847168,0.11844100058078766,61057.11427079979
12,2461055.7593287,33.5070799,41.7047727,2,18.479900360107422,0.10080499947071075,61055.25932870014
13,2461055.6795486,33.507043,41.7047776,1,18.21660041809082,0.05767500028014183,61055.17954860022
14,2461055.6790741,33.5070256,41.7047691,1,18.226900100708008,0.06561499834060669,61055.17907410022
15,2461055.6153588,33.507007,41.7047639,2,18.555200576782227,0.06653700023889542,61055.11535880016
16,2461053.8280324,33.5071291,41.7047678,1,18.199800491333008,0.14621099829673767,61053.32803239999
17,2461053.6973495,33.5070112,41.7047664,2,18.431499481201172,0.07420200109481812,61053.19734949991
18,2461053.6861921,33.5070485,41.7047585,2,18.482999801635742,0.06831900030374527,61053.186192099936
19,2461051.7771875,33.5069965,41.7047557,2,18.74169921875,0.2132129967212677,61051.27718750015
20,2461051.6964005,33.5070489,41.7047219,1,18.386600494384766,0.09099899977445602,61051.1964004999
48,2460609.8943519,33.5070337,41.7047834,1,18.9709529876709,0.11374080926179886,60609.39435190009
49,2460609.8333218,33.507009,41.7047726,2,19.029600143432617,0.08772999793291092,60609.33332179999
50,2460609.7994444,33.5070292,41.7047677,2,19.10140037536621,0.07042200118303299,60609.299444399774
51,2460609.7585764,33.5069787,41.7047688,1,18.853599548339844,0.08617699891328812,60609.25857640011
52,2460607.7865162,33.5070747,41.7047688,2,18.946399688720703,0.08268699795007706,60607.28651619982
