,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460926.8418287,346.2257583,48.7008654,1,19.249677658081055,0.16369593143463135,60926.341828700155
2,2460924.8879051,346.22578,48.7008442,2,18.739700317382812,0.10025200247764587,60924.387905099895
3,2460924.8199074,346.225779,48.7007405,1,18.64579963684082,0.12743699550628662,60924.319907399826
4,2460922.9115394,346.2257704,48.700856,1,18.6294002532959,0.08252199739217758,60922.4115394
5,2460922.7972222,346.2257413,48.7008571,2,18.72719955444336,0.13604100048542023,60922.29722219985
6,2460920.9153009,346.225778,48.7008412,2,18.397899627685547,0.05336799845099449,60920.41530090012
8,2460918.8721875,346.2257572,48.7008256,2,18.069400787353516,0.049837999045848846,60918.37218749989
9,2460918.8202315,346.2257777,48.7008209,1,17.999500274658203,0.05956200137734413,60918.32023150008
10,2460916.8247569,346.2257617,48.700842,1,17.88520050048828,0.05916199833154678,60916.32475689985
11,2460916.8022685,346.2257641,48.7008347,2,18.0137996673584,0.044227998703718185,60916.302268499974
31,2459781.9311343,346.225757,48.7008469,1,19.133686065673828,0.14480262994766235,59781.43113429984
32,2459781.8688542,346.2258054,48.700847,1,19.13279914855957,0.11497300118207932,59781.3688542
57,2459448.8109259,346.2257791,48.7008531,2,18.90951919555664,0.12286099791526794,59448.310925900005
58,2459443.8469329,346.2257992,48.7008429,1,18.245800018310547,0.07979299873113632,59443.34693290014
59,2459443.8068519,346.2257953,48.7008568,2,18.300100326538086,0.06173500046133995,59443.30685190018
60,2459440.9095023,346.2257897,48.7008601,1,17.958799362182617,0.0769210010766983,59440.40950229997
61,2459440.9095023,346.2257897,48.7008601,1,17.958799362182617,0.0769210010766983,59440.40950229997
63,2459438.901713,346.2258105,48.7008448,1,18.513700485229492,0.08095899969339371,59438.401713000145
84,2459157.7448495,346.2257813,48.7008392,2,18.748600006103516,0.0758420005440712,59157.24484949978
85,2459157.6410417,346.2258176,48.7008308,1,18.715099334716797,0.11451800167560577,59157.1410416998
110,2458720.9045139,346.2258023,48.700836,1,18.931699752807617,0.08293099701404572,58720.40451390017
111,2458717.8865046,346.2257665,48.7008399,1,18.625099182128906,0.08015800267457962,58717.386504599825
112,2458717.821794,346.2258028,48.7008368,2,18.701799392700195,0.09755799919366837,58717.32179399999
113,2458714.8676389,346.2257631,48.7008543,2,18.25079917907715,0.06996600329875946,58714.367638899945
114,2458714.7395602,346.2257636,48.7008469,1,18.155000686645508,0.07756700366735458,58714.2395601999
115,2458711.9041319,346.2257745,48.7008556,2,17.85890007019043,0.05508799850940704,58711.40413190005
116,2458708.9901736,346.2257933,48.7008386,2,19.302600860595703,0.10101599991321564,58708.49017360015
117,2458708.9650579,346.2258285,48.700824,1,19.461999893188477,0.15709100663661957,58708.465057900175
