,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458744.8600231,340.5447929,-7.332177,2,19.85409927368164,0.21616299450397491,58744.36002309993
1,2458736.805787,340.5448335,-7.3319851,1,19.809099197387695,0.3040980100631714,58736.305786999874
2,2458733.8146991,340.5448126,-7.3320635,1,19.427000045776367,0.16612699627876282,58733.314699099865
3,2458733.8142477,340.5448938,-7.3321461,1,19.33139991760254,0.13754700124263763,58733.31424769992
4,2458728.7990856,340.544976,-7.3319955,1,19.038000106811523,0.11148999631404877,58728.299085599836
5,2458725.8256019,340.5448235,-7.3320225,1,18.78969955444336,0.112124003469944,58725.3256019
6,2458723.9160648,340.5448112,-7.3320482,1,18.574800491333008,0.06459599733352661,58723.41606480023
7,2458720.8984259,340.5448173,-7.3320417,1,18.596900939941406,0.10013999789953232,58720.39842589991
8,2458717.8985995,340.544876,-7.3319825,1,18.645200729370117,0.12041100114583969,58717.39859949984
9,2458717.8320139,340.5447978,-7.3320876,2,18.75909996032715,0.10545899718999863,58717.332013899926
10,2458717.8306597,340.5448682,-7.3320947,2,18.62310028076172,0.09570900350809097,58717.33065970009
11,2458714.9767245,340.5448227,-7.3320551,1,19.094999313354492,0.1968650072813034,58714.47672449984
