,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458778.6394676,244.67855,67.900044,2,19.335100173950195,0.1402440071105957,58778.1394675998
1,2458777.6672569,244.6785479,67.9000025,1,19.701400756835938,0.204694002866745,58777.16725690011
2,2458777.6392708,244.6784309,67.8999463,2,19.336599349975586,0.20980800688266754,58777.139270800166
3,2458776.6668056,244.6785083,67.900097,1,19.62190055847168,0.21535499393939972,58776.166805599816
4,2458776.6388657,244.6785094,67.9000904,2,19.426700592041016,0.16618900001049042,58776.13886569999
5,2458775.667581,244.6785289,67.9001097,1,19.68429946899414,0.19421899318695068,58775.1675809999
6,2458775.6396412,244.678482,67.9000716,2,19.333200454711914,0.13585099577903748,58775.13964120019
7,2458774.6399074,244.6783863,67.9001374,2,19.315000534057617,0.18748199939727783,58774.139907400124
8,2458773.6675347,244.6781377,67.9001189,1,19.488500595092773,0.28522399067878723,58773.16753470013
10,2458772.668912,244.6781378,67.9000982,1,19.677400588989258,0.2997649908065796,58772.16891200002
11,2458772.6409838,244.678565,67.9000607,2,19.262699127197266,0.21483799815177917,58772.14098379994
12,2458771.6685648,244.6786308,67.9001454,1,19.32550048828125,0.21634499728679657,58771.16856480017
14,2458770.6683333,244.6785859,67.9001457,1,19.456600189208984,0.3201090097427368,58770.168333299924
15,2458770.6390625,244.6784798,67.9001179,2,19.198400497436523,0.17240600287914276,58770.13906250009
17,2458769.6392593,244.6785679,67.900182,2,19.288700103759766,0.2309570014476776,58769.139259300195
18,2458768.6683449,244.6783794,67.9000703,1,19.284900665283203,0.22809399664402008,58768.16834490001
19,2458768.6379514,244.6783495,67.9000823,2,19.074899673461914,0.17674599587917328,58768.13795140013
21,2458767.6377431,244.6785788,67.9000183,2,19.02199935913086,0.2426609992980957,58767.13774310006
22,2458766.6702546,244.6784324,67.9000955,1,19.24690055847168,0.19831900298595428,58766.17025459977
23,2458766.6375463,244.678504,67.9000933,2,18.991100311279297,0.17596200108528137,58766.13754629996
24,2458765.6716898,244.6783806,67.9000636,1,19.4601993560791,0.21201199293136597,58765.17168979999
25,2458765.6390278,244.678443,67.9001036,2,19.140300750732422,0.1594270020723343,58765.139027799945
26,2458764.6709838,244.6784613,67.9001234,1,19.336000442504883,0.15199600160121918,58764.1709838002
27,2458764.6371412,244.6784769,67.9000853,2,19.038299560546875,0.09698499739170074,58764.13714119978
28,2458763.6796644,244.6786131,67.9000589,1,19.2362003326416,0.16747599840164185,58763.17966439994
29,2458763.6518519,244.6785612,67.9000171,2,18.956600189208984,0.15425199270248413,58763.15185189992
30,2458762.6783218,244.678342,67.9000827,1,19.167999267578125,0.1295199990272522,58762.178321800195
31,2458762.6505903,244.6784994,67.9000909,2,18.99340057373047,0.12212300300598145,58762.150590300094
32,2458761.6791435,244.6785683,67.9000772,1,19.11709976196289,0.14197899401187897,58761.17914350005
33,2458761.6508681,244.67846,67.9001014,2,18.93549919128418,0.1069369986653328,58761.150868100114
34,2458760.6801273,244.6785229,67.9000882,1,19.025699615478516,0.12140499800443649,58760.18012729986
35,2458760.6518866,244.6784356,67.9001426,2,18.943099975585938,0.13682900369167328,58760.15188660007
36,2458758.6872338,244.6785757,67.9000733,1,19.024700164794922,0.1643799990415573,58758.18723380007
37,2458758.6594213,244.6785509,67.9000551,2,18.88330078125,0.14361099898815155,58758.15942130005
38,2458754.6789815,244.6785185,67.9000668,1,18.86639976501465,0.08748500049114227,58754.17898150021
39,2458754.6504745,244.6785322,67.9000902,2,18.78969955444336,0.10014700144529343,58754.15047449991
40,2458751.6793171,244.678423,67.9000479,1,18.822200775146484,0.10803099721670151,58751.17931709997
41,2458751.6508565,244.6784496,67.9001195,2,18.749300003051758,0.0960329994559288,58751.150856500026
42,2458750.6816782,244.6784337,67.9000579,1,18.764999389648438,0.1489730030298233,58750.18167820014
43,2458750.6532176,244.6785603,67.9001085,2,18.85740089416504,0.11835400015115738,58750.15321760019
44,2458749.6813773,244.6785488,67.9000998,1,18.694900512695312,0.11481200158596039,58749.18137730006
45,2458749.6515394,244.6784037,67.9001022,2,18.824600219726562,0.12117300182580948,58749.15153940022
46,2458748.6798611,244.6784126,67.9000954,1,18.66819953918457,0.08841600269079208,58748.179861099925
47,2458748.6503356,244.6784623,67.9001149,2,18.701099395751953,0.09189300239086151,58748.150335600134
48,2458747.6807407,244.6784502,67.9000865,1,18.67959976196289,0.09296400099992752,58747.1807407001
49,2458747.651331,244.678516,67.9000773,2,18.757099151611328,0.10657499730587006,58747.15133100003
50,2458746.7053356,244.678479,67.9001081,1,18.73859977722168,0.11807200312614441,58746.205335599836
51,2458746.6514815,244.6784165,67.9000959,2,18.781600952148438,0.09269200265407562,58746.151481499895
52,2458745.6808565,244.6784378,67.900089,1,18.671899795532227,0.07818099856376648,58745.18085649982
53,2458745.651713,244.6784652,67.9000809,2,18.70319938659668,0.09867700189352036,58745.151713000145
54,2458744.6807407,244.6784535,67.9000976,1,18.618900299072266,0.10360799729824066,58744.1807407001
55,2458744.6516782,244.6784065,67.9000802,2,18.714399337768555,0.09164399653673172,58744.15167819988
56,2458743.6817361,244.6785123,67.9001019,1,18.682300567626953,0.1342650055885315,58743.1817361
57,2458743.6527662,244.6785001,67.9000996,2,18.716699600219727,0.09613800048828125,58743.15276619978
60,2458741.6512037,244.6784568,67.9000988,2,18.742300033569336,0.0990699976682663,58741.151203699876
61,2458740.6842824,244.6784727,67.9001366,1,18.75749969482422,0.12180600315332413,58740.18428240018
62,2458740.651169,244.6783678,67.9000864,2,18.73419952392578,0.11409000307321548,58740.15116900019
63,2458739.6796181,244.6785718,67.9000554,1,18.70840072631836,0.11042000353336334,58739.17961810017
64,2458739.6510069,244.6784563,67.9000801,2,18.749799728393555,0.11638700217008591,58739.151006899774
65,2458738.680706,244.6783479,67.9000779,1,18.575199127197266,0.12204699963331223,58738.180705999956
66,2458738.6522454,244.6785612,67.9000753,2,18.826200485229492,0.1393589973449707,58738.15224540001
67,2458736.7793866,244.6784256,67.9000434,2,18.81399917602539,0.14254699647426605,58736.279386600014
68,2458735.7931019,244.6784774,67.9001398,1,18.827699661254883,0.12465500086545944,58735.29310189979
69,2458735.7696991,244.6784354,67.900094,2,18.81060028076172,0.13046599924564362,58735.26969909994
70,2458734.7945255,244.6785463,67.900094,1,18.788799285888672,0.11612600088119507,58734.29452549992
71,2458734.7711111,244.6786184,67.9000491,2,18.941699981689453,0.15268300473690033,58734.27111109998
72,2458733.793287,244.6784681,67.9000833,1,18.840999603271484,0.13391800224781036,58733.29328700015
73,2458733.769838,244.678464,67.9000847,2,18.922000885009766,0.10679399967193604,58733.26983800018
74,2458732.7939583,244.678573,67.9000729,1,18.83679962158203,0.09132900089025497,58732.29395829979
75,2458732.7702431,244.678428,67.9001164,2,19.084199905395508,0.14180399477481842,58732.27024309989
76,2458730.7956829,244.6783153,67.9000792,1,19.0492000579834,0.13110800087451935,58730.29568290012
77,2458730.7716898,244.6783804,67.9001243,2,19.208099365234375,0.16298499703407288,58730.27168980008
78,2458727.8183912,244.6784026,67.9000759,1,19.52039909362793,0.20398099720478058,58727.318391200155
79,2458727.7955671,244.6784339,67.900129,2,19.70639991760254,0.17524699866771698,58727.295567099936
80,2458725.7956829,244.6785554,67.9000486,1,20.086299896240234,0.21215100586414337,58725.29568290012
82,2458724.819375,244.6782296,67.9000485,1,20.223600387573242,0.24303600192070007,58724.31937499996
