,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458766.9889236,42.7321647,-4.1934577,2,19.65920066833496,0.17457500100135803,58766.48892359994
1,2458763.9131019,42.7321167,-4.1933715,1,20.355100631713867,0.28216201066970825,58763.4131018999
2,2458763.8569907,42.732195,-4.1933576,2,19.797000885009766,0.16474400460720062,58763.35699070012
3,2458760.9180208,42.7322144,-4.1933811,1,20.095399856567383,0.1792609989643097,58760.41802080022
4,2458760.8280208,42.732159,-4.1933647,2,19.762100219726562,0.1582150012254715,58760.328020799905
5,2458758.0166667,42.7322445,-4.193339,2,19.502199172973633,0.1258610039949417,58757.51666670013
6,2458757.9198958,42.7322075,-4.1934318,1,19.962299346923828,0.18996499478816986,58757.41989579983
7,2458751.8992245,42.7322268,-4.1933589,1,19.506500244140625,0.13822400569915771,58751.39922450017
8,2458751.8140741,42.7321767,-4.1933452,2,19.300899505615234,0.1267630010843277,58751.314074099995
9,2458749.0038194,42.7321709,-4.1933885,1,19.291000366210938,0.13817399740219116,58748.50381939998
10,2458748.940081,42.7321851,-4.193365,2,19.07740020751953,0.09715399891138077,58748.44008099986
13,2458738.9613079,42.7321797,-4.1933899,1,19.18720054626465,0.1446329951286316,58738.46130790003
15,2458735.9844444,42.73216,-4.1933735,2,19.438899993896484,0.1420390009880066,58735.48444439983
16,2458732.9790625,42.7321746,-4.193366,2,19.82270050048828,0.11744700372219086,58732.479062499944
17,2458732.919537,42.7321928,-4.1933902,1,19.665300369262695,0.12252599745988846,58732.41953699989
