,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458782.6515509,356.8943785,41.1698804,2,19.95330047607422,0.19524900615215302,58782.15155090019
1,2458781.6524421,356.8943223,41.1698911,2,19.7716007232666,0.30730000138282776,58781.15244209999
2,2458775.6529051,356.8945478,41.1698888,2,20.019899368286133,0.18112599849700928,58775.152905100025
8,2458772.6542593,356.8945335,41.1698261,2,19.899999618530273,0.22365599870681763,58772.15425929986
12,2458770.6537153,356.8944514,41.170067,2,19.56279945373535,0.26603901386260986,58770.15371529991
24,2458764.6526852,356.8945575,41.1698662,2,19.923599243164062,0.21110500395298004,58764.152685199864
26,2458763.6749537,356.8944878,41.1699139,2,19.793899536132812,0.1453319936990738,58763.17495370004
27,2458762.7019792,356.8944714,41.1698639,1,20.391700744628906,0.32556501030921936,58762.20197919989
28,2458762.6736111,356.8944801,41.1699423,2,19.821399688720703,0.1964700073003769,58762.17361109983
29,2458761.7027315,356.8944765,41.1698803,1,20.382299423217773,0.32385900616645813,58761.202731499914
30,2458761.6738542,356.894509,41.1699895,2,19.580299377441406,0.16018100082874298,58761.17385420017
32,2458760.6748264,356.8945536,41.169897,2,19.921899795532227,0.14495700597763062,58760.17482639989
33,2458758.6824074,356.894488,41.1699362,2,19.650800704956055,0.15479600429534912,58758.182407400105
34,2458754.7021181,356.894423,41.1698461,1,20.311500549316406,0.22883200645446777,58754.20211810013
35,2458754.6731713,356.894504,41.169922,2,19.629600524902344,0.19594800472259521,58754.173171299975
36,2458751.7022917,356.8944913,41.1698833,1,19.918699264526367,0.21369799971580505,58751.20229170006
37,2458751.6734722,356.8944229,41.1698982,2,19.769699096679688,0.168953999876976,58751.173472200055
38,2458750.7046644,356.8943284,41.169553,1,20.175500869750977,0.39771801233291626,58750.20466439985
39,2458750.6758449,356.8944927,41.1697767,2,19.4143009185791,0.17616300284862518,58750.175844899844
40,2458749.7043171,356.8944493,41.1699182,1,19.934999465942383,0.18004600703716278,58749.20431709988
41,2458749.6755208,356.8944417,41.1699372,2,19.474300384521484,0.14873500168323517,58749.175520800054
42,2458748.7024653,356.8944727,41.1698933,1,20.029800415039062,0.25328099727630615,58748.20246529998
44,2458747.7035764,356.8944549,41.169878,1,19.814699172973633,0.17841599881649017,58747.203576399945
45,2458747.6748727,356.8944216,41.1699398,2,19.632099151611328,0.1769929975271225,58747.174872700125
46,2458746.6995486,356.894478,41.1698991,2,19.463899612426758,0.15338200330734253,58746.199548599776
47,2458745.7036111,356.8944507,41.1699546,1,19.82659912109375,0.19052299857139587,58745.20361110009
48,2458745.6749537,356.8944363,41.1699346,2,19.498300552368164,0.1483670026063919,58745.17495370004
49,2458744.7034606,356.8944793,41.1699544,1,19.725799560546875,0.2586959898471832,58744.20346060023
50,2458744.6748264,356.8945326,41.1699607,2,19.494800567626953,0.16704599559307098,58744.17482639989
51,2458743.6758218,356.8945969,41.1698853,2,19.2455997467041,0.19189099967479706,58743.175821799785
52,2458741.6752199,356.8944897,41.1699146,2,19.6742000579834,0.2962920069694519,58741.175219899975
53,2458740.6745602,356.8945261,41.1699234,2,19.430999755859375,0.2362470030784607,58740.17456019996
54,2458739.7071412,356.8943644,41.1698807,1,19.563400268554688,0.24097800254821777,58739.20714120008
55,2458738.6752083,356.8945095,41.1699898,2,19.465099334716797,0.2056020051240921,58738.17520829989
56,2458736.9724074,356.8944635,41.1699149,1,19.911699295043945,0.19413800537586212,58736.47240740014
57,2458736.9235069,356.8944554,41.1699455,2,19.971399307250977,0.2014860063791275,58736.4235069002
