,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458903.7670602,128.7112287,37.9280257,1,20.643199920654297,0.1952340006828308,58903.26706020022
1,2458900.8039583,128.7112539,37.9280147,1,20.636199951171875,0.25768399238586426,58900.303958300035
2,2458899.8114236,128.7112493,37.9279786,2,20.642900466918945,0.23290899395942688,58899.311423600186
3,2458899.7598958,128.7111978,37.9279799,2,20.448400497436523,0.18927699327468872,58899.25989580015
4,2458899.7016551,128.7112397,37.9279875,1,20.61440086364746,0.25219300389289856,58899.2016551001
5,2458898.7283681,128.711213,37.9279653,1,20.4822998046875,0.17310699820518494,58898.22836809978
6,2458896.7193287,128.7111091,37.9280211,1,20.44809913635254,0.21873299777507782,58896.2193287001
7,2458895.7870949,128.7112037,37.9279858,2,20.505599975585938,0.20781399309635162,58895.28709489992
8,2458895.7223032,128.7111713,37.9280332,1,20.472900390625,0.1902420073747635,58895.22230320005
9,2458894.7208218,128.7112244,37.928007,2,20.661800384521484,0.25794100761413574,58894.220821800176
10,2458894.6951968,128.7111463,37.9279878,1,20.4606990814209,0.19247199594974518,58894.195196799934
11,2458893.7847569,128.7112107,37.9279795,2,20.50029945373535,0.18098999559879303,58893.28475689981
12,2458893.7163426,128.7111501,37.9279914,1,20.62529945373535,0.24451500177383423,58893.21634260006
14,2458892.7574653,128.7112215,37.9279342,2,20.308000564575195,0.170414000749588,58892.25746530015
15,2458892.670081,128.7111324,37.9279564,1,20.4773006439209,0.20859099924564362,58892.170080999844
17,2458891.6720255,128.7111235,37.928003,1,20.529499053955078,0.24180500209331512,58891.172025499865
33,2458883.9075926,128.711291,37.9279232,1,20.365400314331055,0.3049049973487854,58883.40759260021
39,2458881.8253588,128.7111744,37.927969,2,20.54520034790039,0.22437700629234314,58881.325358800124
40,2458881.7365625,128.7112178,37.9280597,1,20.496999740600586,0.3255870044231415,58881.23656249978
42,2458880.8216667,128.7111789,37.9278853,2,20.16550064086914,0.20504699647426605,58880.321666699834
43,2458880.7668171,128.7112639,37.9280549,1,20.728599548339844,0.3088720142841339,58880.26681709988
44,2458880.7565278,128.7112481,37.9279294,1,20.56049919128418,0.254038006067276,58880.25652780011
47,2458879.6931944,128.7111409,37.9278698,1,20.530000686645508,0.3562360107898712,58879.19319440005
49,2458878.76875,128.7110909,37.9278793,1,20.45560073852539,0.36340799927711487,58878.268749999814
50,2458877.7864468,128.7109611,37.9279391,2,20.42289924621582,0.26846998929977417,58877.28644679999
51,2458877.7802778,128.711064,37.9279015,2,20.391799926757812,0.26401299238204956,58877.280277799815
55,2458876.7344676,128.7111962,37.9279849,1,20.560300827026367,0.23973000049591064,58876.23446760001
56,2458875.8237384,128.7110092,37.9279485,1,20.67690086364746,0.2505809962749481,58875.32373839989
58,2458874.844375,128.7111303,37.9280217,1,20.52829933166504,0.19436299800872803,58874.34437499987
61,2458874.7757523,128.7111853,37.9279378,2,20.4507999420166,0.26710501313209534,58874.27575229993
62,2458873.8451157,128.7110973,37.9279793,1,20.832199096679688,0.23580500483512878,58873.345115699805
63,2458873.7594792,128.7111534,37.9279297,2,20.30190086364746,0.14888900518417358,58873.2594792
64,2458873.728125,128.7111633,37.9280154,2,20.43709945678711,0.23071900010108948,58873.22812499991
65,2458872.7872454,128.7111187,37.9278732,2,20.148300170898438,0.1792909950017929,58872.287245399784
66,2458872.7137037,128.7111729,37.9279482,1,20.483999252319336,0.21628500521183014,58872.213703699876
68,2458871.7811921,128.7111141,37.9280018,2,20.532100677490234,0.24882300198078156,58871.28119210014
69,2458871.7675694,128.7111168,37.9279084,2,20.227800369262695,0.20073600113391876,58871.267569399904
70,2458871.7261921,128.7111609,37.9279967,1,20.408700942993164,0.21673299372196198,58871.22619209997
71,2458871.7177431,128.7111989,37.9279981,1,20.639299392700195,0.24014200270175934,58871.21774310013
72,2458866.908206,128.711176,37.927966,1,20.314800262451172,0.19806300103664398,58866.40820599999
74,2458862.8304977,128.7112724,37.9279276,2,20.241600036621094,0.2560800015926361,58862.33049769979
78,2458856.8032176,128.711236,37.9278433,2,19.936100006103516,0.21807900071144104,58856.3032176001
79,2458855.9663657,128.7112326,37.9280584,1,20.19729995727539,0.3145279884338379,58855.46636570012
80,2458855.8283449,128.7112245,37.928026,2,20.078399658203125,0.2732119858264923,58855.32834490016
81,2458852.9869792,128.711191,37.927955,1,20.381999969482422,0.19662800431251526,58852.48697920004
82,2458852.9271991,128.7112073,37.9279957,2,20.2273006439209,0.1521580070257187,58852.427199100144
83,2458849.9838773,128.7111029,37.9279872,1,20.49370002746582,0.22517099976539612,58849.48387729982
84,2458846.9973611,128.7111386,37.927922,1,20.325700759887695,0.17002199590206146,58846.49736109981
85,2458846.9456366,128.7111632,37.927974,2,20.155399322509766,0.16717399656772614,58846.44563659979
90,2458833.9064699,128.7113384,37.9278301,2,19.81279945373535,0.21711400151252747,58833.40646990016
91,2458831.0553356,128.7113623,37.9280479,1,19.914199829101562,0.30046001076698303,58830.55533559993
94,2458827.9467824,128.7112192,37.927947,2,19.770000457763672,0.21539999544620514,58827.4467823999
97,2458812.9336343,128.7111569,37.9280253,1,20.050199508666992,0.1576489955186844,58812.433634299785
98,2458806.0118519,128.7111132,37.9279784,1,19.924100875854492,0.2823840081691742,58805.51185189979
101,2458804.9824537,128.7112263,37.927783,1,19.659299850463867,0.28451400995254517,58804.482453700155
104,2458799.0505556,128.7111536,37.9280115,1,19.950000762939453,0.2034350037574768,58798.55055559985
105,2458795.0414005,128.7112155,37.9279614,2,19.727800369262695,0.13603399693965912,58794.54140050011
108,2458789.0082755,128.7111997,37.9279595,1,19.91469955444336,0.15996700525283813,58788.50827550003
109,2458786.0274537,128.7111845,37.9279889,1,19.88759994506836,0.1482120007276535,58785.52745370008
110,2458786.004294,128.7111654,37.9279731,2,19.78809928894043,0.2032179981470108,58785.5042940001
111,2458780.005625,128.7111999,37.9280364,1,19.908000946044922,0.1954129934310913,58779.50562500022
115,2458770.0186343,128.7111904,37.9280063,1,19.571399688720703,0.22901199758052826,58769.51863430021
117,2458767.0311574,128.7112113,37.9280144,2,19.536500930786133,0.1484449952840805,58766.53115739999
119,2458763.9691782,128.7111994,37.9280083,1,19.64940071105957,0.15877099335193634,58763.46917819977
120,2458759.9688194,128.7111488,37.9280015,1,19.88129997253418,0.20063599944114685,58759.46881939983
123,2458751.9893403,128.7111483,37.9279674,1,19.746400833129883,0.17586000263690948,58751.489340300206
124,2458749.0128125,128.7112334,37.9279386,1,19.580900192260742,0.17478500306606293,58748.51281249989
125,2458748.9945486,128.7112056,37.9279228,2,19.47599983215332,0.1661510020494461,58748.49454860017
126,2458746.0172106,128.7112423,37.9279261,1,19.648300170898438,0.2086929976940155,58745.517210599966
127,2458745.9878588,128.7110189,37.9279828,2,19.66320037841797,0.2406580001115799,58745.48785880022
129,2458737.0092361,128.7111543,37.9279191,2,19.564800262451172,0.14552900195121765,58736.50923610013
130,2458736.9876157,128.7111646,37.9280371,1,19.787599563598633,0.17886300384998322,58736.48761569988
