,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458812.6138773,277.3075414,41.0423357,1,18.404800415039062,0.09521400183439255,58812.11387730017
1,2458804.5976273,277.3075308,41.0423341,1,18.202899932861328,0.0868149995803833,58804.09762729984
2,2458801.5914699,277.3075373,41.0423484,1,18.19099998474121,0.10056599974632263,58801.09146990022
3,2458798.6016088,277.3075112,41.0423418,1,18.20400047302246,0.08647599816322327,58798.10160879977
4,2458795.6211574,277.3075801,41.04234,1,18.018199920654297,0.07390499860048294,58795.121157399844
5,2458792.6206944,277.3075199,41.0423387,2,17.6742000579834,0.05324399843811989,58792.12069439981
6,2458792.6046065,277.3075199,41.042357,1,17.97209930419922,0.06452900171279907,58792.104606499895
7,2458789.6184375,277.3075505,41.0423308,1,17.946500778198242,0.07482299953699112,58789.118437500205
8,2458785.6195949,277.3075214,41.0423463,1,17.848499298095703,0.05938100069761276,58785.11959489994
9,2458785.5953819,277.3075391,41.0423417,2,17.641700744628906,0.056770000606775284,58785.0953819002
10,2458782.6165278,277.3075226,41.0423409,2,17.612499237060547,0.058483999222517014,58782.11652779998
11,2458779.6211574,277.3075359,41.0423526,1,17.739599227905273,0.06250599771738052,58779.121157399844
12,2458779.5971181,277.3075299,41.0423532,2,17.577699661254883,0.05317800119519234,58779.09711810015
13,2458776.6205787,277.3075404,41.0423627,1,17.687999725341797,0.0477450005710125,58776.12057870021
14,2458773.6172222,277.3075704,41.0423501,1,17.662099838256836,0.08688800036907196,58773.11722220015
16,2458770.7048843,277.3075248,41.0423376,2,17.485599517822266,0.05107700079679489,58770.20488430001
17,2458767.7183333,277.307624,41.0424622,1,17.568899154663086,0.12264200299978256,58767.2183333002
18,2458767.6171065,277.3075267,41.0423369,2,17.48979949951172,0.0634789988398552,58767.11710650008
19,2458764.7478241,277.3075673,41.0423585,1,17.445199966430664,0.049988001585006714,58764.247824099846
20,2458760.6337616,277.307531,41.0423478,1,17.303600311279297,0.045763999223709106,58760.133761600126
21,2458754.7606944,277.3075518,41.0423391,1,17.15399932861328,0.04912399873137474,58754.26069439994
22,2458754.6345602,277.307529,41.0423427,2,17.250200271606445,0.052813999354839325,58754.13456019992
23,2458751.6401736,277.3075253,41.0423325,2,17.312299728393555,0.039900001138448715,58751.140173600055
24,2458747.6333333,277.3075364,41.0423502,1,17.3435001373291,0.03522000089287758,58747.133333299775
25,2458743.6365625,277.3075257,41.0423387,1,18.04960060119629,0.057812001556158066,58743.13656250015
26,2458740.7685301,277.307479,41.0423778,2,19.87190055847168,0.21606400609016418,58740.26853010012
