,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458781.9013542,52.3346515,20.2205738,1,18.793899536132812,0.10534700006246567,58781.40135420021
2,2458778.8815509,52.3346377,20.2206142,2,17.396699905395508,0.037351999431848526,58778.38155090017
3,2458775.8726968,52.3345952,20.2206258,2,17.291799545288086,0.04908899962902069,58775.37269680016
4,2458770.0056481,52.3346155,20.2206032,1,17.396499633789062,0.053233999758958817,58769.50564809982
5,2458769.9198495,52.334609,20.220614,2,17.726200103759766,0.05204400047659874,58769.41984950006
6,2458766.9857523,52.3346062,20.2206267,2,17.13559913635254,0.04393300041556358,58766.485752299894
7,2458766.9587731,52.3346085,20.2206242,1,17.13450050354004,0.04780200123786926,58766.45877309982
8,2458763.92,52.3346056,20.2206071,1,16.782400131225586,0.039055000990629196,58763.419999999925
9,2458763.8736458,52.334608,20.2206347,2,16.756900787353516,0.0436829999089241,58763.373645800166
10,2458759.9158565,52.3346039,20.2206223,1,16.476200103759766,0.026551000773906708,58759.415856500156
11,2458759.8785301,52.3346062,20.2206237,2,16.483600616455078,0.029426999390125275,58759.37853009999
12,2458756.9840625,52.3346081,20.220623,2,16.1564998626709,0.029005000367760658,58756.48406249983
13,2458756.9212153,52.3346041,20.2206177,1,16.124799728393555,0.03216399997472763,58756.42121529998
14,2458750.9658565,52.3346113,20.2206207,2,15.674699783325195,0.029425999149680138,58750.46585649997
15,2458750.8981134,52.3345991,20.2206117,1,15.5177001953125,0.02798200026154518,58750.39811340021
16,2458747.9866088,52.334607,20.2206306,1,15.044400215148926,0.030791999772191048,58747.48660880001
17,2458747.9414815,52.3345953,20.2206408,2,15.182100296020508,0.036111000925302505,58747.44148149993
