,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458791.8395139,29.2602252,7.2920203,2,19.37380027770996,0.1363230049610138,58791.339513900224
1,2458791.7930556,29.2601333,7.2919648,1,20.480899810791016,0.30874499678611755,58791.29305560002
2,2458788.7717014,29.2602306,7.2920255,2,19.04450035095215,0.1712300032377243,58788.27170140017
5,2458782.8281944,29.2602283,7.2920355,2,19.031700134277344,0.13066299259662628,58782.32819439983
6,2458782.8281944,29.2602283,7.2920355,2,19.031700134277344,0.13066299259662628,58782.32819439983
7,2458779.7943519,29.260229,7.291996,2,18.978300094604492,0.1222819983959198,58779.2943519
8,2458775.6938194,29.2602467,7.2920134,2,18.692899703979492,0.07055199891328812,58775.19381939992
9,2458775.6879051,29.2601952,7.2920126,1,19.00429916381836,0.14611800014972687,58775.187905100174
10,2458772.8588426,29.2603081,7.2918259,2,18.677400588989258,0.23724600672721863,58772.35884260014
11,2458772.7524074,29.2603017,7.2919251,1,18.770200729370117,0.25938600301742554,58772.25240739994
12,2458766.8991204,29.2602416,7.2919957,1,18.369699478149414,0.0768589973449707,58766.399120400194
13,2458763.8970023,29.2602343,7.2920132,1,18.276599884033203,0.08872699737548828,58763.39700229978
14,2458763.8610532,29.2602424,7.2919991,2,18.258800506591797,0.07753899693489075,58763.36105319997
15,2458759.8988194,29.2602243,7.2920274,1,18.23110008239746,0.07893799990415573,58759.3988194
16,2458759.8562847,29.2602272,7.2920131,2,18.261499404907227,0.07001599669456482,58759.35628469987
17,2458751.9010417,29.2602177,7.2919502,1,19.19540023803711,0.11551699787378311,58751.40104170004
18,2458751.8158796,29.2601953,7.2919246,2,19.16939926147461,0.1696690022945404,58751.31587960012
