,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458792.6545023,328.0688119,53.8837136,2,19.746700286865234,0.2003609985113144,58792.15450230008
1,2458790.6471759,328.0689171,53.8836901,2,19.55929946899414,0.14466999471187592,58790.14717590017
2,2458790.6373611,328.0688117,53.8836429,2,19.467899322509766,0.1405850052833557,58790.13736109994
3,2458789.674456,328.0689432,53.8836058,1,19.758100509643555,0.24269700050354004,58789.17445599986
4,2458789.647662,328.068857,53.8836649,2,19.555099487304688,0.1755409985780716,58789.1476619998
5,2458787.6731134,328.0688488,53.8835529,1,19.749900817871094,0.2369070053100586,58787.17311340012
6,2458787.6463889,328.0689404,53.8836331,2,19.31060028076172,0.14745600521564484,58787.1463889
7,2458786.6807986,328.0688264,53.8836005,1,19.719999313354492,0.19323599338531494,58786.18079859996
8,2458786.6540278,328.0689461,53.8836493,2,19.441999435424805,0.15055499970912933,58786.154027800076
9,2458785.6743519,328.0689104,53.8836286,1,19.995100021362305,0.2169249951839447,58785.174351899885
10,2458785.6471181,328.0688995,53.8835949,2,19.505399703979492,0.14779500663280487,58785.147118099965
11,2458783.6746412,328.0689631,53.8835242,1,20.12030029296875,0.2860189974308014,58783.174641199876
12,2458783.6474769,328.0688069,53.8836452,2,19.641199111938477,0.13227200508117676,58783.1474768999
13,2458782.673588,328.0688812,53.8836124,1,19.877099990844727,0.2145799994468689,58782.17358799977
14,2458782.6462731,328.0687953,53.883635,2,19.32309913635254,0.12451300024986267,58782.14627309982
15,2458781.6747569,328.068929,53.8835307,1,19.681299209594727,0.19334399700164795,58781.17475689994
16,2458781.6471644,328.0687348,53.8835701,2,19.197799682617188,0.17264999449253082,58781.1471644002
17,2458779.6752662,328.0689,53.8836034,1,19.545400619506836,0.14399799704551697,58779.17526620021
18,2458779.6472685,328.0688442,53.8836081,2,19.047700881958008,0.10175500065088272,58779.14726850018
19,2458778.6754514,328.068842,53.8835668,1,19.341400146484375,0.12409000098705292,58778.175451400224
20,2458778.6474653,328.0688563,53.8836358,2,19.05120086669922,0.147939994931221,58778.147465299815
21,2458777.6752546,328.0687971,53.8835505,1,19.400400161743164,0.14955000579357147,58777.17525460012
22,2458777.6472685,328.0688326,53.8835966,2,18.95050048828125,0.12041199952363968,58777.14726850018
23,2458776.6747917,328.0688246,53.8836042,1,19.324899673461914,0.12637999653816223,58776.17479170021
24,2458776.6468519,328.0688323,53.8836158,2,18.905099868774414,0.09924600273370743,58776.146851900034
25,2458775.6755556,328.0688207,53.883616,1,19.19969940185547,0.12460999935865402,58775.17555559985
26,2458775.6476273,328.0688611,53.8836298,2,18.899599075317383,0.10474900156259537,58775.14762730012
27,2458774.675463,328.0688908,53.883614,1,19.131500244140625,0.1126599982380867,58774.17546299985
28,2458774.6478935,328.0688484,53.8836104,2,18.962099075317383,0.08595599979162216,58774.14789350005
30,2458773.6476042,328.0688113,53.8836493,2,18.661300659179688,0.10430099815130234,58773.14760420006
31,2458772.6769329,328.0688228,53.8836316,1,18.997600555419922,0.14828099310398102,58772.17693290021
