,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458796.606713,339.2930086,-0.4189596,2,19.417600631713867,0.1905820071697235,58796.10671300022
1,2458791.6680787,339.2930797,-0.4189371,1,19.972200393676758,0.3297629952430725,58791.16807870008
2,2458788.7294213,339.2930871,-0.4189883,2,19.226299285888672,0.12667299807071686,58788.22942129988
3,2458788.6808565,339.2930551,-0.4190157,1,19.689800262451172,0.15668900310993195,58788.18085649982
4,2458785.7462731,339.2930471,-0.4189605,2,19.028200149536133,0.09266799688339233,58785.24627309991
5,2458785.7191319,339.2930322,-0.4190109,1,19.259300231933594,0.10008399933576584,58785.2191319
6,2458781.7441088,339.2929909,-0.4189326,2,18.828100204467773,0.12481199949979782,58781.244108799845
7,2458777.7066782,339.2929992,-0.4190006,2,18.626300811767578,0.07353000342845917,58777.20667820005
8,2458777.6843171,339.2930386,-0.4190054,1,18.827600479125977,0.08312299847602844,58777.18431709986
9,2458774.7239005,339.2930207,-0.4189725,2,18.71470069885254,0.06074000149965286,58774.22390050022
10,2458774.6951852,339.2930523,-0.4190262,2,18.769899368286133,0.08800400048494339,58774.195185199846
13,2458771.8234028,339.2929616,-0.4189023,2,18.62299919128418,0.1347229927778244,58771.32340280013
14,2458771.7678125,339.2930393,-0.4189186,2,18.824399948120117,0.17209100723266602,58771.26781249978
15,2458770.8311227,339.2929792,-0.4189351,2,18.880800247192383,0.20423699915409088,58770.331122700125
16,2458768.6909838,339.2930036,-0.4190457,2,18.856399536132812,0.1681700050830841,58768.19098380022
17,2458764.7514236,339.2930511,-0.4189939,1,19.200000762939453,0.1480029970407486,58764.25142360013
18,2458761.752419,339.2930223,-0.4190447,1,19.789199829101562,0.13280799984931946,58761.252419000026
