,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458793.9824421,109.4795849,11.5604009,2,19.612600326538086,0.1912280023097992,58793.48244210007
1,2458792.9870139,109.4796368,11.5604461,2,19.3656005859375,0.16395999491214752,58792.48701390019
3,2458788.0244676,109.4796535,11.5604854,2,19.320499420166016,0.20032399892807007,58787.524467600044
6,2458781.9965162,109.4796621,11.5604877,2,18.942800521850586,0.21465200185775757,58781.49651619978
7,2458779.03125,109.4796513,11.5604965,1,19.223800659179688,0.12974900007247925,58778.53125
8,2458779.0176273,109.4796289,11.560489,1,19.111400604248047,0.148826003074646,58778.51762730023
9,2458778.9841319,109.4797629,11.5603735,2,18.867399215698242,0.1498750001192093,58778.48413190013
11,2458769.9787384,109.4796321,11.5604747,2,18.60219955444336,0.08610600233078003,58769.478738400154
12,2458768.9466667,109.479678,11.5605163,1,18.695600509643555,0.13556699454784393,58768.446666699834
13,2458767.9313194,109.4797143,11.5604828,1,18.806900024414062,0.19756999611854553,58767.4313194002
14,2458767.0274769,109.4796318,11.5605169,2,18.69059944152832,0.09996499866247177,58766.52747689979
15,2458766.9622222,109.4796238,11.5604787,1,18.932199478149414,0.14482299983501434,58766.46222219989
16,2458764.0059838,109.4796585,11.5605033,2,19.028099060058594,0.12583500146865845,58763.50598380016
17,2458763.9631366,109.479644,11.5604871,1,19.300399780273438,0.15477299690246582,58763.463136599865
19,2458759.9765162,109.4798806,11.5604539,1,20.204599380493164,0.2392749935388565,58759.47651620023
