,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458792.6859259,14.1063466,33.8804296,2,19.994400024414062,0.1940940022468567,58792.185925900005
1,2458791.7574074,14.1065282,33.8804522,1,20.742900848388672,0.4098840057849884,58791.257407399826
2,2458790.7582176,14.1065903,33.8804678,1,20.724599838256836,0.2940880060195923,58790.258217600174
3,2458790.6625694,14.1063313,33.8804606,2,20.12849998474121,0.3199799954891205,58790.16256939992
4,2458789.8718981,14.1063528,33.8803832,1,20.48509979248047,0.39738398790359497,58789.37189809978
5,2458789.6624421,14.1064608,33.8804168,1,20.677499771118164,0.3242740035057068,58789.16244209977
6,2458787.6611111,14.1064829,33.8804122,1,20.27899932861328,0.2354770004749298,58787.16111110011
7,2458786.6687847,14.1064652,33.8803877,1,20.54560089111328,0.3136439919471741,58786.16878469987
8,2458786.6406019,14.1064236,33.8804595,2,19.773399353027344,0.14997699856758118,58786.14060189994
9,2458785.6618287,14.1063988,33.8804017,1,20.534799575805664,0.2610670030117035,58785.16182869999
10,2458785.6337153,14.1063547,33.880394,2,19.770999908447266,0.12862099707126617,58785.13371529989
11,2458783.6621296,14.1064779,33.8804126,1,20.142799377441406,0.210207000374794,58783.16212960007
12,2458783.6340856,14.1063418,33.8804495,2,19.758800506591797,0.19488100707530975,58783.1340855998
13,2458782.6605903,14.1065006,33.8804047,1,20.306299209594727,0.29492199420928955,58782.16059029987
14,2458782.6328704,14.1063879,33.8804436,2,19.71940040588379,0.18040500581264496,58782.13287039986
15,2458781.6617824,14.106622,33.8803483,1,20.2947998046875,0.2966110110282898,58781.16178240022
16,2458781.6337731,14.1064838,33.8806333,2,20.00429916381836,0.2831049859523773,58781.1337731001
17,2458779.6618403,14.106383,33.8804765,1,20.09119987487793,0.22379599511623383,58779.161840300076
18,2458779.6338773,14.1063628,33.880454,2,19.59760093688965,0.1611970067024231,58779.13387730019
19,2458778.6620255,14.106416,33.880448,1,20.093299865722656,0.22394800186157227,58778.16202550009
20,2458778.6340741,14.1063515,33.8804561,2,19.65880012512207,0.12413399666547775,58778.13407409983
21,2458777.6618287,14.1063169,33.8803668,1,20.173900604248047,0.25015899538993835,58777.16182869999
22,2458777.6338889,14.1064007,33.8804784,2,19.77790069580078,0.2072249948978424,58777.133888899814
23,2458776.6613889,14.1064515,33.880441,1,20.24090003967285,0.1822970062494278,58776.16138890013
24,2458776.6334838,14.1063012,33.8803544,2,19.840900421142578,0.17272700369358063,58776.133483800106
25,2458774.6620602,14.1064356,33.8803553,1,20.25189971923828,0.32784101366996765,58774.16206019977
26,2458773.633669,14.1063846,33.8804198,2,19.804500579833984,0.19541899859905243,58773.13366900012
