,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458805.8505208,57.2120986,20.5617393,2,19.945100784301758,0.20320099592208862,58805.35052079987
1,2458804.8447106,57.2121129,20.5616364,2,20.211000442504883,0.24667300283908844,58804.3447106001
2,2458803.8295602,57.2120528,20.561702,2,19.79129981994629,0.21349899470806122,58803.32956020022
3,2458796.8122338,57.2121141,20.5617241,2,19.46380043029785,0.16323600709438324,58796.31223380007
4,2458793.8586574,57.2121397,20.5616917,2,19.422100067138672,0.11918999999761581,58793.358657400124
5,2458793.8534722,57.2121259,20.5617253,1,19.930099487304688,0.17880600690841675,58793.35347220022
6,2458790.8672222,57.2121072,20.5616959,2,19.52199935913086,0.1129470020532608,58790.36722220015
7,2458790.8174421,57.2121252,20.5616938,1,19.82040023803711,0.16988100111484528,58790.31744210003
8,2458790.8088657,57.2121485,20.5617206,1,19.888399124145508,0.14120100438594818,58790.30886569992
9,2458787.9303588,57.2121481,20.5617589,1,19.610599517822266,0.19814999401569366,58787.430358800106
10,2458787.8396644,57.2120429,20.5616364,2,19.3617000579834,0.2397889941930771,58787.33966440009
11,2458784.888669,57.212086,20.5615026,2,19.853500366210938,0.2756600081920624,58784.38866900001
12,2458781.8995486,57.2120959,20.561736,1,20.024900436401367,0.18215599656105042,58781.39954859996
14,2458778.8094444,57.2122903,20.5617928,1,20.49839973449707,0.37319400906562805,58778.309444400016
