,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458806.738287,27.5358359,56.2849746,2,20.10409927368164,0.16802600026130676,58806.238286999986
1,2458805.7256944,27.5357848,56.284949,2,20.142900466918945,0.2546670138835907,58805.22569439979
2,2458803.7778819,27.5359934,56.2848691,2,20.050500869750977,0.2229049950838089,58803.27788189985
3,2458803.7437037,27.5358807,56.2849917,2,19.747699737548828,0.27068400382995605,58803.24370370014
4,2458803.6931134,27.5359603,56.2850673,1,20.18630027770996,0.29699501395225525,58803.193113400135
5,2458801.7963773,27.5358668,56.2849193,2,19.68000030517578,0.2902739942073822,58801.29637729982
6,2458799.7359259,27.5357943,56.2849161,2,19.667400360107422,0.20704199373722076,58799.23592589982
7,2458798.7351273,27.5359605,56.2849556,2,19.754899978637695,0.26472699642181396,58798.235127300024
8,2458798.7187037,27.5358565,56.2849641,2,19.667600631713867,0.2751379907131195,58798.21870370023
9,2458797.8267708,27.5359145,56.2849839,2,19.56529998779297,0.17102299630641937,58797.326770800166
10,2458796.6226042,27.5356492,56.2849141,2,19.766599655151367,0.22035600244998932,58796.12260420015
11,2458795.8176505,27.5357111,56.2848944,2,19.717500686645508,0.1696610003709793,58795.31765050022
12,2458795.7608796,27.5362491,56.2848334,1,19.8966007232666,0.28523701429367065,58795.260879599955
13,2458795.7003125,27.5360002,56.2850353,1,19.85409927368164,0.26253101229667664,58795.20031249989
14,2458794.8215741,27.5356717,56.2849656,2,19.70170021057129,0.14857099950313568,58794.32157409983
15,2458794.7662384,27.5358761,56.2849298,1,20.322799682617188,0.34665799140930176,58794.26623839978
16,2458793.873287,27.5359081,56.2849222,2,19.70170021057129,0.17215299606323242,58793.37328700023
17,2458792.8641782,27.5357617,56.2849301,2,19.724000930786133,0.15637099742889404,58792.36417819979
18,2458791.8482292,27.5357627,56.2849833,2,19.81209945678711,0.16147500276565552,58791.34822920011
19,2458791.783831,27.5357533,56.2849332,1,19.961599349975586,0.18814100325107574,58791.28383099986
20,2458791.7647454,27.5357201,56.284954,1,20.210800170898438,0.2079470008611679,58791.26474539982
21,2458790.7776852,27.5358143,56.2849326,1,20.080799102783203,0.18805000185966492,58790.277685199864
22,2458789.7641319,27.5358176,56.2849182,2,19.861400604248047,0.18940499424934387,58789.26413189992
23,2458788.7754861,27.5358038,56.2849002,2,20.05120086669922,0.22162699699401855,58788.2754861
24,2458788.6958449,27.5356412,56.2849243,1,20.13249969482422,0.20831499993801117,58788.19584489986
