,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458812.7270486,15.9174338,1.0546492,2,19.617399215698242,0.16165000200271606,58812.22704860009
1,2458812.7256944,15.9174566,1.0546075,2,19.75,0.15528899431228638,58812.22569439979
2,2458811.689294,15.9175842,1.0546893,1,19.76460075378418,0.22366200387477875,58811.189294000156
3,2458811.6691667,15.9174507,1.0546122,1,19.821300506591797,0.2821030020713806,58811.16916669998
4,2458811.6489699,15.9175267,1.0546966,2,19.52199935913086,0.2068839967250824,58811.14896989986
5,2458811.6480671,15.9174621,1.0546024,2,19.60740089416504,0.19467300176620483,58811.14806709997
6,2458806.7503935,15.9173952,1.0546169,2,19.23889923095703,0.1265210062265396,58806.250393500086
7,2458806.6908565,15.9174634,1.054635,1,19.478099822998047,0.1489730030298233,58806.19085650006
8,2458805.7105208,15.9173997,1.054677,2,19.36680030822754,0.118756003677845,58805.2105208002
9,2458803.7889236,15.9174155,1.0546626,2,19.266199111938477,0.13514499366283417,58803.28892360022
10,2458802.6887616,15.9174587,1.0546496,1,18.997299194335938,0.14588600397109985,58802.18876159983
11,2458799.7098843,15.9175139,1.0546747,2,19.345500946044922,0.23704299330711365,58799.2098842999
12,2458794.7987384,15.9174726,1.0546161,2,19.34469985961914,0.1958799958229065,58794.298738399986
13,2458794.798287,15.9174735,1.0546121,2,19.561100006103516,0.16005800664424896,58794.29828700004
14,2458791.8408681,15.9174252,1.0546753,2,19.534900665283203,0.15340100228786469,58791.34086810006
15,2458791.8404167,15.9173766,1.0546099,2,19.625699996948242,0.1829259991645813,58791.34041670011
16,2458791.7733912,15.917448,1.0546042,1,19.497800827026367,0.179407000541687,58791.27339120023
17,2458791.7729398,15.9174231,1.0545889,1,19.47249984741211,0.12951800227165222,58791.27293979982
18,2458790.7022106,15.9174487,1.0545928,2,19.772600173950195,0.21973900496959686,58790.20221060002
19,2458788.7527546,15.9174415,1.054614,2,20.09149932861328,0.3073759973049164,58788.25275459979
20,2458788.7509375,15.9174218,1.0546919,2,20.05430030822754,0.3043600022792816,58788.25093750004
21,2458788.6933333,15.9175184,1.0546105,1,19.714599609375,0.22733700275421143,58788.19333329983
22,2458788.6924306,15.9174679,1.0546352,1,20.091299057006836,0.3008140027523041,58788.19243060006
