,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458877.661956,72.7556234,7.6488514,2,19.709400177001953,0.14798200130462646,58877.16195600014
1,2458876.6458565,72.7557145,7.6488774,1,20.924100875854492,0.3138200044631958,58876.14585650014
2,2458873.6772917,72.7556331,7.6488476,2,19.61989974975586,0.12264899909496307,58873.17729170015
3,2458871.7336111,72.7556521,7.6488294,2,19.599700927734375,0.141744002699852,58871.23361109989
4,2458871.7055093,72.7555648,7.6488289,1,20.50779914855957,0.2702859938144684,58871.20550929988
5,2458867.732338,72.7556518,7.6488091,2,19.525699615478516,0.12271499633789062,58867.23233800009
6,2458867.701794,72.7556099,7.648833,1,20.199899673461914,0.18003599345684052,58867.20179399988
7,2458867.6994907,72.755658,7.6488938,1,20.075700759887695,0.19127699732780457,58867.19949069992
8,2458863.6506019,72.7556047,7.6488472,1,19.658700942993164,0.12473800033330917,58863.15060190018
9,2458861.6909028,72.7557053,7.6488496,2,19.38629913330078,0.20807300508022308,58861.19090279983
10,2458860.7115972,72.7555354,7.6488304,2,19.24410057067871,0.2008569985628128,58860.21159720002
11,2458860.7088426,72.7556774,7.6487536,2,19.114999771118164,0.22240400314331055,58860.20884260023
12,2458860.6247222,72.7556407,7.6488951,1,19.622600555419922,0.22817100584506989,58860.12472219998
13,2458859.7678125,72.7555851,7.6488105,2,19.208099365234375,0.14423899352550507,58859.26781249978
14,2458854.669838,72.7557034,7.6486841,2,18.70560073852539,0.23321600258350372,58854.16983800009
16,2458853.6108218,72.7556413,7.6489048,1,18.771299362182617,0.15557199716567993,58853.11082179984
17,2458850.6808565,72.755638,7.648844,1,18.861000061035156,0.08975400030612946,58850.18085649982
18,2458850.6421296,72.7556144,7.6488083,2,18.73189926147461,0.12033600360155106,58850.14212960005
19,2458846.7521181,72.7555712,7.6488416,2,18.878700256347656,0.12478599697351456,58846.25211809995
20,2458846.7313079,72.7556204,7.6488499,1,18.825700759887695,0.09661500155925751,58846.231307900045
21,2458836.9204977,72.7556072,7.6488279,2,19.666099548339844,0.20162899792194366,58836.420497700106
22,2458836.7207292,72.7556099,7.6489069,1,19.56800079345703,0.13696999847888947,58836.22072920017
