,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458905.6349769,10.1579335,40.5812817,1,17.86520004272461,0.09530600160360336,58905.13497690018
1,2458905.6186921,10.1579162,40.5813106,2,16.537500381469727,0.038412000983953476,58905.11869210005
2,2458900.6563542,10.1579324,40.5813261,2,16.570600509643555,0.046592000871896744,58900.156354200095
4,2458894.6587616,10.157939,40.581352,1,16.24690055847168,0.03408899903297424,58894.15876160003
5,2458894.6312847,10.1579344,40.5813479,2,16.127599716186523,0.03235499933362007,58894.131284699775
6,2458891.6585648,10.1579287,40.5813315,1,15.389300346374512,0.02627200074493885,58891.15856479993
7,2458891.6127431,10.1579216,40.5813362,2,15.437100410461426,0.018389999866485596,58891.11274310015
8,2458887.6778819,10.1579875,40.5812736,1,19.183300018310547,0.2694909870624542,58887.17788190022
9,2458887.6122222,10.1579309,40.5813257,2,18.716699600219727,0.09124299883842468,58887.112222199794
10,2458884.6317824,10.1580494,40.5812721,2,18.81279945373535,0.18688799440860748,58884.131782399956
12,2458882.6164583,10.1578929,40.5813759,1,19.60110092163086,0.16568000614643097,58882.116458300035
13,2458880.6510995,10.1578732,40.5813434,2,18.95359992980957,0.09667100012302399,58880.15109949978
15,2458877.6798032,10.1579472,40.5813081,1,19.501699447631836,0.14057700335979462,58877.179803200066
16,2458877.6235185,10.1579516,40.5813382,2,19.133399963378906,0.12783700227737427,58877.12351850001
18,2458874.6147569,10.1579286,40.5813452,2,19.31369972229004,0.08304300159215927,58874.114756899886
19,2458871.6631019,10.1579629,40.5812792,1,19.65719985961914,0.1981460005044937,58871.1631018999
20,2458871.5906481,10.1579206,40.5813355,2,19.356300354003906,0.14050599932670593,58871.09064809978
23,2458864.6089583,10.1579734,40.5813456,1,19.701200485229492,0.12940700352191925,58864.1089583002
24,2458862.6128819,10.1579285,40.5813483,1,19.84469985961914,0.12375199794769287,58862.11288189981
25,2458860.6783102,10.1578579,40.581333,2,18.920499801635742,0.16227099299430847,58860.178310200106
26,2458859.6823264,10.1578736,40.5813484,2,19.14929962158203,0.1585479974746704,58859.18232640019
27,2458859.5972454,10.1579371,40.5813778,1,19.674100875854492,0.2537840008735657,58859.09724539984
29,2458855.693125,10.1579324,40.5813299,2,19.247699737548828,0.16556000709533691,58855.19312500022
30,2458855.656169,10.1579716,40.5813884,1,19.757600784301758,0.2358510047197342,58855.15616900008
31,2458854.6348264,10.158051,40.5813346,2,19.311500549316406,0.20040300488471985,58854.13482639985
33,2458852.6553819,10.1578932,40.5812987,2,19.480199813842773,0.11608800292015076,58852.15538189979
34,2458852.6096181,10.1576877,40.5813633,1,19.692899703979492,0.31528499722480774,58852.10961809987
36,2458849.6511227,10.1579065,40.5813473,2,19.547000885009766,0.12088800221681595,58849.15112269996
37,2458849.5890394,10.1579231,40.5813603,1,20.058000564575195,0.1778549998998642,58849.08903940022
38,2458849.5861111,10.1579204,40.5813498,1,20.083599090576172,0.13828100264072418,58849.086111099925
39,2458849.5803241,10.1579574,40.5813474,2,19.56220054626465,0.1350889950990677,58849.080324099865
40,2458846.6148727,10.1579175,40.5813663,2,19.755699157714844,0.11380500346422195,58846.11487270007
41,2458837.5810532,10.1580099,40.5813476,2,20.11549949645996,0.16872599720954895,58837.08105320018
45,2458831.5973148,10.157976,40.5813524,2,20.34510040283203,0.24285799264907837,58831.097314800136
