,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458894.0468403,274.5622673,68.6686632,2,20.0,0.20542100071907043,58893.54684029985
1,2458887.0556829,274.5623792,68.6686265,2,19.877500534057617,0.23004500567913055,58886.555682899896
2,2458886.0458449,274.5623368,68.6686642,2,19.931800842285156,0.17377999424934387,58885.545844899956
3,2458882.0512616,274.5622222,68.6686075,2,19.441999435424805,0.1414790004491806,58881.55126160011
4,2458881.0368981,274.5619302,68.6686677,2,19.47209930419922,0.12172999978065491,58880.53689809982
5,2458879.0723495,274.562201,68.6687477,2,19.803600311279297,0.27981099486351013,58878.57234949991
6,2458878.0168056,274.5621559,68.6684749,2,19.556800842285156,0.15037600696086884,58877.51680559991
7,2458877.0564583,274.5621614,68.6686121,2,19.6289005279541,0.13537299633026123,58876.55645829998
8,2458876.0456944,274.5623079,68.6684725,2,19.472400665283203,0.14576900005340576,58875.54569440009
9,2458875.987419,274.5620243,68.6686684,1,20.243999481201172,0.3327139914035797,58875.487418999895
10,2458874.0323032,274.5623891,68.6685303,2,19.496999740600586,0.13236799836158752,58873.5323032001
12,2458867.0349074,274.5622546,68.668596,2,19.156600952148438,0.1503639966249466,58866.53490740014
13,2458853.0599306,274.5622658,68.6686394,2,18.884599685668945,0.07918000221252441,58852.559930600226
14,2458852.0547222,274.5621926,68.6686432,1,18.872699737548828,0.09722600132226944,58851.55472220015
15,2458851.0537847,274.5619344,68.6686505,1,18.857500076293945,0.10941199958324432,58850.55378470011
