,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2461138.6616551,105.9930173,18.7300887,2,20.05765724182129,0.20979513227939606,61138.16165510006
1,2461137.7144213,105.9930273,18.7300295,1,20.200899124145508,0.22060799598693848,61137.21442130022
2,2461137.6876273,105.9929911,18.7301474,2,20.295900344848633,0.23355500400066376,61137.187627300154
4,2461135.6945949,105.9929829,18.7301207,1,20.318099975585938,0.2489680051803589,61135.194594900124
5,2461135.6941204,105.9930612,18.7300626,1,20.17020034790039,0.17230500280857086,61135.19412040012
6,2461135.661331,105.9930229,18.730063,2,20.246999740600586,0.25313499569892883,61135.16133099981
7,2461135.6458565,105.993062,18.730157,2,20.170499801635742,0.1986120045185089,61135.14585650014
12,2461134.651169,105.9930387,18.7300549,1,20.207000732421875,0.26144400238990784,61134.15116900019
24,2461129.6966319,105.9929937,18.7301064,2,19.854700088500977,0.266633003950119,61129.196631900035
25,2461129.6711111,105.9930472,18.7300967,2,20.186599731445312,0.26685601472854614,61129.17111109989
34,2461123.670706,105.9930877,18.7300272,2,20.611499786376953,0.23167499899864197,61123.17070600018
35,2461123.649213,105.9930098,18.7300685,1,20.18280029296875,0.1982789933681488,61123.1492130002
36,2461122.6899074,105.9930097,18.7301475,2,20.338899612426758,0.24610699713230133,61122.18990739994
47,2461120.6378009,105.9930377,18.730116,1,19.832700729370117,0.22982099652290344,61120.1378008998
49,2461119.6769329,105.9930096,18.7300782,2,20.088499069213867,0.20109499990940094,61119.17693290021
50,2461119.6754861,105.992996,18.7300583,2,20.19809913635254,0.2067510038614273,61119.175486099906
51,2461119.6550231,105.9930139,18.7301332,1,19.972200393676758,0.16539500653743744,61119.155023099855
52,2461119.6540741,105.9930743,18.730076,1,20.094100952148438,0.14907300472259521,61119.154074099846
54,2461118.6760532,105.9930081,18.7301024,2,19.94770050048828,0.1740799993276596,61118.17605319992
55,2461118.6746065,105.9929735,18.7300699,2,20.45870018005371,0.2814579904079437,61118.17460650019
56,2461118.6543981,105.9929699,18.7300429,1,19.927200317382812,0.189518004655838,61118.154398099985
57,2461118.6525231,105.993037,18.7300181,1,20.19179916381836,0.201324000954628,61118.15252309991
58,2461117.6748727,105.9929597,18.7301799,2,20.199600219726562,0.2607870101928711,61117.174872700125
59,2461117.6739236,105.9930661,18.7300853,2,20.273700714111328,0.21694600582122803,61117.1739236
62,2461117.6397801,105.9928803,18.7300562,1,20.36989974975586,0.2196580022573471,61117.13978009997
63,2461117.6388426,105.9930401,18.7301215,1,20.0093994140625,0.16915400326251984,61117.13884259993
66,2461115.6733218,105.9930544,18.7300354,2,20.00979995727539,0.2906529903411865,61115.17332179984
67,2461115.6733218,105.9930544,18.7300354,2,20.00979995727539,0.2906529903411865,61115.17332179984
69,2461115.653912,105.9929381,18.7300363,1,19.844600677490234,0.18345099687576294,61115.15391199989
73,2461114.6536343,105.9929795,18.7300634,1,20.109800338745117,0.24097000062465668,61114.15363429999
74,2461114.6512731,105.9930492,18.7300744,1,20.04789924621582,0.16708900034427643,61114.15127310017
75,2461114.6376157,105.9929815,18.7301033,2,20.187400817871094,0.2309029996395111,61114.13761569979
76,2461114.6361921,105.9929702,18.7301002,2,20.093599319458008,0.16233499348163605,61114.13619210012
