,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458880.6834259,70.2843717,0.0754451,2,19.704599380493164,0.19229699671268463,58880.18342590006
1,2458880.6272338,70.2844319,0.0754022,1,19.812299728393555,0.15602900087833405,58880.12723380001
2,2458879.6316782,70.2846278,0.0755935,1,19.767000198364258,0.2878260016441345,58879.13167819986
3,2458877.7066435,70.2844671,0.0754234,1,19.625699996948242,0.11253000050783157,58877.2066434999
4,2458877.6610532,70.2844115,0.0754125,2,19.54010009765625,0.11855000257492065,58877.16105319979
5,2458876.6612384,70.2844743,0.0754065,1,19.544700622558594,0.12084999680519104,58876.1612383998
6,2458876.6612384,70.2844751,0.0754045,1,19.533700942993164,0.11876899749040604,58876.1612383998
7,2458874.6896296,70.2844669,0.0753937,1,19.44860076904297,0.1661829948425293,58874.18962959992
8,2458873.7011921,70.2844567,0.0754211,2,19.592899322509766,0.11818700283765793,58873.20119210007
9,2458871.7331597,70.2844874,0.0754816,2,19.490400314331055,0.14464999735355377,58871.23315969994
10,2458871.7050579,70.2844661,0.075426,1,19.362699508666992,0.0981450006365776,58871.20505789993
11,2458867.7031481,70.2844394,0.0753982,1,19.606700897216797,0.11638099700212479,58867.20314810006
12,2458866.7347801,70.2844253,0.0754694,2,19.65410041809082,0.18174199759960175,58866.234780100174
