,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458911.9697106,188.7842664,71.6852585,2,19.92140007019043,0.18519200384616852,58911.4697106001
1,2458911.8939005,188.7846803,71.6853085,1,20.373899459838867,0.2553420066833496,58911.393900500145
4,2458906.8268981,188.7847907,71.685352,1,19.974000930786133,0.16189999878406525,58906.326898099855
5,2458905.7826157,188.7849992,71.6852393,1,19.925800323486328,0.19054700434207916,58905.282615699805
6,2458904.9908912,188.7848319,71.6853957,2,19.6968994140625,0.13560999929904938,58904.490891200025
8,2458903.8840162,188.7848133,71.6853531,2,19.587400436401367,0.11760599911212921,58903.38401619997
9,2458903.8642014,188.7855429,71.6853426,1,20.075300216674805,0.17640100419521332,58903.36420139996
10,2458903.8482986,188.7848243,71.6853353,1,19.791900634765625,0.14879800379276276,58903.34829859994
11,2458901.9070023,188.7847949,71.6854216,2,19.500999450683594,0.11391899734735489,58901.407002300024
12,2458901.8952083,188.7855825,71.685325,2,19.564899444580078,0.1838040053844452,58901.39520830009
13,2458900.9276042,188.7846867,71.6853538,2,19.459199905395508,0.12781399488449097,58900.42760419985
14,2458900.845544,188.7854861,71.6852642,1,19.760900497436523,0.1944810003042221,58900.345544000156
15,2458900.824456,188.7848357,71.6853076,1,19.567899703979492,0.17039699852466583,58900.32445599977
16,2458900.765625,188.785164,71.6853113,2,19.684499740600586,0.18466900289058685,58900.265625
17,2458899.9245718,188.784803,71.6853008,1,19.528099060058594,0.13450899720191956,58899.424571800046
18,2458899.885625,188.7853395,71.6853108,1,19.618799209594727,0.17265400290489197,58899.38562500011
19,2458899.8479051,188.7848565,71.6853734,2,19.559900283813477,0.10177499800920486,58899.34790509986
20,2458899.8233102,188.785125,71.6853026,2,19.481800079345703,0.13863900303840637,58899.323310200125
21,2458898.928206,188.784783,71.6853554,1,19.459800720214844,0.1220029965043068,58898.42820600001
22,2458898.8701736,188.7853166,71.6852954,2,19.61870002746582,0.13788799941539764,58898.37017360004
23,2458898.8446065,188.7847442,71.6854261,2,19.450700759887695,0.13811099529266357,58898.34460650012
24,2458898.7805093,188.7856412,71.6852649,1,19.753000259399414,0.21631400287151337,58898.280509300064
25,2458895.9754051,188.785069,71.6853136,2,19.391000747680664,0.1484210044145584,58895.4754050998
26,2458895.9717477,188.7847568,71.6853577,2,19.48509979248047,0.1363839954137802,58895.471747700125
27,2458895.7425694,188.7847835,71.6853825,1,19.379199981689453,0.13326500356197357,58895.2425694
28,2458895.7137847,188.7852941,71.6852732,1,19.510400772094727,0.20761899650096893,58895.213784699794
29,2458895.0088542,188.7846763,71.6853851,2,19.309999465942383,0.10103800147771835,58894.50885420013
30,2458894.9771644,188.7850411,71.6852984,2,19.474700927734375,0.12732499837875366,58894.47716439981
31,2458894.8435764,188.7848425,71.6853265,1,19.396900177001953,0.12260100245475769,58894.343576400075
32,2458894.8295486,188.7852061,71.6853117,1,19.50040054321289,0.15595799684524536,58894.32954860013
33,2458894.0370139,188.7848649,71.6853953,2,19.322999954223633,0.13026900589466095,58893.5370139
34,2458893.9489468,188.784921,71.6853777,1,19.29330062866211,0.15902100503444672,58893.44894680008
35,2458893.7983218,188.7851896,71.6853641,2,19.52400016784668,0.1646600067615509,58893.29832179984
36,2458893.698125,188.7850072,71.6853198,1,19.449899673461914,0.19688400626182556,58893.19812500011
37,2458892.8902431,188.784799,71.6853683,1,19.36949920654297,0.17839500308036804,58892.3902431
38,2458892.8033796,188.7850157,71.6854981,2,19.31209945678711,0.19102899730205536,58892.303379599936
39,2458892.0116667,188.785044,71.6854084,2,19.450199127197266,0.12401100248098373,58891.51166669978
40,2458891.9893287,188.7850635,71.6853415,2,19.407400131225586,0.1641719937324524,58891.48932870012
41,2458891.9462731,188.784814,71.685387,1,19.316299438476562,0.2016039937734604,58891.4462731001
42,2458891.7218056,188.7846594,71.6853882,1,19.338499069213867,0.18436600267887115,58891.221805599984
43,2458891.013588,188.7845576,71.685338,1,19.19580078125,0.23968000710010529,58890.51358800009
45,2458890.9278704,188.7851727,71.6853902,2,19.513200759887695,0.2578040063381195,58890.427870399784
48,2458888.9310648,188.7846205,71.6854166,2,19.455400466918945,0.2090660035610199,58888.431064799894
50,2458888.0115972,188.7846723,71.6853416,2,19.601200103759766,0.21778999269008636,58887.51159719983
51,2458887.7650463,188.7852873,71.6853283,1,19.56570053100586,0.33514899015426636,58887.2650462999
53,2458887.0298032,188.7846932,71.6853727,2,19.80150032043457,0.16604900360107422,58886.52980320016
54,2458886.9682639,188.7848748,71.6853829,1,19.635000228881836,0.19329500198364258,58886.46826389991
55,2458886.965081,188.7847309,71.6853005,1,19.57830047607422,0.217166006565094,58886.46508099977
57,2458886.0343981,188.7847471,71.6854059,2,19.875900268554688,0.167603999376297,58885.53439809987
59,2458885.9513194,188.7847698,71.6852399,1,19.76490020751953,0.3004179894924164,58885.45131940022
62,2458884.9851389,188.7850069,71.6854368,2,20.076099395751953,0.26383599638938904,58884.48513890011
63,2458884.954838,188.7850102,71.6852926,1,20.04520034790039,0.24317100644111633,58884.45483799977
64,2458884.9324421,188.7849546,71.6853281,1,19.87929916381836,0.24453799426555634,58884.43244209979
67,2458883.9683912,188.7844109,71.6852789,1,19.885499954223633,0.18959900736808777,58883.46839120006
68,2458883.948912,188.7852593,71.685091,1,20.383100509643555,0.3186520040035248,58883.44891199982
69,2458881.9715741,188.7847785,71.6852445,1,20.393699645996094,0.19133399426937103,58881.4715741002
