,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2460976.0024306,114.5964646,22.8410314,2,20.2144718170166,0.1979360580444336,60975.502430600114
1,2460975.9789236,114.5964113,22.8410102,1,20.162399291992188,0.17245599627494812,60975.47892360017
2,2460973.9882639,114.596432,22.8409725,1,20.123899459838867,0.20668500661849976,60973.488263899926
4,2460971.0002199,114.596371,22.8409922,1,20.132699966430664,0.15195800364017487,60970.50021990016
5,2460970.9407292,114.5964648,22.8410046,2,20.00790023803711,0.22647200524806976,60970.44072919991
6,2460968.9586921,114.5964823,22.8410293,2,19.981700897216797,0.21657000482082367,60968.4586920999
7,2460968.9099074,114.5964775,22.8409376,1,20.125600814819336,0.19774599373340607,60968.40990740014
8,2460966.9448843,114.5964413,22.8410452,2,19.905000686645508,0.19835899770259857,60966.44488430023
10,2460964.990463,114.5964323,22.8410832,2,19.782800674438477,0.17218300700187683,60964.49046299979
11,2460964.9732407,114.5964855,22.8410672,1,19.795900344848633,0.19768700003623962,60964.473240700085
12,2460959.0172685,114.5964101,22.8409908,1,19.566299438476562,0.2062849998474121,60958.517268499825
16,2460952.9865162,114.5963462,22.8410267,1,20.206199645996094,0.23407499492168427,60952.486516200006
