,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459054.7061921,234.4520929,38.1463451,2,19.717599868774414,0.15529899299144745,59054.206192099955
1,2459052.7576157,234.4521171,38.1464733,2,20.37929916381836,0.1752839982509613,59052.2576156999
2,2459049.6762963,234.4522309,38.1464331,2,20.169700622558594,0.19952400028705597,59049.17629629979
3,2459048.7064583,234.4521406,38.1464378,2,20.29210090637207,0.19205999374389648,59048.20645829989
4,2459047.72,234.4521217,38.1464623,2,20.415300369262695,0.21396300196647644,59047.220000000205
5,2459046.6989931,234.4521546,38.1464723,2,20.29360008239746,0.17457200586795807,59046.19899309985
6,2459045.7230671,234.4521559,38.1464327,2,20.3435001373291,0.17245100438594818,59045.22306710016
7,2459044.7322917,234.4521367,38.1464322,2,20.196300506591797,0.20531299710273743,59044.23229169985
8,2459043.7635069,234.4521382,38.1464547,2,20.214799880981445,0.1699099987745285,59043.26350690005
9,2459043.7164468,234.4522958,38.1463905,1,21.19070053100586,0.3075850009918213,59043.21644680016
10,2459037.7671644,234.4519126,38.1465941,1,20.561399459838867,0.32640698552131653,59037.26716439985
11,2459037.6992477,234.4519256,38.1463724,2,19.673599243164062,0.19063599407672882,59037.19924770016
13,2459034.830544,234.4521237,38.1464552,2,19.104900360107422,0.11130800098180771,59034.330544000026
14,2459034.7697917,234.4521562,38.1464579,2,18.995100021362305,0.09834899753332138,59034.269791699946
15,2459033.7279282,234.4522503,38.1463906,1,20.125200271606445,0.2949199974536896,59033.227928199805
16,2459031.7341551,234.4521523,38.14646,2,18.72719955444336,0.08482600003480911,59031.23415509984
17,2459031.7037847,234.4520797,38.1465026,1,19.97570037841797,0.26146501302719116,59031.20378470002
18,2459028.8509259,234.4520774,38.1464404,1,19.828399658203125,0.16480399668216705,59028.35092590004
19,2459028.7458796,234.4521522,38.146454,2,18.619600296020508,0.06481900066137314,59028.245879599825
20,2459028.7250347,234.4521627,38.1464571,2,18.632099151611328,0.06824199855327606,59028.225034699775
21,2459025.7384838,234.4521446,38.1464901,1,19.60409927368164,0.10006199777126312,59025.23848380009
22,2459025.6976968,234.4521597,38.1464485,2,18.491199493408203,0.0639989972114563,59025.19769679988
23,2459022.7359722,234.4521246,38.1464494,2,18.38949966430664,0.06235500052571297,59022.235972200055
24,2459022.7059954,234.4521196,38.1464641,1,19.545700073242188,0.092009998857975,59022.20599539997
25,2459019.7608449,234.4521433,38.1464623,1,19.372800827026367,0.08791299909353256,59019.26084489981
26,2459016.7045023,234.4521439,38.1464541,1,19.247800827026367,0.0797090008854866,59016.204502299894
27,2459012.7998958,234.4521333,38.1464654,1,19.139699935913086,0.06874900311231613,59012.299895800184
28,2459012.7603241,234.45214,38.1464713,2,18.110700607299805,0.06352999806404114,59012.26032410003
29,2459009.7240741,234.4521339,38.1464222,2,18.06450080871582,0.061632998287677765,59009.224074100144
30,2459004.7664236,234.4521708,38.1464462,2,17.933399200439453,0.06557799875736237,59004.266423599795
31,2459001.8617824,234.4521371,38.1464852,1,18.82990074157715,0.08928000181913376,59001.36178239994
32,2459001.7840972,234.4521421,38.146437,2,17.886899948120117,0.04255099967122078,59001.284097199794
33,2459000.7801852,234.4521496,38.1464418,1,18.82990074157715,0.09397900104522705,59000.28018519981
34,2458999.7426968,234.4521773,38.1464609,1,18.723499298095703,0.0931830033659935,58999.2426967998
35,2458998.865625,234.4521263,38.1464377,1,18.845500946044922,0.06560800224542618,58998.36562500009
36,2458998.7859028,234.4521442,38.146485,2,17.861400604248047,0.05216899886727333,58998.28590280004
37,2458994.8031944,234.452156,38.1464703,2,17.781400680541992,0.04447900131344795,58994.30319439992
38,2458994.7663773,234.4521615,38.1464572,1,18.707000732421875,0.0618089996278286,58994.266377300024
39,2458991.832581,234.4521204,38.146455,1,18.6742000579834,0.06669200211763382,58991.33258099994
40,2458991.7667477,234.4521451,38.1464719,2,17.743999481201172,0.052032001316547394,58991.26674770005
41,2458985.8842245,234.4521463,38.1464482,2,17.611799240112305,0.03502500057220459,58985.38422450004
42,2458985.8072106,234.4521403,38.14644,1,18.52280044555664,0.06274399906396866,58985.3072106
43,2458981.8010764,234.4521411,38.1464353,1,18.44569969177246,0.07507199794054031,58981.301076400094
44,2458981.7861574,234.4521578,38.1464484,2,17.565500259399414,0.04088500142097473,58981.28615739988
45,2458980.905706,234.4521761,38.1464218,1,18.40329933166504,0.06863100081682205,58980.40570600005
46,2458980.791794,234.4521617,38.1464608,2,17.56450080871582,0.06066500023007393,58980.29179400019
47,2458979.845081,234.4521532,38.1464531,2,17.506500244140625,0.050974998623132706,58979.34508100012
48,2458979.7614005,234.4521626,38.1464655,1,18.367399215698242,0.05834599956870079,58979.26140049985
49,2458978.8843981,234.4521445,38.1464737,1,18.35759925842285,0.08152399957180023,58978.384398099966
50,2458978.7741204,234.4521559,38.1464694,2,17.52869987487793,0.06537599861621857,58978.274120400194
51,2458977.9052546,234.4521646,38.1464773,2,17.54450035095215,0.05810900032520294,58977.405254600104
52,2458977.8573611,234.452236,38.1464252,1,18.462600708007812,0.1313830018043518,58977.35736110015
53,2458977.7698843,234.4521504,38.1464642,2,17.463300704956055,0.051277000457048416,58977.26988429995
54,2458976.9758218,234.452181,38.1464573,1,18.321199417114258,0.07750499993562698,58976.475821800064
55,2458976.8446296,234.4521454,38.1464621,2,17.505399703979492,0.04619000107049942,58976.34462960018
56,2458975.9010648,234.4521489,38.1464628,2,17.510000228881836,0.05419199913740158,58975.4010648001
57,2458975.7978356,234.452132,38.1464607,1,18.27739906311035,0.0687279999256134,58975.2978356001
58,2458974.9680093,234.4521501,38.1464628,1,18.2091007232666,0.06248600035905838,58974.468009300064
59,2458974.8455208,234.4521534,38.1464662,2,17.495100021362305,0.04765300080180168,58974.34552079998
60,2458973.8405208,234.4521694,38.146457,2,17.426799774169922,0.043168000876903534,58973.34052080009
61,2458972.9511227,234.4521299,38.1464516,1,18.292299270629883,0.04803700000047684,58972.45112269977
62,2458972.9199884,234.4521601,38.1464521,2,17.44860076904297,0.0398389995098114,58972.41998839984
63,2458971.9229861,234.4521497,38.1464596,1,18.232799530029297,0.047012001276016235,58971.42298609996
64,2458971.9155324,234.45216,38.1464629,2,17.417200088500977,0.05385499820113182,58971.4155323999
65,2458970.8998495,234.452156,38.1464409,2,17.447200775146484,0.034297000616788864,58970.39984950004
66,2458970.8107523,234.4521605,38.1464505,1,18.270200729370117,0.04870900139212608,58970.31075230008
68,2458968.9420486,234.4521423,38.1464684,1,18.19659996032715,0.04570100083947182,58968.44204859994
69,2458968.8886574,234.4521527,38.1464569,2,17.422300338745117,0.0438539981842041,58968.38865739992
70,2458967.9254514,234.4521345,38.1464435,1,18.18709945678711,0.054085999727249146,58967.425451400224
71,2458967.8669329,234.4521592,38.1464661,2,17.417800903320312,0.048232000321149826,58967.36693290016
72,2458966.9136806,234.4521476,38.1464479,1,18.19260025024414,0.057757001370191574,58966.4136806
73,2458966.8622222,234.4521789,38.1464604,2,17.382400512695312,0.08441899716854095,58966.362222199794
74,2458965.9079167,234.4521484,38.1464602,1,18.150699615478516,0.051874998956918716,58965.4079167
75,2458965.8450116,234.4521622,38.1464492,2,17.38520050048828,0.0451430007815361,58965.34501159983
76,2458964.9096065,234.4521589,38.1464534,2,17.368999481201172,0.04140999913215637,58964.40960650006
77,2458964.8662269,234.4521422,38.1464697,1,18.133499145507812,0.05218600109219551,58964.3662268999
78,2458963.9280324,234.4521356,38.1464619,1,18.099899291992188,0.05281199887394905,58963.42803240009
79,2458963.8897685,234.452148,38.1464591,1,18.147600173950195,0.047449998557567596,58963.38976849988
80,2458962.8663079,234.4521407,38.1464614,1,18.118000030517578,0.05285700038075447,58962.36630789982
81,2458962.8200347,234.4521552,38.1464513,2,17.367799758911133,0.0425570011138916,58962.32003469998
82,2458961.9159838,234.4521458,38.1464348,2,17.340700149536133,0.05523199960589409,58961.415983799845
83,2458956.8659491,234.4521327,38.1464677,1,18.05590057373047,0.066041000187397,58956.36594909988
84,2458956.8413194,234.4521592,38.1464522,2,17.338600158691406,0.056134000420570374,58956.341319399886
85,2458955.9284954,234.4521637,38.1464411,2,17.314800262451172,0.042830999940633774,58955.42849540012
86,2458955.9115972,234.4521457,38.1464539,1,18.01889991760254,0.04874400049448013,58955.411597200204
