,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458973.8247569,223.4049993,57.5841091,2,20.1560001373291,0.216949000954628,58973.32475689985
1,2458973.7787963,223.4049714,57.5841574,2,20.161100387573242,0.29678499698638916,58973.278796299826
2,2458970.8879745,223.4049924,57.58415,2,19.952199935913086,0.13695800304412842,58970.38797450019
4,2458967.849213,223.4050389,57.5841471,2,19.781099319458008,0.1643269956111908,58967.34921299992
5,2458967.7814005,223.4051605,57.5840774,1,20.879499435424805,0.3052389919757843,58967.281400499865
6,2458964.9114352,223.4050412,57.5841375,2,19.77680015563965,0.11624199897050858,58964.4114351999
7,2458964.8496065,223.4050996,57.5841921,1,20.68630027770996,0.22296500205993652,58964.34960650001
8,2458961.9274537,223.4053335,57.5841323,2,19.653200149536133,0.2562749981880188,58961.42745369999
9,2458956.8687269,223.4050732,57.5841997,1,20.219499588012695,0.2536090016365051,58956.36872689985
10,2458956.8267708,223.405074,57.58417,2,19.48819923400879,0.12262800335884094,58956.326770800166
11,2458955.9289699,223.4050383,57.5841743,2,19.444700241088867,0.1492130011320114,58955.428969900124
12,2458955.9084028,223.4049959,57.5841527,1,20.167999267578125,0.1443990021944046,58955.408402800094
13,2458954.9495486,223.4050568,57.5841938,2,19.411300659179688,0.1438090056180954,58954.449548599776
14,2458954.8937847,223.405026,57.5841354,1,20.299699783325195,0.2276729941368103,58954.39378469996
15,2458944.9713773,223.4049385,57.5841779,1,19.19339942932129,0.13313500583171844,58944.4713773001
16,2458943.9690162,223.4050586,57.5841958,2,19.01409912109375,0.10424400120973587,58943.46901619993
17,2458943.9259144,223.4052317,57.584184,1,19.0851993560791,0.14082999527454376,58943.42591439979
18,2458941.9715394,223.4050026,57.5841489,1,19.151100158691406,0.1224450021982193,58941.47153940005
19,2458941.9301505,223.4050415,57.5841651,2,18.94420051574707,0.09236100316047668,58941.43015050003
20,2458940.9751736,223.4051153,57.5842124,1,18.95840072631836,0.0933379977941513,58940.47517360002
22,2458939.9508681,223.4050974,57.5841754,1,18.855100631713867,0.14353600144386292,58939.45086809993
23,2458939.9278009,223.4050498,57.5841764,2,18.817100524902344,0.14051899313926697,58939.42780089984
24,2458936.9725926,223.4050982,57.5841564,1,18.7637996673584,0.06780000030994415,58936.472592600156
25,2458936.9211458,223.4050318,57.5841821,2,18.71820068359375,0.07535699754953384,58936.421145800035
