,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458985.9078356,282.4552033,44.0675083,2,20.45240020751953,0.21145400404930115,58985.407835599966
1,2458983.8935185,282.4554206,44.0674504,2,20.652099609375,0.2912899851799011,58983.39351850003
12,2458974.8689352,282.4551707,44.0675417,2,20.017499923706055,0.27585598826408386,58974.36893519992
13,2458973.9736806,282.4554581,44.0675928,1,20.43720054626465,0.1642960011959076,58973.47368060006
15,2458973.8626968,282.4553008,44.0674875,2,20.34309959411621,0.31184300780296326,58973.362696799915
16,2458971.9454051,282.4553826,44.0675521,1,20.36680030822754,0.22935999929904938,58971.44540510001
18,2458970.9679745,282.4552788,44.0674715,1,20.159500122070312,0.1633629947900772,58970.4679744998
19,2458970.9582176,282.4553868,44.0675662,1,20.45330047607422,0.20186400413513184,58970.458217599895
20,2458970.9344907,282.455183,44.0675597,2,20.143800735473633,0.1879729926586151,58970.43449069979
21,2458970.9340162,282.4552754,44.067489,2,20.362499237060547,0.22566600143909454,58970.43401619978
22,2458968.9758218,282.455409,44.067504,1,20.43320083618164,0.28573301434516907,58968.475821800064
23,2458967.9548148,282.4552133,44.0675249,1,20.21190071105957,0.19429300725460052,58967.45481480006
24,2458967.9543634,282.4552694,44.0674465,1,20.232500076293945,0.18501800298690796,58967.45436340012
25,2458967.9109144,282.4553071,44.0675485,2,20.291200637817383,0.23082199692726135,58967.41091440013
26,2458967.910463,282.4553416,44.0674617,2,20.279499053955078,0.24569100141525269,58967.41046300018
27,2458965.9543056,282.4554054,44.0675304,2,20.270000457763672,0.23138800263404846,58965.45430559991
28,2458965.9334838,282.455411,44.0675311,1,20.34239959716797,0.21425500512123108,58965.43348379992
29,2458964.9648032,282.4553691,44.0674852,1,20.32200050354004,0.17007699608802795,58964.464803200215
30,2458964.9643519,282.4553565,44.0674547,1,20.17300033569336,0.19594599306583405,58964.46435189992
31,2458964.9424653,282.4552574,44.0674676,2,20.282899856567383,0.17037400603294373,58964.442465300206
32,2458964.9420139,282.4552505,44.0674633,2,20.281600952148438,0.17907500267028809,58964.442013899796
33,2458962.9868056,282.4553027,44.0674998,1,20.2721004486084,0.34461700916290283,58962.486805600114
34,2458962.9659954,282.4552975,44.0675834,2,20.20210075378418,0.2827509939670563,58962.46599540021
35,2458961.9406366,282.4552928,44.0674929,2,20.388599395751953,0.2559269964694977,58961.4406365999
36,2458961.9396759,282.4553167,44.0675788,2,20.09320068359375,0.23683199286460876,58961.439675900154
37,2458957.0062153,282.4553089,44.0675273,2,20.072500228881836,0.34868499636650085,58956.506215299945
38,2458956.9933333,282.4553535,44.067537,2,20.179899215698242,0.26294800639152527,58956.49333330011
39,2458956.9928819,282.4554614,44.0676269,2,20.23740005493164,0.28686198592185974,58956.492881900165
40,2458956.992419,282.4552819,44.0674783,2,19.922800064086914,0.33494898676872253,58956.492418999784
41,2458956.9716782,282.4553366,44.0674858,1,20.162099838256836,0.2572700083255768,58956.47167820018
42,2458956.9666667,282.4552004,44.0674999,1,20.02519989013672,0.25241899490356445,58956.46666669985
43,2458956.9661921,282.455227,44.0675174,1,20.228700637817383,0.23850199580192566,58956.4661921002
44,2458953.9509606,282.4554277,44.0674639,2,20.093900680541992,0.2877269983291626,58953.45096059982
46,2458953.9500463,282.4552819,44.0674572,2,19.759199142456055,0.1915310025215149,58953.45004629996
47,2458953.9289699,282.4555212,44.0675274,1,19.892499923706055,0.1594330072402954,58953.428969900124
48,2458953.9285185,282.4553845,44.0674803,1,20.2450008392334,0.31991299986839294,58953.42851850018
49,2458944.0017708,282.4553811,44.0675879,2,19.843599319458008,0.2615109980106354,58943.50177079998
50,2458943.9894444,282.4553598,44.0675018,2,19.877500534057617,0.14984099566936493,58943.489444400184
51,2458943.9884838,282.4552001,44.0674945,2,19.998300552368164,0.2363789975643158,58943.48848380009
52,2458943.9524306,282.4555484,44.0673875,1,19.72909927368164,0.25074800848960876,58943.452430599835
53,2458943.9519676,282.4554507,44.0675519,1,19.688800811767578,0.16899600625038147,58943.4519675998
54,2458943.9506134,282.4554808,44.067518,1,20.06450080871582,0.29893699288368225,58943.45061339997
61,2458937.0122569,282.4553012,44.067558,2,19.785200119018555,0.2063940018415451,58936.51225689985
62,2458936.9911227,282.4552724,44.0674891,1,19.78619956970215,0.1993190050125122,58936.49112269981
63,2458936.9906597,282.4553908,44.0675254,1,19.886499404907227,0.15578199923038483,58936.490659699775
64,2458936.9902083,282.4553291,44.0675074,1,19.805200576782227,0.1293260008096695,58936.49020829983
