,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2458986.7345833,148.5308611,26.6365643,2,19.49720001220703,0.12425199896097183,58986.23458330007
1,2458986.6722685,148.5308416,26.6365302,1,19.86479949951172,0.1367579996585846,58986.172268500086
2,2458981.7295139,148.5309158,26.6365123,2,19.3174991607666,0.10460200160741806,58981.22951389989
3,2458981.6721181,148.5308545,26.6365148,1,19.5,0.0900840014219284,58981.17211809987
4,2458978.687037,148.5308565,26.6365319,1,19.26609992980957,0.09324800223112106,58978.18703699997
5,2458975.7293403,148.5308685,26.6365175,1,19.353700637817383,0.2054460048675537,58975.229340299964
6,2458975.6538889,148.5308715,26.6365644,2,19.397600173950195,0.14219099283218384,58975.15388889983
7,2458972.7280671,148.5309105,26.636537,1,19.20549964904785,0.16858899593353271,58972.22806710005
8,2458972.6734144,148.5308759,26.6365249,2,19.202999114990234,0.13416199386119843,58972.17341439985
9,2458968.7129282,148.5308504,26.6365601,1,19.305999755859375,0.10283999890089035,58968.21292820014
10,2458968.683125,148.5308747,26.6365288,2,19.332799911499023,0.10840500146150589,58968.18312499998
11,2458965.7134144,148.5308596,26.6365606,1,19.384300231933594,0.09449200332164764,58965.213414399885
12,2458965.6737616,148.5308814,26.6365135,2,19.63800048828125,0.11202400177717209,58965.17376160016
13,2458962.7164699,148.5308416,26.6365109,1,19.76180076599121,0.14372499287128448,58962.21646990022
