,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459020.7420718,187.5466285,84.786906,2,20.19529914855957,0.1945980042219162,59020.242071799934
1,2459017.7685764,187.5471368,84.7870892,2,20.068300247192383,0.1788250058889389,59017.26857639989
2,2459017.7456366,187.5471945,84.7869051,2,19.8257999420166,0.15213200449943542,59017.24563660007
3,2459014.7438889,187.5465587,84.7869427,2,19.77389907836914,0.19595399498939514,59014.24388890015
4,2459005.758287,187.5470958,84.7869855,2,19.391000747680664,0.16107800602912903,59005.258287000004
5,2459005.7578125,187.5464964,84.787045,2,19.837900161743164,0.2892110049724579,59005.2578125
6,2458999.8202431,187.5474323,84.7870242,2,19.021900177001953,0.12430199980735779,58999.32024310017
7,2458999.7809491,187.5468699,84.7869694,2,18.954700469970703,0.09556300193071365,58999.28094909992
8,2458996.7639468,187.5471609,84.7869887,2,18.735300064086914,0.09586600214242935,58996.26394680003
9,2458996.7042361,187.5457716,84.7870133,1,19.990800857543945,0.2179419994354248,58996.20423609996
10,2458996.7037616,187.5474326,84.7869602,1,19.96380043029785,0.14485999941825867,58996.20376159996
11,2458993.8031597,187.5470866,84.7869553,2,18.793100357055664,0.07644499838352203,58993.303159699775
12,2458993.8026852,187.5470833,84.7869592,2,18.75819969177246,0.09759599715471268,58993.30268519977
13,2458993.7561111,187.5470671,84.7869841,1,19.542200088500977,0.10937599837779999,58993.25611109985
15,2458987.8182176,187.547163,84.7869675,2,18.51300048828125,0.060582999140024185,58987.31821760023
16,2458987.8177546,187.5469802,84.7869645,2,18.563199996948242,0.08111199736595154,58987.3177546002
17,2458987.7402894,187.5472954,84.7869565,1,18.868900299072266,0.05922799929976463,58987.240289399866
18,2458987.7398148,187.5471803,84.7869855,1,19.009899139404297,0.11900299787521362,58987.23981480021
19,2458981.8118171,187.5474288,84.7869426,1,18.40180015563965,0.09497600048780441,58981.311817099806
20,2458981.7619329,187.5470191,84.7869632,2,18.081199645996094,0.07417400181293488,58981.261932900175
21,2458979.8016667,187.5475434,84.786965,2,18.230600357055664,0.07442300021648407,58979.301666699816
22,2458979.7535995,187.5471113,84.7869465,1,18.4689998626709,0.0882359966635704,58979.25359949982
23,2458978.8926736,187.5473619,84.7869818,1,18.1658992767334,0.11092899739742279,58978.3926736
24,2458978.7648495,187.5468179,84.7869963,2,18.105600357055664,0.07560499757528305,58978.2648494998
25,2458976.7562731,187.5471919,84.7869861,2,18.246700286865234,0.09943299740552902,58976.25627310015
26,2458976.6945023,187.5470616,84.7870111,1,18.46190071105957,0.10978099703788757,58976.19450230012
27,2458975.7392593,187.5467072,84.7869847,1,18.52429962158203,0.09898000210523605,58975.23925929982
28,2458975.6764352,187.5471644,84.7869772,2,18.17060089111328,0.06379599869251251,58975.17643520003
29,2458973.7975926,187.5476201,84.7869762,2,18.460899353027344,0.13609400391578674,58973.297592599876
30,2458973.723831,187.5466704,84.7869401,1,18.585899353027344,0.10628700256347656,58973.22383099981
31,2458972.7691319,187.547066,84.7869692,1,18.675100326538086,0.08932100236415863,58972.26913189981
32,2458970.7910069,187.5472862,84.7869704,1,19.131900787353516,0.1493159979581833,58970.291006899904
34,2458969.7388542,187.5469172,84.7869005,1,19.437599182128906,0.11788400262594223,58969.23885420011
35,2458967.8739699,187.546465,84.7868488,2,19.780799865722656,0.19655099511146545,58967.373969899956
36,2458967.756412,187.547758,84.7867199,1,20.08289909362793,0.29178300499916077,58967.25641199993
37,2458966.8808681,187.5469871,84.7869598,2,20.277000427246094,0.19439299404621124,58966.380868100096
38,2458966.7614815,187.5465061,84.7869581,1,20.262500762939453,0.24781200289726257,58966.26148150023
