,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459051.6897454,243.9450937,0.6665903,2,19.619199752807617,0.13356700539588928,59051.1897454001
1,2459051.6680903,243.9451109,0.6665925,1,20.123699188232422,0.3288840055465698,59051.16809030017
2,2459048.6897454,243.9451141,0.6665465,2,19.650999069213867,0.14223399758338928,59048.1897454001
3,2459045.690625,243.9451312,0.6665216,2,19.70509910583496,0.13332299888134003,59045.190624999814
4,2459042.7111111,243.9451561,0.6665343,2,19.699899673461914,0.12653100490570068,59042.211111099925
5,2459042.6946644,243.9450669,0.6665389,1,20.227800369262695,0.20661400258541107,59042.19466440007
6,2459039.6935185,243.9451583,0.6665418,1,20.31529998779297,0.19262200593948364,59039.193518499844
10,2459028.7107407,243.9450284,0.6665189,2,19.64310073852539,0.17596499621868134,59028.2107406999
11,2459028.6992245,243.9451955,0.6665251,1,19.832000732421875,0.21794599294662476,59028.199224499986
12,2459025.729919,243.9451378,0.666558,1,20.131099700927734,0.22475500404834747,59025.22991900006
13,2459022.7302662,243.9451626,0.666553,2,19.78190040588379,0.13839100301265717,59022.23026619991
14,2459022.6989236,243.9451828,0.6665177,1,20.14349937438965,0.19520500302314758,59022.198923599906
15,2459019.7523495,243.9451919,0.666559,1,20.072900772094727,0.15855799615383148,59019.25234950008
16,2459019.7312269,243.9451516,0.6665404,2,19.6742000579834,0.13411599397659302,59019.23122690013
17,2459016.8354282,243.9452329,0.6665485,1,20.20800018310547,0.24227599799633026,59016.3354282002
18,2459012.7516204,243.9451146,0.6665438,2,19.800199508666992,0.13197599351406097,59012.25162040023
19,2459009.7715394,243.9448187,0.6664639,1,20.118200302124023,0.3836030066013336,59009.271539399866
20,2459001.7727083,243.9450501,0.6665062,2,19.88360023498535,0.23914900422096252,59001.272708300035
21,2458998.7956134,243.9451226,0.66656,2,20.074399948120117,0.1760769933462143,58998.29561340017
22,2458995.7961111,243.9451554,0.6664708,1,20.145000457763672,0.19023099541664124,58995.29611109989
23,2458995.7912616,243.9451489,0.6665684,2,20.153200149536133,0.20149199664592743,58995.291261599865
24,2458992.8120486,243.945133,0.666591,2,20.46150016784668,0.24506300687789917,58992.312048600055
25,2458986.8793287,243.9452119,0.6665001,1,20.703899383544922,0.25519898533821106,58986.37932869978
26,2458986.8118171,243.945162,0.666461,2,20.8882999420166,0.2891939878463745,58986.311817099806
