,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459022.7210764,216.2587863,33.904615,2,20.086700439453125,0.17798399925231934,59022.22107640002
1,2459019.7589699,216.2585533,33.9046547,1,20.00819969177246,0.1684029996395111,59019.2589699002
2,2459019.7585069,216.2588419,33.904626,1,20.03580093383789,0.205143004655838,59019.258506900165
3,2459019.7152431,216.2586716,33.90463,2,19.85379981994629,0.1617410033941269,59019.21524310019
4,2459019.7147801,216.2588305,33.9046163,2,19.867700576782227,0.16840499639511108,59019.214780100156
5,2459016.7394097,216.2586815,33.9046239,2,19.742799758911133,0.15020200610160828,59016.239409700036
6,2459016.7025926,216.2588283,33.9046049,1,19.970399856567383,0.17538200318813324,59016.20259260014
7,2459012.7989583,216.258821,33.9046461,1,19.6919002532959,0.12731300294399261,59012.29895830015
8,2459012.7364583,216.2587556,33.9046157,2,19.60689926147461,0.12208499759435654,59012.23645830015
9,2459012.7359954,216.2587722,33.9046187,2,19.624300003051758,0.13126100599765778,59012.23599540023
10,2459012.7002778,216.2586527,33.9045971,1,19.745500564575195,0.126459002494812,59012.200277800206
11,2459009.7471065,216.2587717,33.9045849,1,19.64109992980957,0.1829189956188202,59009.24710649997
12,2459009.7466319,216.2586936,33.9047117,1,19.565399169921875,0.1281139999628067,59009.24663189985
13,2459009.7139005,216.2586599,33.9045581,2,19.68280029296875,0.20916299521923065,59009.21390049998
14,2459004.7526968,216.2589409,33.9046527,2,19.74139976501465,0.23589299619197845,59004.252696800046
15,2459000.8215046,216.2588996,33.904683,2,19.795700073242188,0.25326400995254517,59000.32150459988
16,2459000.7777546,216.258734,33.904587,1,20.01420021057129,0.20578399300575256,59000.27775460016
17,2459000.7618866,216.2587183,33.9046306,1,19.87700080871582,0.22403399646282196,59000.26188659994
18,2459000.761412,216.2588046,33.9046362,1,19.82819938659668,0.1747319996356964,59000.26141199982
19,2458997.7553704,216.2586315,33.9046801,2,20.47450065612793,0.21035100519657135,58997.255370399915
20,2458997.7263426,216.2589745,33.9046782,1,20.34119987487793,0.22776800394058228,58997.22634259984
21,2458997.7258681,216.2585614,33.9046812,1,20.4153995513916,0.22055299580097198,58997.225868099835
