,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459051.6967477,210.2779592,34.5808661,2,18.28260040283203,0.05776900053024292,59051.19674770022
1,2459051.6870139,210.2780811,34.5808072,1,19.271099090576172,0.14254100620746613,59051.18701389991
2,2459048.7668519,210.2780683,34.5808832,1,18.988000869750977,0.0987050011754036,59048.266851900145
3,2459048.7078588,210.2779774,34.580873,2,18.314599990844727,0.06367400288581848,59048.20785879996
4,2459047.7185995,210.2779879,34.5808771,2,18.3257999420166,0.08397900313138962,59047.218599500135
5,2459046.7127431,210.2780491,34.5808726,1,19.049699783325195,0.12775300443172455,59046.21274309978
6,2459046.696169,210.2779809,34.5808738,2,18.269100189208984,0.06677799671888351,59046.19616900012
7,2459045.7366782,210.2779945,34.5808619,1,18.986099243164062,0.12905800342559814,59045.23667819984
8,2459044.7188889,210.2779833,34.5808788,2,18.30030059814453,0.07194700092077255,59044.21888889978
9,2459043.7399769,210.2780105,34.5808241,2,18.19659996032715,0.09130600094795227,59043.239976900164
10,2459043.7054051,210.2779803,34.5808341,1,18.920299530029297,0.1079230010509491,59043.20540509978
11,2459042.7158449,210.2779571,34.5808458,2,18.26729965209961,0.07649199664592743,59042.21584489988
12,2459042.6995602,210.2779965,34.5808517,1,18.859699249267578,0.10312099754810333,59042.199560199864
13,2459041.7474653,210.2780078,34.5808778,2,18.168500900268555,0.0939520001411438,59041.24746529991
14,2459040.7288773,210.2779675,34.5808435,1,18.84819984436035,0.11727400124073029,59040.22887729993
15,2459040.7018403,210.277984,34.5808684,2,18.189899444580078,0.059376999735832214,59040.20184030011
16,2459039.7366898,210.2779596,34.5808862,2,18.173799514770508,0.09172599762678146,59039.23668979993
17,2459039.7080903,210.2780055,34.5808597,1,18.787399291992188,0.10654199868440628,59039.208090300206
18,2459038.734838,210.2780024,34.5808374,1,18.770099639892578,0.13623200356960297,59038.23483800003
19,2459038.6945486,210.2780097,34.5808777,2,18.06060028076172,0.10030899941921234,59038.19454859989
20,2459037.7393287,210.2780454,34.5810139,1,18.842500686645508,0.2294979989528656,59037.23932870012
21,2459037.6955671,210.2780252,34.5808731,2,18.090999603271484,0.08632200211286545,59037.19556709984
22,2459036.7708218,210.2780167,34.5809135,2,18.100299835205078,0.11476399749517441,59036.27082179999
23,2459036.6952778,210.2779755,34.5808696,1,18.611799240112305,0.13928399980068207,59036.19527779985
24,2459035.7985417,210.2780099,34.5808538,2,18.098600387573242,0.08861900120973587,59035.2985417
25,2459034.8181713,210.2779815,34.5808323,2,18.05299949645996,0.08164399862289429,59034.318171299994
26,2459034.6997917,210.2779793,34.5808612,1,18.610300064086914,0.14482900500297546,59034.19979170011
27,2459031.7158449,210.278001,34.5809056,2,17.9906005859375,0.08891300112009048,59031.21584489988
28,2459031.6756019,210.2779423,34.5808394,1,18.3439998626709,0.07912000268697739,59031.17560190009
29,2459028.7173495,210.2779962,34.5808702,2,17.86750030517578,0.09157299995422363,59028.21734949993
30,2459028.7053588,210.2779975,34.5808408,1,18.210899353027344,0.08619700372219086,59028.20535880001
31,2459025.7273495,210.2779804,34.5808277,1,18.00029945373535,0.08997700363397598,59025.22734950017
32,2459024.6703356,210.2780013,34.5808526,2,17.78890037536621,0.05229799821972847,59024.17033560015
33,2459022.7215394,210.2779967,34.5808678,2,17.71579933166504,0.0476979985833168,59022.22153940005
34,2459019.7589699,210.2779674,34.5808572,1,17.741899490356445,0.051725998520851135,59019.2589699002
35,2459019.7152431,210.2779453,34.5808676,2,17.588699340820312,0.04804199934005737,59019.21524310019
36,2459016.7394097,210.2779865,34.5808689,2,17.59980010986328,0.06664600223302841,59016.239409700036
37,2459012.7364583,210.2779626,34.5808433,2,17.52199935913086,0.042892999947071075,59012.23645830015
38,2459012.7002778,210.2779842,34.5808531,1,17.37820053100586,0.047832001000642776,59012.200277800206
39,2459009.7466319,210.2780152,34.5808159,1,17.338499069213867,0.04904799908399582,59009.24663189985
40,2459009.7139005,210.2779722,34.5808728,2,17.44809913635254,0.053491998463869095,59009.21390049998
41,2459004.7526968,210.2779808,34.5809139,2,18.282400131225586,0.06859099864959717,59004.252696800046
