,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459027.8846412,283.0878418,43.017159,2,20.437400817871094,0.1639389991760254,59027.38464119984
1,2459027.8606366,283.0880537,43.0171079,1,20.77389907836914,0.28580600023269653,59027.36063659983
2,2459026.8698727,283.0880686,43.0169583,1,20.74020004272461,0.27897098660469055,59026.36987269996
3,2459025.8655671,283.0878716,43.0171207,2,20.530799865722656,0.14466999471187592,59025.36556709977
4,2459025.8627431,283.0880736,43.0171605,2,20.281600952148438,0.17225000262260437,59025.36274310015
5,2459025.8238773,283.0880464,43.0170816,1,20.587200164794922,0.20581600069999695,59025.323877300136
6,2459024.8686806,283.0880061,43.0171628,1,20.662099838256836,0.1898850053548813,59024.36868060008
7,2459024.8658218,283.0881063,43.0170819,1,20.486900329589844,0.21848000586032867,59024.365821800195
8,2459024.7615741,283.0879981,43.0171425,2,20.46940040588379,0.20655100047588348,59024.26157409977
9,2459024.7596991,283.0881138,43.0171001,2,20.25309944152832,0.22200100123882294,59024.25969910016
10,2459023.8902894,283.0880633,43.0170651,2,20.409000396728516,0.19654400646686554,59023.39028939977
11,2459023.8326273,283.0881047,43.0170961,1,20.362699508666992,0.19794400036334991,59023.33262730017
12,2459023.8321644,283.0878238,43.0171626,1,20.56369972229004,0.15950000286102295,59023.33216439979
13,2459023.8083681,283.0879096,43.0171248,2,20.576099395751953,0.1679610013961792,59023.30836809985
14,2459022.8526505,283.0881321,43.0171332,1,20.421199798583984,0.2182150036096573,59022.3526504999
15,2459022.8472685,283.0879389,43.0170892,1,20.526599884033203,0.17577199637889862,59022.3472684999
16,2459022.7678704,283.0880248,43.0171168,2,20.208999633789062,0.17063599824905396,59022.2678704001
17,2459022.7553356,283.0879646,43.017117,2,20.26289939880371,0.1369830071926117,59022.255335600115
18,2459020.9621759,283.0880684,43.0171504,2,20.23590087890625,0.22534799575805664,59020.46217590012
19,2459020.8900579,283.0881157,43.0170819,1,20.257600784301758,0.2348639965057373,59020.39005789999
20,2459020.8747801,283.087936,43.0171418,1,20.40489959716797,0.19200499355793,59020.37478009984
21,2459020.7903704,283.0879829,43.0170911,2,20.20800018310547,0.133092999458313,59020.290370400064
22,2459019.8670255,283.0880367,43.0170479,2,20.12809944152832,0.1593099981546402,59019.36702550016
23,2459019.8632176,283.0878479,43.0170816,2,20.117900848388672,0.12080399692058563,59019.363217600156
24,2459019.7795602,283.0879665,43.0170748,1,20.31879997253418,0.14617200195789337,59019.27956019994
25,2459019.7790972,283.088088,43.0170685,1,20.174299240112305,0.16416600346565247,59019.279097199906
26,2459018.8659606,283.0881182,43.0171175,1,20.243999481201172,0.19502100348472595,59018.365960599855
27,2459018.8505324,283.0878403,43.0170976,1,20.237499237060547,0.18334899842739105,59018.350532399956
28,2459017.8256944,283.0880766,43.0170834,1,20.078100204467773,0.16708800196647644,59017.325694399886
29,2459017.8252315,283.0878994,43.0171112,1,20.231199264526367,0.153671994805336,59017.32523149997
30,2459017.780544,283.0879762,43.0171727,2,20.186599731445312,0.1309099942445755,59017.28054400021
31,2459016.8672917,283.0880319,43.0169774,1,20.117000579833984,0.19354699552059174,59016.367291700095
32,2459016.8533565,283.08798,43.0170484,1,20.243200302124023,0.20660300552845,59016.353356500156
33,2459015.8375,283.0880888,43.0171211,2,20.134199142456055,0.1285180002450943,59015.33749999991
34,2459015.8365394,283.0880529,43.0170733,2,20.082700729370117,0.21059100329875946,59015.33653939981
35,2459014.9634606,283.0881033,43.0170787,2,20.274799346923828,0.2126699984073639,59014.4634606
36,2459014.862662,283.0880912,43.0170647,1,20.07229995727539,0.17089100182056427,59014.362662000116
37,2459014.858125,283.0879712,43.017125,1,20.244199752807617,0.18506699800491333,59014.358124999795
38,2459013.9513657,283.0881175,43.0171185,2,20.091899871826172,0.18691200017929077,59013.45136569999
39,2459013.8448843,283.0880031,43.0171038,2,20.216100692749023,0.24252299964427948,59013.34488430014
40,2459013.8320602,283.0880376,43.0170187,2,20.204299926757812,0.1495410054922104,59013.33206020016
41,2459012.8222106,283.0880432,43.0170773,1,20.159099578857422,0.179734006524086,59012.322210600134
42,2459012.8217361,283.0879485,43.0171236,1,20.175600051879883,0.11684899777173996,59012.32173610013
43,2459012.7772338,283.0878649,43.0170348,2,20.058300018310547,0.12181299924850464,59012.27723379992
44,2459012.7767593,283.0880828,43.0171066,2,20.127500534057617,0.1602099984884262,59012.276759299915
45,2459011.8330093,283.0880855,43.017097,2,20.117300033569336,0.22153499722480774,59011.33300929982
46,2459011.8229745,283.0880322,43.0170507,2,20.218399047851562,0.18752600252628326,59011.32297449978
47,2459011.8076389,283.0881486,43.0170271,1,20.061800003051758,0.19026699662208557,59011.30763889989
48,2459011.8071759,283.0880789,43.0171478,1,20.412099838256836,0.17941300570964813,59011.307175899856
49,2459009.8721875,283.0879651,43.0170796,2,20.054100036621094,0.18633699417114258,59009.37218749989
50,2459009.7852546,283.087946,43.0170989,1,20.139400482177734,0.2793720066547394,59009.28525459999
51,2459009.7847917,283.0879358,43.0170862,1,20.303199768066406,0.28269699215888977,59009.284791700076
