,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459045.7619792,249.4880468,19.6740595,1,20.505800247192383,0.17876799404621124,59045.261979199946
1,2459042.8008102,249.4881064,19.6740929,1,20.40559959411621,0.1711069941520691,59042.30081020016
2,2459039.6916435,249.488122,19.6740559,1,20.079200744628906,0.19479499757289886,59039.19164349977
3,2459036.775787,249.4881051,19.6740222,2,19.800500869750977,0.21243999898433685,59036.27578700008
4,2459036.716169,249.4881106,19.6740533,1,19.911500930786133,0.20823100209236145,59036.21616900014
5,2459032.8607639,249.488079,19.6740547,1,19.899200439453125,0.3741370141506195,59032.36076389998
6,2459032.746875,249.4881191,19.6740319,2,19.806100845336914,0.23730100691318512,59032.246875000186
7,2459029.7517361,249.4880015,19.6739456,1,20.053699493408203,0.25672900676727295,59029.25173609983
8,2459026.7893981,249.4880766,19.6740614,2,20.16830062866211,0.1962909996509552,59026.28939810023
9,2459026.7474306,249.4880835,19.6740427,1,20.04400062561035,0.16014400124549866,59026.247430600226
10,2459023.7979051,249.4880386,19.6740432,2,20.27120018005371,0.21298100054264069,59023.297905100044
11,2459023.7377546,249.4880992,19.6740384,1,20.303800582885742,0.20931799709796906,59023.23775460012
12,2459020.774213,249.4881029,19.6739996,2,20.809200286865234,0.28403499722480774,59020.2742130002
13,2459020.7228125,249.488163,19.6740761,1,20.559799194335938,0.22694100439548492,59020.22281249985
