,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459088.900081,6.8698687,3.3501177,2,20.139299392700195,0.17694799602031708,59088.400080999825
1,2459086.8683333,6.8696779,3.350141,2,20.143199920654297,0.237745001912117,59086.36833330011
2,2459085.9635417,6.8698647,3.3501065,2,20.137300491333008,0.19955900311470032,59085.46354170004
3,2459081.9026389,6.8697745,3.3501614,2,19.907400131225586,0.18890699744224548,59081.402638900094
4,2459079.9021065,6.8698293,3.3501647,2,19.867700576782227,0.21385499835014343,59079.40210650023
5,2459076.9100347,6.8698224,3.3501722,2,19.93939971923828,0.17156900465488434,59076.41003469983
6,2459075.9608796,6.8698737,3.3500876,2,19.962600708007812,0.1752990037202835,59075.46087960014
7,2459072.9780787,6.8699408,3.3501008,2,19.807899475097656,0.18357199430465698,59072.47807870014
8,2459066.9394329,6.8700519,3.3500884,2,19.543800354003906,0.2392919957637787,59066.43943289993
9,2459064.8942708,6.8699881,3.3501544,2,19.303300857543945,0.19297799468040466,59064.394270800054
10,2459063.9166898,6.8700367,3.3500615,2,19.39259910583496,0.14308300614356995,59063.4166898001
11,2459061.8727083,6.8700229,3.3500346,2,19.087900161743164,0.11402600258588791,59061.37270830013
13,2459060.9391435,6.8699394,3.3500783,2,19.13520050048828,0.11830399930477142,59060.439143499825
14,2459056.9618866,6.8699894,3.3500402,2,19.0585994720459,0.1024169996380806,59056.461886600126
15,2459056.9401157,6.8696541,3.3501055,1,20.23710060119629,0.2056560069322586,59056.44011570001
16,2459053.9599074,6.8699445,3.3500781,2,18.928300857543945,0.08753000199794769,59053.459907399956
17,2459050.9769676,6.8699916,3.3500703,2,18.836200714111328,0.06898999959230423,59050.476967600174
18,2459050.9376505,6.8697189,3.3500482,1,19.935100555419922,0.1814509928226471,59050.437650499865
19,2459049.8934259,6.8700346,3.3500781,2,18.794099807739258,0.10102800279855728,59049.39342590002
20,2459047.9537616,6.8698321,3.3500751,1,19.690099716186523,0.16629600524902344,59047.45376159996
21,2459047.9199537,6.869991,3.3500454,2,18.832000732421875,0.07785099744796753,59047.419953700155
22,2459044.9607407,6.8699835,3.3500606,2,18.7450008392334,0.08598200231790543,59044.4607406999
23,2459044.858287,6.8700069,3.3500051,1,19.07110023498535,0.1494929939508438,59044.3582870001
24,2459038.9603704,6.8700524,3.3501041,1,18.49720001220703,0.10726500302553177,59038.46037039999
26,2459038.8778356,6.8701173,3.350028,2,18.389400482177734,0.10880199819803238,59038.37783560017
27,2459034.8820255,6.8699839,3.3500874,2,18.106599807739258,0.06900700181722641,59034.38202549983
28,2459026.9738889,6.8700293,3.350065,2,18.024200439453125,0.04499899968504906,59026.47388890013
