,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459157.6073843,298.9591673,2.1976012,2,19.33370018005371,0.11994799971580505,59157.10738429986
2,2459154.6416204,298.9591446,2.1975493,2,19.213499069213867,0.17843900620937347,59154.141620399896
5,2459150.697963,298.9591126,2.1974565,2,18.770000457763672,0.16249099373817444,59150.19796299981
8,2459145.6220023,298.9591397,2.1975793,2,18.760400772094727,0.14108699560165405,59145.122002299875
9,2459143.6841204,298.9591218,2.1976002,1,20.32040023803711,0.19766999781131744,59143.18412039988
11,2459141.6494329,298.959124,2.1975299,2,18.632999420166016,0.10470999777317047,59141.149432899896
12,2459139.7483912,298.9591669,2.1975814,2,18.66469955444336,0.12066499888896942,59139.24839119986
14,2459137.6800231,298.9591603,2.1975961,2,18.62470054626465,0.09132800251245499,59137.18002310023
15,2459137.6655903,298.9591094,2.1975271,1,20.430299758911133,0.2513749897480011,59137.165590300225
16,2459135.7137384,298.9591047,2.1975309,1,20.302900314331055,0.2283809930086136,59135.21373840002
17,2459135.670463,298.9591537,2.1975764,2,18.51729965209961,0.0893239974975586,59135.17046299996
18,2459130.7028704,298.9591129,2.1975536,2,18.534400939941406,0.08237399905920029,59130.20287040016
20,2459128.7457292,298.9591336,2.1975856,2,18.455799102783203,0.10359500348567963,59128.245729200076
21,2459128.6827199,298.9591564,2.1975283,1,19.817899703979492,0.23106800019741058,59128.18271989981
23,2459123.777338,298.9590734,2.1975545,2,18.522899627685547,0.21592800319194794,59123.277338000014
24,2459114.7818519,298.9591428,2.1975669,2,18.36910057067871,0.0987740010023117,59114.28185189981
25,2459114.7121296,298.9591641,2.1975934,1,19.72800064086914,0.1641860008239746,59114.21212959988
26,2459111.7447685,298.9591389,2.1975775,2,18.348400115966797,0.090939000248909,59111.24476849986
27,2459111.6487847,298.9591491,2.1975579,1,19.80820083618164,0.1726199984550476,59111.14878469985
28,2459108.7689352,298.9591316,2.1975184,1,19.6200008392334,0.2537879943847656,59108.26893519983
30,2459094.8102083,298.9591667,2.1975434,2,18.215099334716797,0.12275499850511551,59094.31020830013
31,2459094.7096528,298.9592497,2.1975751,1,19.36639976501465,0.2722029983997345,59094.20965280011
32,2459085.756088,298.9591796,2.1975774,1,19.47559928894043,0.122748002409935,59085.25608799979
33,2459082.7746412,298.9591393,2.1975608,1,19.583999633789062,0.1357640027999878,59082.27464119997
34,2459079.8206829,298.9591412,2.1975958,1,19.276199340820312,0.13874900341033936,59079.32068290003
35,2459079.7969792,298.9591191,2.197591,2,18.180700302124023,0.08118300139904022,59079.296979200095
36,2459078.8283449,298.9591342,2.1975771,2,18.10260009765625,0.07778800278902054,59078.32834490016
37,2459076.7734838,298.9591401,2.1975149,1,19.339099884033203,0.23056699335575104,59076.27348379977
38,2459073.8152894,298.9591658,2.197571,1,19.208499908447266,0.10469599813222885,59073.31528940005
39,2459073.7977431,298.9591183,2.1975797,2,18.096500396728516,0.07168400287628174,59073.29774310021
41,2459070.816169,298.9591414,2.1975776,1,19.038999557495117,0.11169400066137314,59070.31616900023
42,2459070.797963,298.9591345,2.1975686,2,18.06679916381836,0.06784600019454956,59070.2979629999
44,2459067.8257986,298.9591373,2.1975848,1,19.09429931640625,0.157368004322052,59067.32579859998
45,2459063.9230324,298.9591164,2.1975729,1,19.021299362182617,0.2322389930486679,59063.4230324002
46,2459061.8972222,298.9591284,2.1975942,2,17.99209976196289,0.07279600203037262,59061.39722219994
47,2459060.8267708,298.9591337,2.1975776,1,18.88450050354004,0.11209800094366074,59060.326770800166
48,2459056.9003241,298.9591544,2.1975699,1,18.72010040283203,0.08695899695158005,59056.40032410016
49,2459056.8672801,298.9591592,2.197551,2,17.88909912109375,0.07497599720954895,59056.36728010001
50,2459053.8584606,298.9591445,2.1975847,1,18.627599716186523,0.0839880034327507,59053.35846060002
51,2459050.880081,298.9591381,2.1975814,1,18.504100799560547,0.08661899715662003,59050.38008099981
52,2459050.7958912,298.9591257,2.1975765,2,17.988800048828125,0.06913000345230103,59050.29589120019
53,2459047.8981019,298.9591452,2.1975749,2,17.951400756835938,0.0811299979686737,59047.39810189977
54,2459047.7769097,298.9591541,2.1975846,1,18.49810028076172,0.0662899985909462,59047.27690970013
55,2459044.8779398,298.9591468,2.1975813,2,18.039199829101562,0.068231001496315,59044.3779397998
56,2459044.8344792,298.95915,2.1975823,1,18.450899124145508,0.07465299963951111,59044.33447920019
57,2459041.7942014,298.9591134,2.1975866,2,17.909900665283203,0.08853200078010559,59041.29420140013
58,2459038.8748032,298.9591401,2.1975795,2,18.094100952148438,0.08565600216388702,59038.3748031999
59,2459035.9438542,298.9591337,2.19761,1,18.468900680541992,0.09881799668073654,59035.44385420019
60,2459035.8347222,298.9591106,2.1975597,2,18.29490089416504,0.10736999660730362,59035.33472219994
61,2459032.963669,298.9591599,2.197596,1,18.637699127197266,0.07513199746608734,59032.46366900019
62,2459032.836956,298.9591459,2.1976007,2,18.378000259399414,0.07902900129556656,59032.336955999956
63,2459029.7753009,298.9591664,2.1975422,1,18.940099716186523,0.16644999384880066,59029.275300899986
