,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459073.6831134,242.4307008,31.3110336,2,20.27560043334961,0.19761699438095093,59073.18311339989
1,2459072.7141088,242.4307104,31.3110386,1,21.05340003967285,0.2511709928512573,59072.21410880005
2,2459072.6791782,242.4306496,31.3109507,2,20.202600479125977,0.17775000631809235,59072.1791782002
3,2459071.7143519,242.4307203,31.3111086,1,20.961000442504883,0.2973710000514984,59071.21435189992
4,2459070.7458218,242.4307055,31.3110369,1,20.882999420166016,0.2784059941768646,59070.24582180008
5,2459070.6975694,242.4306292,31.3110488,2,20.23240089416504,0.14619900286197662,59070.19756940007
6,2459069.7005671,242.4306323,31.3109995,2,20.252500534057617,0.1604200005531311,59069.2005671002
7,2459069.683588,242.4305898,31.3110104,1,20.942899703979492,0.2870439887046814,59069.183588000014
8,2459067.6788889,242.4306589,31.3110599,2,20.308900833129883,0.1671690046787262,59067.178888900205
9,2459066.7259838,242.4306067,31.3109626,2,20.104900360107422,0.3044860064983368,59066.2259837999
10,2459066.6850926,242.4306618,31.311046,1,20.510000228881836,0.302498996257782,59066.18509260006
13,2459063.6808102,242.4306007,31.3109831,2,20.01490020751953,0.2073349952697754,59063.18081020005
14,2459055.799294,242.4307036,31.3110026,1,19.7450008392334,0.1205340027809143,59055.299294000026
15,2459052.7771412,242.4306747,31.3110293,1,19.64620018005371,0.10761000216007233,59052.27714119991
16,2459052.7455324,242.4306624,31.311035,2,19.536300659179688,0.12598900496959686,59052.245532399975
17,2459049.8485995,242.4306795,31.3110374,2,19.39889907836914,0.1207989975810051,59049.34859950002
18,2459046.7278819,242.4306773,31.311013,1,19.447200775146484,0.09726700186729431,59046.227881900035
19,2459046.6933681,242.4307079,31.3110161,2,19.49180030822754,0.12048999965190887,59046.193368100096
20,2459043.7653819,242.4306482,31.3110037,2,19.632099151611328,0.10454100370407104,59043.26538190013
21,2459043.7136458,242.430648,31.3110097,1,19.493099212646484,0.09945899993181229,59043.21364580002
22,2459040.7751736,242.4306442,31.3110273,2,19.843700408935547,0.12954099476337433,59040.27517359983
23,2459040.7331829,242.4306909,31.3110497,1,19.631399154663086,0.1069670021533966,59040.23318290012
24,2459037.728287,242.4307395,31.311038,1,20.01460075378418,0.26687300205230713,59037.22828700021
25,2459037.708287,242.4307246,31.3109393,2,20.046100616455078,0.2600660026073456,59037.20828700019
26,2459035.7216204,242.4306988,31.3110031,1,20.03529930114746,0.3061310052871704,59035.22162039997
