,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459073.9731944,62.303803,72.8971786,2,19.84269905090332,0.17101100087165833,59073.47319439985
1,2459069.961875,62.3036833,72.8972272,2,19.992900848388672,0.15255199372768402,59069.46187500004
2,2459066.9894444,62.3032302,72.8971191,2,19.757699966430664,0.24222800135612488,59066.489444400184
3,2459066.9734606,62.3038005,72.897177,2,19.55340003967285,0.19501399993896484,59066.47346059978
11,2459061.9462037,62.3038291,72.8971998,2,19.636199951171875,0.15535999834537506,59061.4462036998
12,2459056.9768287,62.3037996,72.8971744,2,19.47559928894043,0.13761299848556519,59056.47682869993
13,2459056.9763657,62.3036758,72.8971736,2,19.42609977722168,0.11318299919366837,59056.4763656999
14,2459056.9567245,62.3037974,72.8971779,1,20.08679962158203,0.29761600494384766,59056.45672449982
15,2459056.9562616,62.3040368,72.8971659,1,19.944499969482422,0.14190399646759033,59056.4562615999
16,2459053.9666204,62.3038462,72.897178,2,19.23859977722168,0.12064199894666672,59053.46662040008
17,2459053.9661574,62.3036124,72.897175,2,19.189599990844727,0.09014499932527542,59053.46615740005
18,2459053.9299653,62.3039304,72.8971285,1,19.70199966430664,0.19731299579143524,59053.42996530002
19,2459053.9294907,62.3038566,72.8971527,1,19.661500930786133,0.13980799913406372,59053.4294906999
20,2459050.9688773,62.3038423,72.8971958,2,19.19339942932129,0.11572500318288803,59050.468877300154
21,2459050.9684144,62.3037599,72.8971811,2,19.114200592041016,0.10710500180721283,59050.46841439977
22,2459050.9271181,62.3039253,72.8971531,1,19.555500030517578,0.12313900142908096,59050.427118100226
23,2459050.9266551,62.3038353,72.897134,1,19.664600372314453,0.20307500660419464,59050.42665510019
24,2459046.9727894,62.3037363,72.8972058,1,19.46310043334961,0.17280100286006927,59046.47278939979
25,2459046.9526736,62.3037557,72.897194,2,19.266599655151367,0.1334179937839508,59046.452673600055
