,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459088.936956,1.4455233,13.0587984,2,19.954500198364258,0.1776150017976761,59088.43695600005
1,2459088.8996181,1.4455485,13.0587827,2,19.894800186157227,0.14009900391101837,59088.39961809991
2,2459086.8584606,1.4455198,13.0587858,2,19.915599822998047,0.11868699640035629,59086.35846060002
3,2459085.8896181,1.4454939,13.0587813,1,20.352500915527344,0.210984006524086,59085.38961810013
4,2459085.8324884,1.4454927,13.0587902,2,19.805400848388672,0.1259859949350357,59085.33248839993
5,2459082.9628125,1.4455498,13.0587668,2,19.798500061035156,0.20073600113391876,59082.462812500075
6,2459082.8972222,1.4455195,13.058815,1,20.05620002746582,0.14359800517559052,59082.39722219994
7,2459081.9007755,1.4455929,13.0587933,2,19.81290054321289,0.1465419977903366,59081.40077550011
9,2459079.9195602,1.445534,13.0588062,2,19.564699172973633,0.0845780000090599,59079.41956020007
10,2459079.9016319,1.4455414,13.0587962,2,19.747699737548828,0.10345599800348282,59079.40163190011
11,2459079.8454745,1.4455264,13.0587647,1,19.938199996948242,0.1194010004401207,59079.34547450021
12,2459078.9066782,1.4454437,13.0588019,1,19.832000732421875,0.17752699553966522,59078.40667819977
13,2459078.9066782,1.4454437,13.0588019,1,19.832000732421875,0.17752699553966522,59078.40667819977
14,2459077.9690741,1.4455161,13.0588041,2,19.49489974975586,0.09526800364255905,59077.46907409979
15,2459077.908588,1.4455264,13.0587774,1,19.682300567626953,0.11325500160455704,59077.40858800011
16,2459076.9411921,1.4454925,13.0588051,1,19.668100357055664,0.1455020010471344,59076.441192099825
17,2459076.9095602,1.4455058,13.0587552,2,19.346200942993164,0.1131180003285408,59076.40956019983
18,2459075.9061111,1.4455425,13.0588051,1,19.667299270629883,0.12924900650978088,59075.40611110022
20,2459073.9833681,1.445546,13.0587671,2,19.403499603271484,0.1017569974064827,59073.48336810013
21,2459073.9063194,1.4455432,13.0587733,1,19.479799270629883,0.10366299748420715,59073.40631939983
22,2459073.8783912,1.4455164,13.0587745,1,19.47909927368164,0.10835699737071991,59073.37839120021
23,2459072.9907639,1.4455339,13.0587817,2,19.21820068359375,0.09714700281620026,59072.49076389987
24,2459072.9568171,1.4455309,13.0587997,1,19.405500411987305,0.12832599878311157,59072.456817099825
25,2459071.9770718,1.4455085,13.0587973,1,19.3612003326416,0.11201699823141098,59071.4770717998
27,2459066.8987616,1.4454691,13.0587771,1,19.19930076599121,0.17636999487876892,59066.39876159979
28,2459065.9084259,1.4454585,13.0587528,2,19.229799270629883,0.15512500703334808,59065.408425900154
29,2459064.8732986,1.4455929,13.0587932,2,19.146400451660156,0.13278299570083618,59064.37329859985
30,2459063.9364699,1.4454822,13.0588285,1,19.10409927368164,0.18810699880123138,59063.436469899956
31,2459063.8696412,1.4454956,13.0587346,2,19.112699508666992,0.09726999700069427,59063.369641200174
32,2459062.9603819,1.4455148,13.0587808,2,19.04400062561035,0.06969799846410751,59062.46038189996
33,2459061.851875,1.4455237,13.0587839,2,19.10409927368164,0.08491100370883942,59061.35187500017
34,2459060.9315394,1.4455385,13.0587911,2,19.239500045776367,0.07511000335216522,59060.431539400015
35,2459059.9593287,1.4455199,13.0587791,2,19.1968994140625,0.07430899888277054,59059.45932869986
36,2459059.9181481,1.445537,13.0587707,1,19.27630043029785,0.09678400307893753,59059.41814809991
37,2459057.9586458,1.4455069,13.0588013,2,19.446699142456055,0.09946200251579285,59057.45864580013
38,2459055.9410069,1.4455292,13.0587734,2,19.677799224853516,0.10477299988269806,59055.44100689981
39,2459055.9202894,1.4454844,13.0587876,1,19.71780014038086,0.13537399470806122,59055.420289400034
40,2459054.9972338,1.4455108,13.0587974,1,19.85849952697754,0.3005099892616272,59054.497233800124
41,2459052.9867477,1.4455264,13.0587338,1,20.245500564575195,0.1994290053844452,59052.48674769979
42,2459052.9617593,1.445465,13.0587884,1,20.331600189208984,0.16741999983787537,59052.46175929997
43,2459052.9192824,1.4455354,13.0587781,2,20.348600387573242,0.1996929943561554,59052.41928240005
44,2459050.9784028,1.4455263,13.058842,2,20.722999572753906,0.26976001262664795,59050.47840279993
