,jd,ra,dec,fid,magpsf,sigmapsf,mjd
0,2459117.8115741,32.6281357,9.074072,1,20.205799102783203,0.20285700261592865,59117.31157410005
1,2459116.8711343,32.6281815,9.0741157,2,20.473499298095703,0.2273080050945282,59116.371134299785
2,2459115.9202431,32.6281497,9.0741017,1,20.11840057373047,0.1747570037841797,59115.4202430998
3,2459115.8810185,32.6281477,9.0740766,2,20.525299072265625,0.20310799777507782,59115.381018499844
4,2459115.8398032,32.6280929,9.0741422,2,20.39739990234375,0.19646500051021576,59115.339803200215
5,2459112.8775116,32.6281078,9.0740478,2,20.347999572753906,0.17067399621009827,59112.37751160003
6,2459112.8633912,32.6281779,9.0741438,2,20.48270034790039,0.1977739930152893,59112.36339120008
7,2459112.8290625,32.6281114,9.0741256,1,20.037900924682617,0.13688400387763977,59112.32906250004
8,2459111.9099653,32.6281717,9.0741088,2,20.241899490356445,0.20904399454593658,59111.4099653
9,2459111.8721528,32.6281564,9.0741112,1,20.00040054321289,0.16401100158691406,59111.372152800206
13,2459107.8884954,32.6281296,9.07408,1,19.98870086669922,0.2183550000190735,59107.38849540008
14,2459107.0146875,32.6281816,9.0740827,1,19.797000885009766,0.27007898688316345,59106.51468749996
24,2459094.9961343,32.6282085,9.0741453,1,19.57200050354004,0.25983598828315735,59094.496134299785
27,2459093.9369097,32.6282117,9.0740547,1,19.302499771118164,0.1531980037689209,59093.43690969981
29,2459092.8671412,32.6282156,9.0740468,1,19.494400024414062,0.1932850033044815,59092.36714120023
31,2459090.9693287,32.6281366,9.0740718,2,19.87459945678711,0.12999700009822845,59090.4693287001
32,2459090.8864468,32.6281377,9.0740402,1,19.522600173950195,0.15714199841022491,59090.38644680008
33,2459089.9765046,32.6281321,9.0740729,2,19.83609962463379,0.1454080045223236,59089.47650460014
34,2459089.9413194,32.628111,9.0740759,2,19.89459991455078,0.1301790028810501,59089.44131939998
35,2459089.9123264,32.628105,9.0740813,1,19.453699111938477,0.14458300173282623,59089.41232640017
36,2459089.8652083,32.6281391,9.0740693,1,19.508399963378906,0.15154199302196503,59089.36520829983
37,2459089.0146991,32.6281128,9.0740785,1,19.29669952392578,0.15276999771595,59088.51469910005
39,2459087.9727431,32.6281552,9.0740688,1,19.503799438476562,0.13787800073623657,59087.47274310002
41,2459087.9534144,32.6281319,9.0741067,2,19.72949981689453,0.14889900386333466,59087.45341440011
42,2459087.0042361,32.6281818,9.0741004,1,19.426700592041016,0.14127099514007568,59086.504236099776
43,2459086.9850694,32.6281588,9.0740769,1,19.335899353027344,0.09413400292396545,59086.485069400165
44,2459086.9534259,32.6281565,9.0740567,2,19.72130012512207,0.12388099730014801,59086.45342590008
45,2459086.8951273,32.6281452,9.0740745,2,19.82859992980957,0.1549919992685318,59086.39512730017
46,2459085.9907639,32.6281269,9.074114,2,19.77079963684082,0.14201800525188446,59085.49076389987
47,2459085.9412384,32.6281167,9.0740964,1,19.348100662231445,0.10811500251293182,59085.44123840006
48,2459085.9083796,32.6281344,9.0740791,1,19.424999237060547,0.11818599700927734,59085.40837959992
50,2459083.9794329,32.6281297,9.0740878,2,19.739099502563477,0.20488199591636658,59083.47943289997
51,2459082.9823148,32.6281359,9.0740475,2,19.981700897216797,0.2696419954299927,59082.48231479991
52,2459082.9574537,32.628138,9.0740695,1,19.31839942932129,0.12505699694156647,59082.45745369978
53,2459082.8803472,32.6281521,9.0741143,1,19.440200805664062,0.1385280042886734,59082.380347200204
54,2459080.9484606,32.6281402,9.0741072,1,19.32830047607422,0.12467999756336212,59080.44846059987
55,2459079.9578356,32.6281226,9.0741012,2,19.825599670410156,0.13069899380207062,59079.45783559978
56,2459077.9851157,32.628134,9.0740707,2,19.78459930419922,0.1407500058412552,59077.485115699936
57,2459076.9731829,32.6281193,9.0740947,1,19.365400314331055,0.1147800013422966,59076.47318289988
58,2459076.9619676,32.6281439,9.0740986,1,19.408199310302734,0.11988899856805801,59076.461967600044
59,2459076.9270139,32.6281557,9.074146,2,19.893699645996094,0.2007409930229187,59076.42701390013
60,2459076.9165856,32.6281272,9.0740643,2,19.832500457763672,0.15815100073814392,59076.4165856
61,2459075.9776736,32.6281456,9.0741044,2,19.78499984741211,0.1746630072593689,59075.47767359996
62,2459075.956794,32.6281559,9.074097,1,19.443300247192383,0.16636799275875092,59075.45679400023
63,2459073.9608333,32.6280975,9.0740577,2,19.946800231933594,0.20448200404644012,59073.460833299905
64,2459073.9242477,32.6281178,9.0740898,1,19.358600616455078,0.12902800738811493,59073.42424769979
65,2459068.9898264,32.6281579,9.0740656,1,19.964599609375,0.24320000410079956,59068.48982639983
66,2459067.9797801,32.628129,9.0741934,1,19.866199493408203,0.2707290053367615,59067.47978009982
67,2459067.9741088,32.6280137,9.0741514,1,19.757099151611328,0.24658100306987762,59067.474108799826
68,2459067.9437384,32.6281271,9.0740077,2,20.09149932861328,0.2560789883136749,59067.443738400005
77,2459063.9647222,32.6281391,9.0741358,1,20.432300567626953,0.35664400458335876,59063.46472219983
81,2459061.9677431,32.6281051,9.0740161,1,21.043100357055664,0.30372199416160583,59061.46774310013
